ticker,time_published,title,url,source,source_domain,summary,authors,topic_names,topic_relevance_mean,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
SPY,2015-02-10 09:36:31+00:00,"Ray Dalio's Bridgewater picks up chunk of Microsoft, ditches UPS",https://www.investmentnews.com/equities/ray-dalios-bridgewater-picks-up-chunk-of-microsoft-ditches-ups/60966,InvestmentNews,InvestmentNews,"Ray Dalio's Bridgewater Associates significantly increased its stake in Microsoft Corp. while divesting its holdings in SPDR S&P 500 ETF Trust and United Parcel Service Inc. during the last quarter. The hedge fund, despite seeing its equity holdings decline in value, still outperformed most peers in January with an 8.3% gain, managing $160 billion in assets. These portfolio changes were detailed in a recent SEC filing.",Bloomberg,financial_markets|finance|economy_macro|technology|energy_transportation,0.7445672,-0.140483,Neutral,0.906162,0.147022,Neutral
SPY,2015-05-29 06:01:00+00:00,Opinion: ETFs for ‘growth’ and ‘value’ stocks can trip up investors,https://www.marketwatch.com/story/etfs-for-growth-and-value-stocks-can-trip-up-investors-2015-05-29?gaa_at=eafs&gaa_n=AWEtsqf8DD_g-5MiOi8CQgLjEB3EE_s5AgrwAUpwtURkc6gP1icglnhV3ZmK&gaa_ts=69087ac6&gaa_sig=zus6Rb02vmTdpIBX4oMUvbyL3VemjrodXuXGqAmq0pFOXCA8Kq__5fn8i5-p3RdAkSvIPZJBYVdw7sPinEgB_g%3D%3D,MarketWatch,MarketWatch,"This article discusses the challenges investors face with ""growth"" and ""value"" stock classifications when using ETFs. The author argues that despite these being common investment labels, their definitions are often ambiguous and lack consensus, complicating investment decisions. This lack of clear definitions can lead to confusion and potential pitfalls for investors relying on these categories.",John Prestbo,financial_markets,0.905645,0.095108,Neutral,0.810957,0.094057,Neutral
SPY,2015-12-01 09:36:31+00:00,This new ETF tracks the green version of the S&P 500,https://www.investmentnews.com/equities/this-new-etf-tracks-the-green-version-of-the-sp-500/65501,InvestmentNews,InvestmentNews,"A new ETF, the SPDR S&P 500 Fossil Fuel Free ETF (SPYX), has been launched to offer a greener version of the traditional S&P 500. This ETF removes companies with fossil fuel reserves from the S&P 500, significantly reducing its energy sector exposure compared to the SPDR S&P 500 ETF Trust (SPY). While not entirely carbon-free, SPYX offers investors a lower-carbon footprint option for broad market exposure.",Bloomberg,financial_markets|energy_transportation,0.8812504999999999,0.1905,Somewhat-Bullish,1.0,0.250468,Somewhat-Bullish
SPY,2017-11-01 13:15:00+00:00,A new ETF tries turning market-cap weighting on its head,https://www.marketwatch.com/story/a-new-etf-tries-turning-market-cap-weighting-on-its-head-2017-11-01?gaa_at=eafs&gaa_n=AWEtsqdr9UjZ0AfuKMK5i8eGRq0HYzmDkXEUVZvfWc9U4SgAy87WIwSYwQGq&gaa_ts=69084150&gaa_sig=6_g81P5NpYEcxmnd7X-pex8txuXs7KTk61muy35mbtYerLZbVXJUofiAsiCra92DiDBHEDW_mJtMeqRvg8oACQ%3D%3D,MarketWatch,MarketWatch,"A new exchange-traded fund, the Reverse Cap Weighted US Large Cap ETF, is challenging traditional market-cap weighting by inversing the proportions of its S&P 500 components. This means that while Apple is the largest stock in the benchmark index, it will be the smallest component in this new fund, launching on Wednesday. The fund aims to flip the time-tested approach of passive investments that typically rank stocks by size.",,financial_markets|finance,0.8325015,0.103526,Neutral,0.720067,-0.108922,Neutral
SPY,2017-12-07 14:48:00+00:00,"Bitcoin’s surge over $15,000 makes it bigger than all but 12 S&P 500 components",https://www.marketwatch.com/story/bitcoins-surge-makes-it-bigger-than-these-iconic-companies-2017-11-27?gaa_at=eafs&gaa_n=AWEtsqftdn-d5ItMA77sxVnMXa4GsZ7gOwRYSLV4y0nKW3XIVXNpUbYV0UfA&gaa_ts=69084150&gaa_sig=rOfBEuUbo5p8A8aJiQu4qX3-jdD48CYEetnAjoZ4mt2ng3jYlll93Bv3WziNTlImsJ-w_cRyfvY0ytle0PUTEQ%3D%3D,MarketWatch,MarketWatch,"Bitcoin's market capitalization has grown to exceed that of all but 12 S&P 500 companies, including major bellwethers like Visa, Procter & Gamble, and Chevron. This surge is attributed to its massive price appreciation, which saw it climb over 1,400% in 2017 and break through the $15,000 mark. The digital currency's rapid growth positions it as larger than many established and well-known global brands.",,blockchain|financial_markets|economy_macro,0.7886636666666668,0.195643,Somewhat-Bullish,0.912318,0.31282,Somewhat-Bullish
SPY,2018-03-14 08:25:00+00:00,"S&P 500’s new mini-uptrend give bears more reason to be nervous, charts suggest",https://www.marketwatch.com/story/sp-500s-new-mini-uptrend-give-bears-more-reason-to-be-nervous-charts-suggest-2018-03-13?gaa_at=eafs&gaa_n=AWEtsqcs8AHmfCcntz_gxYdznpFu94O_lgCFbWwIkOCPb6p5KC3xtbuaGa5Q&gaa_ts=6908241c&gaa_sig=UaxJagDOWUDHshUK2hNB7g6HnNIPekIoFhZ40-xPEmxlmk0PVo7kBC-KV85sjFEVyCOcZua5aLV91Qjcsa8Tew%3D%3D,MarketWatch,MarketWatch,"The S&P 500's recent movements, characterized by higher lows and higher highs, suggest the start of a new mini-uptrend. This pattern, observed through technical analysis, implies that the broader nine-year bull market is still intact. Consequently, charts indicate that market bears should be more concerned about the current market trajectory.",,financial_markets,0.902089,0.265796,Somewhat-Bullish,0.348868,0.043264,Neutral
SPY,2018-04-23 08:42:00+00:00,"SPY Chart, Investor Sentiment Echo November 2016 Stock Market",https://www.schaeffersresearch.com/content/analysis/2018/04/23/spy-chart-investor-sentiment-echo-november-2016-stock-market,Schaeffer's Investment Research,Schaeffer's Investment Research,"The article discusses the stock market's resistance at key technical levels and the lingering influence of FOMC rate hikes. It highlights how current investor sentiment, specifically low equity allocations and technical indicators, echoes the pre-November 2016 election period. The author suggests that a resolution to trade war concerns, similar to the removal of election uncertainty in 2016, may be needed to push the S&P 500 above resistance.",Todd Salamone,financial_markets|economy_monetary|earnings|economy_macro,0.76787225,-0.213693,Somewhat-Bearish,1.0,-0.235726,Somewhat-Bearish
SPY,2019-03-15 09:13:00+00:00,"If you’re tracking the S&P 500 instead of this fund, you’re leaving money on the table",https://www.marketwatch.com/story/if-youre-tracking-the-sp-500-instead-of-this-fund-youre-leaving-money-on-the-table-2019-03-13?gaa_at=eafs&gaa_n=AWEtsqcLhmlUZjs0Oy8Cq43yweAyma_LaU2xbYMt4WcrYoX-mlmdEO2SjEYG&gaa_ts=690806ed&gaa_sig=sNl8QRDH99I-IyiAcvfSQLFrBLDYaNyFySDMNE4BEtNP1iBbPBMyjHq3Z_1pML-68AAZL0hL01Z-LeTV7nQE5Q%3D%3D,MarketWatch,MarketWatch,"The article suggests that investors tracking the S&P 500 might be missing out on better performance by not considering the Invesco QQQ Trust. It highlights QQQ as a successful and diversified alternative, noting that even with ""FAANG"" company dominance, valuations are lower than during the dot-com bubble. The piece advocates for diversification beyond traditional S&P 500 index funds for retirement savers.",,financial_markets|technology,0.8725645,0.190219,Somewhat-Bullish,1.0,0.294594,Somewhat-Bullish
SPY,2019-05-01 11:42:00+00:00,"SPY ETF Breaks New All-Time High, Up Over 18% YTD",https://www.etftrends.com/equity-etf-channel/spy-etf-breaks-new-all-time-high-up-over-18-ytd/,ETF Trends,ETF Trends,"The SPDR S&P 500 ETF (SPY) reached a new all-time high of $294.78, up over 18% year-to-date, driven by strong U.S. equities and better-than-expected Q1 GDP numbers. The article highlights SPY's enduring popularity and significant inflows into ETFs compared to mutual funds, reflecting resilient investor sentiment despite past market challenges. It also details the key features of SPY and its top holdings.",Ben Hernandez,financial_markets|economy_macro,0.89664,0.032778,Neutral,0.309341,0.041958,Neutral
SPY,2019-11-22 00:00:00+00:00,SPDR chairman and industry pioneer Jim Ross to retire,https://www.etfstream.com/articles/spdr-chairman-and-industry-pioneer-jim-ross-to-retire,ETF Stream,ETF Stream,"Jim Ross, an industry pioneer who helped launch the first ETFs including the SPDR S&P 500 ETF Trust (SPY), is retiring as chairman of the global SPDR ETFs business after 27 years with State Street Global Advisors. Ross, who led SPDR's ETF business since 2005 and became chairman in 2016, will retire in March 2020. His contributions were lauded by State Street CEO Ron O’Hanley as instrumental to one of the most important product innovations in the investment management industry.",Tom Eckett,finance,0.847568,0.1064,Neutral,1.0,0.135097,Neutral
