dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,variant,run_name,state_mode,reward_mode,sentiment_imputation_mode,dataset_name,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,3.697822570325248,0.35596865902063657,0.29630598531386987,1.2013549393663696,-0.38729694508624535,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
train,random,-0.33492864562678637,-0.04314884958278642,0.22103565325093907,-0.1952121702909171,-0.5336905213295737,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
validation,buy_and_hold,0.004018151603098596,0.050666584807763204,0.30820066375775357,0.1643947945796355,-0.3075105504121448,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
validation,random,0.026993289274213295,0.03434127341394011,0.20201472317391925,0.16999391368308783,-0.2250121630449483,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
test,buy_and_hold,0.9958847398706141,0.45019855470334913,0.21355916390564017,2.108074158326761,-0.16712937513676185,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
test,random,0.028047100342767584,0.026327356972621008,0.15484062263208892,0.17002874649488117,-0.2533779181371687,shared_baselines,heuristic_reference,price_only,profit,none,baseline,,,,
train,double_dqn,5.689220010886715,0.4126137032993509,0.22589124839291294,1.8266033156877985,-0.24763051101813727,baseline,baseline_none_seed42,price_only,profit,none,baseline,42.0,0.01,20.0,1e-06
validation,double_dqn,0.15817545094119145,0.10212104827572577,0.2169845520599506,0.47063741315331414,-0.2152697462299794,baseline,baseline_none_seed42,price_only,profit,none,baseline,42.0,0.01,20.0,1e-06
test,double_dqn,0.5478780329629545,0.2677595407969957,0.18285588681347825,1.4643200471315603,-0.21665514695004773,baseline,baseline_none_seed42,price_only,profit,none,baseline,42.0,0.01,20.0,1e-06
train,double_dqn,2.7418215672672055,0.27800054211060443,0.2148465240756686,1.2939494520874497,-0.31938556626946224,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,baseline,42.0,0.01,20.0,1e-06
validation,double_dqn,0.2939577432882716,0.1624400653220459,0.20583128882015816,0.7891903425041241,-0.17774628714904483,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,baseline,42.0,0.01,20.0,1e-06
test,double_dqn,0.4193786980579577,0.21513364048605355,0.1901780405771876,1.1312223000780008,-0.30394434144080595,reward_only,reward_only_none_seed42,price_only,differential_sharpe,none,baseline,42.0,0.01,20.0,1e-06
train,double_dqn,3.851089548165131,0.3298499033979365,0.19546026420707507,1.6875547812034368,-0.27399524326654434,state_only,state_only_decay_seed42,price_sentiment,profit,decay,augmented,42.0,0.01,20.0,1e-06
validation,double_dqn,0.3053753928707583,0.1649907644664419,0.19504463643986425,0.8459128509145726,-0.20432592583853793,state_only,state_only_decay_seed42,price_sentiment,profit,decay,augmented,42.0,0.01,20.0,1e-06
test,double_dqn,0.2920627707755181,0.1554904403076527,0.17425862842946763,0.8922969365077295,-0.22640963768002142,state_only,state_only_decay_seed42,price_sentiment,profit,decay,augmented,42.0,0.01,20.0,1e-06
train,double_dqn,3.154232882725789,0.31537580272201216,0.2619369265889089,1.204014290115619,-0.3561776888950974,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,augmented,42.0,0.01,20.0,1e-06
validation,double_dqn,0.278574222337004,0.17831079094816094,0.2856721463980068,0.6241798271075861,-0.26565691859963214,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,augmented,42.0,0.01,20.0,1e-06
test,double_dqn,0.8880647184808619,0.40679995696650595,0.202254607971527,2.011326026370556,-0.14644656882437956,both,both_decay_seed42,price_sentiment,differential_sharpe,decay,augmented,42.0,0.01,20.0,1e-06
