dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,3.697822570325248,0.35596865902063657,0.29630598531386987,1.2013549393663696,-0.38729694508624535,shared_baselines,heuristic_reference,profit,none,,,,
train,random,-0.33492864562678637,-0.04314884958278642,0.22103565325093907,-0.1952121702909171,-0.5336905213295737,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.38065059201647355,0.1478973084996471,0.2730199281477627,0.5417088397283686,-0.3131146617425401,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.0051930078940300994,0.015473979196506837,0.1842732031738878,0.08397302988164239,-0.26257781448170125,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,0.4527631079385952,0.25651511662167614,0.28340773587596946,0.9051097911241823,-0.3343370956600402,shared_baselines,heuristic_reference,profit,none,,,,
test,random,0.05582480959898817,0.04545056505165346,0.18466823286578238,0.24612010602108872,-0.27858093109182747,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,159.047993709749,1.401896222086771,0.20901842514552207,6.707046142514698,-0.06791499916512067,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.5184052954802516,0.16752590549002466,0.221683876932959,0.7556972920528965,-0.15363101333508777,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,-0.2484488704362532,-0.1165327168278516,0.20065985867367672,-0.5807475276725029,-0.3421172477666623,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,226.41765818932942,1.547459819144223,0.20733421382222048,7.463600872314776,-0.12079665054599797,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.5966755683074214,0.1777035255438726,0.18704673941560357,0.9500487744350834,-0.15482222349255892,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.11405265434789669,-0.04259846789244581,0.1865691177044889,-0.22832539713200822,-0.333206857870047,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,540.161127300015,1.9472640875898342,0.20630955294794548,9.43855512149335,-0.08001299333170386,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,0.07390848211751355,0.04333790244936542,0.20075187910525957,0.21587794167865396,-0.23624357594377254,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.06475878727756212,0.05129319418745615,0.19151223924847743,0.2678324601536606,-0.31198138983697377,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,25.34242767321465,0.7765021984687259,0.21900268698056533,3.5456286366825904,-0.18781203495630727,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.7242671301047867,0.20940962391904883,0.20057981133428754,1.0440214422679133,-0.19778332115267572,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.2484162771531775,0.15264395853259183,0.24662145742815036,0.6189402987250713,-0.29937789581052976,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,12.253762458732416,0.584544965955563,0.2249236601604443,2.5988593887303404,-0.19339414270970368,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.6803975641525608,0.19765500508027234,0.19153730617654005,1.031939986135618,-0.21097006780266547,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.16938346088447975,-0.07363442591631619,0.18529203687967472,-0.39739660244618635,-0.43399557024029123,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,1.8020874725986573,0.22731439578803547,0.25062679223455964,0.9069836219876035,-0.4085864798863186,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,0.5496258418082633,0.17450127691874862,0.2194520932686197,0.7951679763890465,-0.3184324472562269,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
test,double_dqn,-0.058540284334278714,-0.01385335204636362,0.18165541048785322,-0.07626170896401654,-0.2776371600414843,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
