step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,28.2450008392334,0,10000.0,0.0
1,2015-01-26,0,28.274999618530273,0,10000.0,0.0
2,2015-01-27,0,27.28499984741211,0,10000.0,0.0
3,2015-01-28,2,28.82749938964844,0,10000.0,0.0
4,2015-01-29,1,29.725000381469727,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,29.290000915527344,1,9843.805059411423,-0.014634128187044793
6,2015-02-02,0,29.657499313354492,1,9967.314191360227,0.012546889257088578
7,2015-02-03,0,29.662500381469727,1,9968.994954012205,0.00016862743761358878
8,2015-02-04,2,29.88999938964844,0,10035.407535087676,0.006661913400682451
9,2015-02-05,0,29.98500061035156,0,10035.407535087676,0.0
10,2015-02-06,2,29.732500076293945,0,10035.407535087676,0.0
11,2015-02-09,2,29.93000030517578,0,10035.407535087676,0.0
12,2015-02-10,2,30.5049991607666,0,10035.407535087676,0.0
13,2015-02-11,0,31.219999313354492,0,10035.407535087676,0.0
14,2015-02-12,2,31.614999771118164,0,10035.407535087676,0.0
15,2015-02-13,1,31.770000457763672,1,10025.372127552588,-0.0010000000000000009
16,2015-02-17,0,31.957500457763672,1,10084.539809228108,0.005901794060383159
17,2015-02-18,0,32.18000030517578,1,10154.75207666561,0.0069623670257370485
18,2015-02-19,0,32.11249923706055,1,10133.451374206945,-0.0020976093062490264
19,2015-02-20,0,32.375,1,10216.286369306586,0.008174410873523774
20,2015-02-23,0,33.25,1,10492.402217125684,0.027027027027026973
21,2015-02-24,2,33.04249954223633,0,10416.496248447474,-0.007234374655816778
22,2015-02-25,2,32.1974983215332,0,10416.496248447474,0.0
23,2015-02-26,0,32.60499954223633,0,10416.496248447474,0.0
24,2015-02-27,2,32.1150016784668,0,10416.496248447474,0.0
25,2015-03-02,0,32.272499084472656,0,10416.496248447474,0.0
26,2015-03-03,2,32.34000015258789,0,10416.496248447474,0.0
27,2015-03-04,2,32.1349983215332,0,10416.496248447474,0.0
28,2015-03-05,2,31.602500915527344,0,10416.496248447474,0.0
29,2015-03-06,2,31.649999618530273,0,10416.496248447474,0.0
30,2015-03-09,1,31.78499984741211,1,10406.079752199026,-0.001000000000000112
31,2015-03-10,0,31.127500534057617,1,10190.82128673957,-0.020685836605659924
32,2015-03-11,1,30.559999465942383,1,10005.027314657922,-0.018231501353419444
33,2015-03-12,2,31.112499237060547,0,10175.724107453974,0.01706110212672507
34,2015-03-13,1,30.897499084472656,1,10165.54838334652,-0.0010000000000000009
35,2015-03-16,0,31.237499237060547,1,10277.411417698526,0.011004131812039075
36,2015-03-17,0,31.760000228881836,1,10449.318829951679,0.016726722835782804
37,2015-03-18,2,32.11750030517578,0,10556.372553305424,0.010245043250751262
38,2015-03-19,1,31.875,1,10545.81618075212,-0.0009999999999998899
39,2015-03-20,1,31.475000381469727,1,10413.47665292808,-0.012549007640165422
40,2015-03-23,1,31.802499771118164,1,10521.829542733287,0.010405063881786303
41,2015-03-24,0,31.67250061035156,1,10478.819432832215,-0.0040877025926328026
42,2015-03-25,0,30.844999313354492,1,10205.041344441155,-0.026126806568806726
43,2015-03-26,1,31.059999465942383,1,10276.173958967447,0.00697034065080393
44,2015-03-27,0,30.8125,1,10194.28897472705,-0.00796843110746892
