step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,28.2450008392334,0,10000.0,0.0
1,2015-01-26,0,28.274999618530273,0,10000.0,0.0
2,2015-01-27,0,27.28499984741211,0,10000.0,0.0
3,2015-01-28,2,28.82749938964844,0,10000.0,0.0
4,2015-01-29,1,29.725000381469727,1,9990.0,-0.0
5,2015-01-30,0,29.290000915527344,1,9843.805059411423,924.4972571038473
6,2015-02-02,0,29.657499313354492,1,9967.314191360227,12.720125601638712
7,2015-02-03,0,29.662500381469727,1,9968.994954012205,0.09529507387260501
8,2015-02-04,2,29.88999938964844,0,10035.407535087676,3.572932185466496
9,2015-02-05,0,29.98500061035156,0,10035.407535087676,-0.00982948721678228
10,2015-02-06,2,29.732500076293945,0,10035.407535087676,-0.00978015964076005
11,2015-02-09,2,29.93000030517578,0,10035.407535087676,-0.009731080170520113
12,2015-02-10,2,30.5049991607666,0,10035.407535087676,-0.009682247549712105
13,2015-02-11,0,31.219999313354492,0,10035.407535087676,-0.00963366052847362
14,2015-02-12,2,31.614999771118164,0,10035.407535087676,-0.009585317863394829
15,2015-02-13,1,31.770000457763672,1,10025.372127552588,-0.5228687946000414
16,2015-02-17,0,31.957500457763672,1,10084.539809228108,2.9551957225544
17,2015-02-18,0,32.18000030517578,1,10154.75207666561,3.169697530011695
18,2015-02-19,0,32.11249923706055,1,10133.451374206945,-1.0614927619402568
19,2015-02-20,0,32.375,1,10216.286369306586,3.363610804936171
20,2015-02-23,0,33.25,1,10492.402217125684,5.320090561235238
21,2015-02-24,2,33.04249954223633,0,10416.496248447474,-2.475003326082069
22,2015-02-25,2,32.1974983215332,0,10416.496248447474,-0.05738662640945083
23,2015-02-26,0,32.60499954223633,0,10416.496248447474,-0.057087975982149056
24,2015-02-27,2,32.1150016784668,0,10416.496248447474,-0.05679099055004657
25,2015-03-02,0,32.272499084472656,0,10416.496248447474,-0.05649565916636776
26,2015-03-03,2,32.34000015258789,0,10416.496248447474,-0.05620197098034344
27,2015-03-04,2,32.1349983215332,0,10416.496248447474,-0.05590991523605724
28,2015-03-05,2,31.602500915527344,0,10416.496248447474,-0.05561948127130913
29,2015-03-06,2,31.649999618530273,0,10416.496248447474,-0.05533065851649629
30,2015-03-09,1,31.78499984741211,1,10406.079752199026,-0.3554503710198425
31,2015-03-10,0,31.127500534057617,1,10190.82128673957,-8.132382918125343
32,2015-03-11,1,30.559999465942383,1,10005.027314657922,-4.989865890159028
33,2015-03-12,2,31.112499237060547,0,10175.724107453974,3.9748195102478556
34,2015-03-13,1,30.897499084472656,1,10165.54838334652,-0.22971042212524007
35,2015-03-16,0,31.237499237060547,1,10277.411417698526,2.283423893554153
36,2015-03-17,0,31.760000228881836,1,10449.318829951679,3.204385844012128
37,2015-03-18,2,32.11750030517578,0,10556.372553305424,1.8555542529402445
38,2015-03-19,1,31.875,1,10545.81618075212,-0.2504837466170429
39,2015-03-20,1,31.475000381469727,1,10413.47665292808,-2.852772795216163
40,2015-03-23,1,31.802499771118164,1,10521.829542733287,1.8457194833073765
41,2015-03-24,0,31.67250061035156,1,10478.819432832215,-0.8528373609651451
42,2015-03-25,0,30.844999313354492,1,10205.041344441155,-6.005424941584593
43,2015-03-26,1,31.059999465942383,1,10276.173958967447,1.162846639806115
