step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,74.05999755859375,0,10000.0,0.0
1,2015-01-26,0,72.73999786376953,0,10000.0,0.0
2,2015-01-27,0,71.45999908447266,0,10000.0,0.0
3,2015-01-28,2,70.25,0,10000.0,0.0
4,2015-01-29,1,71.63999938964844,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,70.12999725341797,1,9779.434373681443,-0.021077640272127884
6,2015-02-02,0,71.11000061035156,1,9916.093134418132,0.013974096610788411
7,2015-02-03,0,71.91999816894531,1,10029.045056239627,0.011390768550715524
8,2015-02-04,2,72.27999877929688,0,10069.166900657487,0.004000564778886551
9,2015-02-05,0,73.0999984741211,0,10069.166900657487,0.0
10,2015-02-06,2,72.54000091552734,0,10069.166900657487,0.0
11,2015-02-09,2,72.33000183105469,0,10069.166900657487,0.0
12,2015-02-10,2,72.76000213623047,0,10069.166900657487,0.0
13,2015-02-11,0,73.01000213623047,0,10069.166900657487,0.0
14,2015-02-12,2,74.58999633789062,0,10069.166900657487,0.0
15,2015-02-13,1,76.51000213623047,1,10059.09773375683,-0.0010000000000000009
16,2015-02-17,0,77.12999725341797,1,10140.611147743362,0.008103451834749142
17,2015-02-18,0,77.7300033569336,1,10219.496520473685,0.007779153700009367
18,2015-02-19,0,77.7300033569336,1,10219.496520473685,0.0
19,2015-02-20,0,78.55000305175781,1,10327.305393060053,0.010549333068452293
20,2015-02-23,0,78.0999984741211,1,10268.141363512312,-0.0057288931910060015
21,2015-02-24,2,77.68000030517578,0,10202.709482651375,-0.006372319833212292
22,2015-02-25,2,78.06999969482422,0,10202.709482651375,0.0
23,2015-02-26,0,78.95999908447266,0,10202.709482651375,0.0
24,2015-02-27,2,79.0999984741211,0,10202.709482651375,0.0
25,2015-03-02,0,79.79000091552734,0,10202.709482651375,0.0
26,2015-03-03,2,78.98999786376953,0,10202.709482651375,0.0
27,2015-03-04,2,77.62999725341797,0,10202.709482651375,0.0
28,2015-03-05,2,78.62000274658203,0,10202.709482651375,0.0
29,2015-03-06,2,77.55000305175781,0,10202.709482651375,0.0
30,2015-03-09,1,77.93000030517578,1,10192.506773168723,-0.0010000000000000009
31,2015-03-10,0,76.01000213623047,1,9941.389177059245,-0.024637471595361893
32,2015-03-11,1,76.01000213623047,1,9941.389177059245,0.0
33,2015-03-12,2,77.4000015258789,0,10113.064759011062,0.017268771888336865
34,2015-03-13,1,77.62000274658203,1,10102.951694252051,-0.0010000000000000009
35,2015-03-16,0,78.33000183105469,1,10195.36455433413,0.009147114910452947
36,2015-03-17,0,79.66000366210938,1,10368.476429842327,0.016979468913115525
37,2015-03-18,2,76.88999938964844,0,9997.927160460655,-0.03573806353218545
38,2015-03-19,1,77.13999938964844,1,9987.929233300194,-0.0010000000000000009
39,2015-03-20,1,77.36000061035156,1,10016.414541065407,0.0028519733269878333
40,2015-03-23,1,76.3499984741211,1,9885.641531706196,-0.013055870323963381
41,2015-03-24,0,75.44999694824219,1,9769.111176229593,-0.011787839474338146
42,2015-03-25,0,73.12999725341797,1,9468.722364244564,-0.030748837490553016
43,2015-03-26,1,72.97000122070312,1,9448.006405403385,-0.0021878304214945077
44,2015-03-27,0,73.30999755859375,1,9492.028435339886,0.004659398824213845
45,2015-03-30,0,73.5999984741211,1,9529.577160317813,0.003955816739668494
46,2015-03-31,1,73.94000244140625,1,9573.600178092702,0.004619619216496451
47,2015-04-01,0,75.06999969482422,1,9719.9099096232,0.015282623966822895
48,2015-04-02,1,75.68000030517578,1,9798.891540121876,0.008125757464118033
49,2015-04-06,1,76.2300033569336,1,9870.104809534909,0.00726748215565487
50,2015-04-07,2,75.6500015258789,0,9785.212352219476,-0.008600968171424417
51,2015-04-08,1,75.44000244140625,1,9775.427139867257,-0.0009999999999998899
52,2015-04-09,0,76.33000183105469,1,9890.752218160991,0.01179744645872316
53,2015-04-10,2,76.52999877929688,0,9906.75092083327,0.0016175415498633772
54,2015-04-13,1,76.0199966430664,1,9896.844169912438,-0.0009999999999998899
55,2015-04-14,2,75.94999694824219,0,9877.843361968433,-0.0019198855329832787
56,2015-04-15,0,76.02999877929688,0,9877.843361968433,0.0
57,2015-04-16,1,75.1500015258789,1,9867.965518606465,-0.0010000000000000009
58,2015-04-17,0,73.1500015258789,1,9605.34501778829,-0.026613439246721438
59,2015-04-20,2,73.91999816894531,0,9696.747016333693,0.00951574340912642
60,2015-04-21,1,74.62000274658203,1,9687.050269317358,-0.001000000000000112
61,2015-04-22,2,75.5,0,9791.488825314926,0.010781254674435248
62,2015-04-23,2,76.5199966430664,0,9791.488825314926,0.0
63,2015-04-24,1,76.54000091552734,1,9781.697336489611,-0.0010000000000000009
64,2015-04-27,2,76.55000305175781,0,9773.192618906014,-0.0008694521299357216
65,2015-04-28,0,76.0199966430664,0,9773.192618906014,0.0
66,2015-04-29,2,76.6500015258789,0,9773.192618906014,0.0
67,2015-04-30,0,76.05999755859375,0,9773.192618906014,0.0
68,2015-05-01,0,76.43000030517578,0,9773.192618906014,0.0
69,2015-05-04,2,75.8499984741211,0,9773.192618906014,0.0
70,2015-05-05,0,75.0,0,9773.192618906014,0.0
71,2015-05-06,1,74.4800033569336,1,9763.419426287106,-0.001000000000000223
72,2015-05-07,0,74.7300033569336,1,9796.191375086228,0.003356605648927369
73,2015-05-08,0,76.30999755859375,1,10003.309331405086,0.02114270213683267
74,2015-05-11,0,76.79000091552734,1,10066.231913152422,0.006290176546854598
75,2015-05-12,1,76.56999969482422,1,10037.392438189914,-0.002864972237012209
76,2015-05-13,1,77.08000183105469,1,10104.247493773863,0.006660599951196611
77,2015-05-14,1,79.43000030517578,1,10412.303612461497,0.030487784357762004
78,2015-05-15,2,78.91999816894531,0,10335.103108320669,-0.007414353923413719
79,2015-05-18,1,79.41000366210938,1,10324.768005212349,-0.0010000000000000009
80,2015-05-19,0,79.62000274658203,1,10352.071767062214,0.0026444915601087082
81,2015-05-20,1,79.61000061035156,1,10350.771304508711,-0.0001256234097642972
82,2015-05-21,1,80.55999755859375,1,10474.288464109857,0.011933135799004901
83,2015-05-22,0,80.04000091552734,1,10406.679290761946,-0.006454774811632702
84,2015-05-26,2,79.36000061035156,0,10307.94841772271,-0.009487260083711813
