step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,15.619500160217283,0,10000.0,0.0
1,2015-01-26,0,15.482999801635742,0,10000.0,0.0
2,2015-01-27,0,15.337499618530272,0,10000.0,0.0
3,2015-01-28,2,15.195500373840332,0,10000.0,0.0
4,2015-01-29,1,15.58899974822998,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,17.726499557495117,1,11359.78789142538,0.13711590504758564
6,2015-02-02,0,18.223499298095703,1,11678.283464508162,0.02803710563321249
7,2015-02-03,0,18.177499771118164,1,11648.80528874786,-0.0025241873816378435
8,2015-02-04,2,18.237499237060547,0,11675.567881224875,0.00229745384300184
9,2015-02-05,0,18.694499969482425,0,11675.567881224875,0.0
10,2015-02-06,2,18.714000701904297,0,11675.567881224875,0.0
11,2015-02-09,2,18.527999877929688,0,11675.567881224875,0.0
12,2015-02-10,2,18.649999618530273,0,11675.567881224875,0.0
13,2015-02-11,0,18.756999969482425,0,11675.567881224875,0.0
14,2015-02-12,2,18.85849952697754,0,11675.567881224875,0.0
15,2015-02-13,1,19.09149932861328,1,11663.892313343651,-0.0009999999999998899
16,2015-02-17,0,18.771499633789062,1,11468.389492088616,-0.01676137056164151
17,2015-02-18,0,18.668500900268555,1,11405.462735236499,-0.005486974164552683
18,2015-02-19,0,18.950000762939453,1,11577.444203422889,0.015078868098447495
19,2015-02-20,0,19.183000564575195,1,11719.794709715321,0.012295503549077491
20,2015-02-23,0,19.006999969482425,1,11612.267691909561,-0.009174820930662131
21,2015-02-24,2,18.929500579833984,0,11553.354760444186,-0.005073335633350884
22,2015-02-25,2,19.26849937438965,0,11553.354760444186,0.0
23,2015-02-26,0,19.239999771118164,0,11553.354760444186,0.0
24,2015-02-27,2,19.007999420166016,0,11553.354760444186,0.0
25,2015-03-02,0,19.28300094604492,0,11553.354760444186,0.0
26,2015-03-03,2,19.230499267578125,0,11553.354760444186,0.0
27,2015-03-04,2,19.13599967956543,0,11553.354760444186,0.0
28,2015-03-05,2,19.39150047302246,0,11553.354760444186,0.0
29,2015-03-06,2,19.004499435424805,0,11553.354760444186,0.0
30,2015-03-09,1,18.92799949645996,1,11541.80140568374,-0.001000000000000223
31,2015-03-10,0,18.475500106811523,1,11265.879056230375,-0.023906350469475868
32,2015-03-11,1,18.318500518798828,1,11170.14479408843,-0.008497717902359425
33,2015-03-12,2,18.711999893188477,0,11398.680379510692,0.020459500716875967
34,2015-03-13,1,18.52899932861328,1,11387.281699131181,-0.0010000000000000009
35,2015-03-16,0,18.667499542236328,1,11472.399136934744,0.007474781080550441
36,2015-03-17,0,18.59600067138672,1,11428.458405484826,-0.0038301257588270188
37,2015-03-18,2,18.756999969482425,0,11515.875598910585,0.007649080070484926
38,2015-03-19,1,18.66200065612793,1,11504.359723311674,-0.0010000000000000009
39,2015-03-20,1,18.92449951171875,1,11666.179525878386,0.014065954686622861
