seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,profit_none_seed42,profit,none,0.005,20,1e-06,train,double_dqn,0.22531000234394183,0.08085128217103676,0.2926512822874812,0.2762717509353464,-0.5427204387457071,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,validation,double_dqn,2.6832929637064575,0.565043980179007,0.28756404697956445,1.964932633665298,-0.19271915258429062,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,test,double_dqn,0.6334170907795182,0.4283250889328387,0.47126632719500533,0.9088811659475982,-0.35870776422510353,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,train,double_dqn,1485.3533020816799,2.5195172363736402,0.24082903657277277,10.461849917388605,-0.09261817179414766,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,validation,double_dqn,2.7726073362891888,0.5540166825832185,0.231217402194212,2.3960855771481677,-0.23965467581462163,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,test,double_dqn,0.6427891160909629,0.34712744554199415,0.31047845222880677,1.1180403762325475,-0.3041380635476295,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,train,double_dqn,17.564585580852544,0.7021863401377069,0.2847664737843853,2.465832198594335,-0.19542892432809622,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,validation,double_dqn,1.0746381227515291,0.3071168445065757,0.28402252010329226,1.0813115959779689,-0.2990652890457931,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,test,double_dqn,0.45399553589919095,0.30588665878047316,0.3984588626218972,0.7676743761393833,-0.3672049383550151,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,train,double_dqn,314.4820541928763,1.7257419830265368,0.2615958253180712,6.596978300124737,-0.15858851805007046,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,validation,double_dqn,1.3075836436904464,0.3421446079367825,0.2586947896016233,1.3225802052823237,-0.31454424483198296,profit_none
