step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,10.697999954223633,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,10.67300033569336,1,9966.654870986531,-0.002336849751098047
2,2015-01-27,0,10.479000091552734,1,9785.493677561803,-0.018176729882771192
3,2015-01-28,0,10.5,1,9805.103799667419,0.0020039992617422175
4,2015-01-29,0,10.652999877929688,1,9947.978055328087,0.014571416945684312
5,2015-01-30,0,10.288000106811523,1,9607.134184597759,-0.034262627926463285
6,2015-02-02,0,10.241999626159668,1,9564.17804291909,-0.004471275289100962
7,2015-02-03,0,10.31999969482422,1,9637.016020979767,0.0076157070407743
8,2015-02-04,0,10.479999542236328,1,9786.426984008973,0.015503861641813055
9,2015-02-05,0,10.619999885559082,1,9917.162021939324,0.01335881196926847
10,2015-02-06,0,10.473999977111816,1,9780.824473647192,-0.013747637478395469
11,2015-02-09,0,10.223999977111816,1,9547.369621274158,-0.02386862712872917
12,2015-02-10,0,10.70400047302246,1,9995.603400921367,0.04694840541717604
13,2015-02-11,0,10.793999671936035,1,10079.646399705607,0.00840799653740687
14,2015-02-12,0,10.970000267028809,1,10243.999171485406,0.016305410454140468
15,2015-02-13,0,11.015000343322754,1,10286.021116157319,0.004102103482093389
16,2015-02-17,0,11.086999893188477,1,10353.255693296627,0.006536500011038893
17,2015-02-18,0,11.0,1,10272.013504413486,-0.007847018492525337
18,2015-02-19,0,11.09000015258789,1,10356.057393757312,0.008181832053444582
19,2015-02-20,0,11.206000328063965,1,10464.380609121363,0.010459889439136338
20,2015-02-23,0,11.28499984741211,1,10538.15189362921,0.0070497516540581895
21,2015-02-24,0,11.317999839782717,1,10568.967927017975,0.0029242350745954937
22,2015-02-25,0,11.267999649047852,1,10522.27677843145,-0.0044177585653530915
23,2015-02-26,0,12.925000190734863,1,12069.616045797762,0.14705365577705076
24,2015-02-27,0,12.76200008392334,1,11917.403382307872,-0.012611226646508378
25,2015-03-02,0,12.902000427246094,1,12048.138420238221,0.010970094217372495
26,2015-03-03,0,12.821999549865724,1,11973.432048164032,-0.006200656854066344
27,2015-03-04,0,12.9399995803833,1,12083.62276698201,0.009202935163011405
28,2015-03-05,0,13.057000160217283,1,12192.880179352816,0.009041776169093074
29,2015-03-06,0,12.788999557495115,1,11942.616014775265,-0.020525434589387936
30,2015-03-09,0,12.711999893188477,1,11870.712233721348,-0.006020773083967423
31,2015-03-10,0,12.51200008392334,1,11683.948529934838,-0.015733150640781846
32,2015-03-11,0,12.465999603271484,1,11640.992388256167,-0.0036765089788451943
33,2015-03-12,0,12.612000465393066,1,11777.330827107886,0.011711925779563481
34,2015-03-13,0,12.5,1,11672.742618651688,-0.00888046790835384
35,2015-03-16,0,12.987000465393066,1,12127.513105667436,0.038960037231445366
36,2015-03-17,0,12.90999984741211,1,12055.60843405393,-0.005929053301117815
37,2015-03-18,0,13.043999671936035,1,12180.740071062912,0.010379537266283378
38,2015-03-19,0,13.20400047302246,1,12330.151924651704,0.012266237742297958
39,2015-03-20,0,13.32900047302246,1,12446.87935083822,0.009466827894727192
40,2015-03-23,0,13.444000244140623,1,12554.268369195515,0.008627786558408568
41,2015-03-24,0,13.312000274658203,1,12431.004235640463,-0.009818503948625712
42,2015-03-25,0,12.442999839782717,1,11619.514762696628,-0.06527947843644388
43,2015-03-26,0,12.470999717712402,1,11645.661592170778,0.0022502514096449655
