dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,2.7961447088709805,0.3264827618887556,0.34192682209930936,0.9548322646473514,-0.35715761967626214,shared_baselines,heuristic_reference,profit,none,,,,
train,random,0.20370889368151945,0.06487080479079199,0.25387986457135353,0.2555177225272227,-0.4138825949428059,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.38931501050405326,0.1805362632568257,0.3560469903438743,0.507057405772372,-0.5861723841509047,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,0.046176312978245315,0.047673062655351206,0.25539425490662127,0.1866645852029119,-0.348059976118958,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,-0.3677162157294509,-0.1532455531596263,0.35701878359167905,-0.42923666821657375,-0.5156984640583278,shared_baselines,heuristic_reference,profit,none,,,,
test,random,-0.2807979100269091,-0.12967446589231546,0.23475970540690136,-0.5523710539147036,-0.38726896345647377,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,447.33239824835687,1.8758514722078843,0.24252700983591882,7.734608501861248,-0.07935887968424504,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.4597488216283341,0.16368323787422545,0.26009020088498985,0.6293325827627204,-0.41739453075108524,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,-0.1943584104440792,-0.07667946041511031,0.24240681786732055,-0.3163255105187685,-0.27326141467295895,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,230.96308464932585,1.5719004654683024,0.2390724409475359,6.574996512514186,-0.09135408108668397,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.6590415178815372,0.20683217325346615,0.2457654708769841,0.8415835329324773,-0.2891903484411924,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,-0.08164035911952339,-0.009231733551134158,0.25401132614749394,-0.036343787071028755,-0.27338847952770584,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
train,double_dqn,6.137917613123692,0.4267077498010339,0.22121082763042954,1.9289641215660656,-0.23633306729490444,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.2529620350047228,0.10049510186600452,0.22558139691029327,0.44549374745634857,-0.3576247694611957,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,-0.14990350134395092,-0.05285765143290133,0.23535217369643083,-0.22458960375305398,-0.33717725240488783,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,8.790011889683862,0.5237968644080919,0.274667170737112,1.9070239191760767,-0.21001013317545547,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.297077332590155,0.12882629916276955,0.28251477025818456,0.4559984564525168,-0.47191243507540415,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,-0.35945818250610406,-0.15779671294614972,0.3219464574372315,-0.49013340355488977,-0.38996241880247584,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,195.96158601275985,1.4880772402462816,0.21105579476573602,7.05063436849953,-0.06988379780056586,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,0.1709954150587938,0.08254174951965565,0.24538786344012498,0.3363725832341173,-0.30628874858393207,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,0.07510663382965532,0.0779321410102285,0.27325359115938447,0.2852007934445477,-0.2746524209690261,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
train,double_dqn,19.69303209202208,0.7219614375836017,0.2618729077830621,2.7569153437654617,-0.19953875254016484,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.30734859815316784,0.12424623245969646,0.25834193823749474,0.4809371382259911,-0.36583976048997713,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.3018531145460164,-0.1287424026510774,0.2899974538655394,-0.4439432172075906,-0.3621116561611025,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,8.340611013772778,0.48817442375618536,0.2073910499484399,2.3538837566884,-0.1434151406873152,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,0.37598071540615874,0.13693027994246543,0.24014205585336612,0.5702053289078063,-0.3533660117389399,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,-0.08927347931518714,-0.024390855072451423,0.21299198045565856,-0.11451536823251052,-0.3199818842119695,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,11.607436189389125,0.5841316005535002,0.26231779718629866,2.226808881513475,-0.1540828809362721,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,0.46836848069098225,0.1658741154935024,0.25984511977104446,0.6383576325761203,-0.30090044528971494,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,-0.3187004843078043,-0.14252413290644783,0.2782673530152907,-0.5121841687932978,-0.4139036206053539,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,23.055333432663144,0.7488032391818384,0.22150524498538768,3.38052148260072,-0.13733567979305472,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,0.30413295876007007,0.1111096536642393,0.21277634262499737,0.5221898839574561,-0.2808182921233776,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,-0.31274044922320954,-0.14087761396056586,0.26826457154175526,-0.5251443123887805,-0.38901590716439494,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,3.1348054303727144,0.3215146861215443,0.2814284306556547,1.1424385424475385,-0.34741244715152586,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,0.7239341380783932,0.240601481250017,0.3026143419337415,0.79507626675109,-0.45443274851961246,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
