dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,2.2339516293990793,0.26297208701520813,0.2680942083923221,0.9808943229030207,-0.30870826790674,shared_baselines,heuristic_reference,profit,none,,,,
train,random,-0.23467017763049114,-0.023237976954507245,0.20819197986595953,-0.11161802183479198,-0.4972732669821279,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.7233927898018859,0.24569703680188404,0.31531171102821637,0.7792195094837353,-0.44320051414405315,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.05741564955385692,0.008195122786420317,0.23020908154990433,0.03559860771454315,-0.4251734101501061,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,1.0808265053011885,0.5122006974396036,0.2961852490558957,1.7293254781332534,-0.29886620057787916,shared_baselines,heuristic_reference,profit,none,,,,
test,random,-0.10340089315060574,-0.03360535678261567,0.20483744935891426,-0.164058656694815,-0.30369722185753223,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,55.51153587022006,1.0148525793295087,0.20681461951234256,4.907064025369555,-0.11634149467694754,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.205488989040856,0.09015215909001228,0.23641336333856766,0.38133275470094874,-0.2108750630571996,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.23481960545348834,0.1388077744793914,0.21715589429506596,0.6392079521027548,-0.3181381295179514,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,1.2513878074581846,0.17206805488934895,0.21109719161332813,0.8151129514054843,-0.24915473288626344,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.33284147094640915,0.1254731453835234,0.2385300758543517,0.5260265186019487,-0.3075696999843073,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.4762803036145551,0.24436937741196907,0.21033437362662083,1.161813797709385,-0.2133548341248943,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
train,double_dqn,55.130015938299664,1.0137753378573309,0.20986787748929525,4.8305407668166875,-0.15001391749627002,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.4199706933127296,0.15245688006409974,0.25416001335296756,0.5998460499463917,-0.36011436832144095,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.7289232682546267,0.35839070904577564,0.2451964225306157,1.4616473819108282,-0.2560153407703909,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,13.350535542174306,0.5953321581754238,0.1938017097900484,3.071862259731177,-0.14474871016164748,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.4414174783521987,0.1532680966494815,0.2379855129324717,0.644022801055841,-0.26543821682846347,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.943325019488205,0.4396741824887973,0.24194492967957415,1.817249004023729,-0.1214723342601648,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,11.323242610490867,0.5556158142825454,0.19585283075422535,2.836904690848123,-0.13120760023454636,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,0.4695897464859278,0.16108038310439832,0.2414208360930421,0.6672182306680395,-0.4237704334546387,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,0.4582946299390487,0.2377181515731972,0.21436371300354373,1.108947723672184,-0.2265972740048,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
train,double_dqn,12.236425684664445,0.5765399657809367,0.20236849343770824,2.8489611005499897,-0.14224782483197096,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.7354962856299156,0.23086510949801697,0.26720372730076913,0.8640040759541922,-0.359044995745326,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,1.022194560393788,0.47875141899291074,0.26769882725992356,1.7883956530301293,-0.25618312130360354,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,7.002187088415333,0.4506435364862713,0.21014320959412186,2.1444591874115773,-0.1449039224606341,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,1.0641988892096466,0.29746030712831684,0.2617426284423856,1.1364610682581013,-0.24689239935259244,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,0.945300580154494,0.4521138517751786,0.273232305687095,1.6546866617336908,-0.29886620057787916,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,23.625878565155833,0.7498231420778938,0.20174773730835185,3.7166371830572844,-0.11326144813009731,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,1.001754829513147,0.2869556982976327,0.267271829228449,1.0736473766277814,-0.33836863976647247,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,1.0738952427184931,0.4915620537636085,0.25206568234088833,1.9501347791518495,-0.2447808333050614,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,14.368732153784102,0.6191629568778352,0.20973109861037534,2.952175242394908,-0.16761377167710323,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,1.4548138644022734,0.3602065834017405,0.23391758360333612,1.5398867321259524,-0.17399747033796908,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,0.25242765432864567,0.14684566936819565,0.21760087313283782,0.6748395227189711,-0.20074368010396038,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,17.511768939075115,0.6710994063187925,0.2113222512109615,3.175715772821475,-0.12871917799562205,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
