seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,profit_none_seed42,profit,none,0.005,20,1e-06,train,double_dqn,99.14145347722486,1.2224365639167578,0.21653525393995302,5.645438983601947,-0.11671442329096704,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,validation,double_dqn,0.12537717801528636,0.0706624239781597,0.25074128503467824,0.28181407767925765,-0.40891432851471954,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,test,double_dqn,-0.4169936335901804,-0.162918934853452,0.43160850696439784,-0.3774692394255582,-0.7023292253165988,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,train,double_dqn,8.826261130930106,0.5102392717326454,0.2360937741453022,2.1611720748664145,-0.18006427294350746,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,validation,double_dqn,-0.0003840378021269242,0.037085999957198856,0.27007595634400033,0.13731692542805177,-0.40566353391965915,profit_none
43,profit_none_seed43,profit,none,0.005,20,1e-06,test,double_dqn,-0.40735421772543523,-0.1331542845829503,0.48752634377137744,-0.2731222348989457,-0.656147451621381,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,train,double_dqn,145.57194626147208,1.36986940786033,0.21706053934454403,6.311001585073518,-0.0724026744550732,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,validation,double_dqn,0.3601898481838386,0.13370530265983782,0.2429164232761999,0.5504168917710959,-0.358700321162542,profit_none
44,profit_none_seed44,profit,none,0.005,20,1e-06,test,double_dqn,0.0876500449714368,0.14966812801216411,0.44281412596787945,0.3379931199914355,-0.48021939833932437,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,train,double_dqn,4.7191528200399695,0.36765891030660636,0.19796034114067995,1.857235182502189,-0.1750484305602198,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,validation,double_dqn,-0.044939769570324084,0.018563819625418088,0.2554338151024733,0.07267565423149153,-0.38881062689977297,profit_none
45,profit_none_seed45,profit,none,0.005,20,1e-06,test,double_dqn,-0.40642582477981715,-0.1840062212473147,0.3448154871668014,-0.5336367654458146,-0.46714762862551273,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,train,double_dqn,-0.40839324940759647,-0.06439399581438632,0.20745829780141564,-0.31039489139174314,-0.5305808520804474,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,validation,double_dqn,0.10934018066893358,0.0633018818352451,0.24101606920898422,0.2626458976075834,-0.4717938031727137,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,test,double_dqn,-0.033578106660049345,0.11731494963695388,0.5057079907045,0.23198160162255463,-0.5573032121393268,profit_none
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,train,double_dqn,2.5543330025546216,0.271241972943451,0.23138873622241918,1.172234990223221,-0.32269177066759513,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.09927354662182064,0.053987961532425244,0.21547520722420466,0.2505530089884081,-0.3143187048311704,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,test,double_dqn,0.5925824506198529,0.4390156089173354,0.5058818069509121,0.8678224891371413,-0.4003354687939358,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,train,double_dqn,6.3389580523348075,0.43405605038839945,0.22375596057965502,1.9398636320746394,-0.17872304078616352,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,validation,double_dqn,0.43292299820375013,0.15341195826930476,0.24711231701208716,0.620818743979487,-0.4177435944119434,profit_sparse
