seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,sharpe_none_eta0p001_seed42,sharpe,none,0.001,20,1e-06,train,double_dqn,0.3725573533604638,0.10146842005506573,0.29419800672650204,0.3448983940581037,-0.3185706194625819,sharpe_none
42,sharpe_none_eta0p001_seed42,sharpe,none,0.001,20,1e-06,validation,double_dqn,-0.16999180731648555,0.0006399664660499127,0.3416673829756158,0.0018730686566460633,-0.680579841291969,sharpe_none
42,sharpe_none_eta0p001_seed42,sharpe,none,0.001,20,1e-06,test,double_dqn,0.502823570844446,0.4357165892859378,0.5649252796706121,0.7712818048078653,-0.48662138614885453,sharpe_none
43,sharpe_none_eta0p001_seed43,sharpe,none,0.001,20,1e-06,train,double_dqn,4.342619571259225,0.3567994498522544,0.2146682138089994,1.6620972594001084,-0.1918285245411251,sharpe_none
43,sharpe_none_eta0p001_seed43,sharpe,none,0.001,20,1e-06,validation,double_dqn,0.3177698050127642,0.1317353926623266,0.2738775718314739,0.48100102458695604,-0.4224801020426754,sharpe_none
43,sharpe_none_eta0p001_seed43,sharpe,none,0.001,20,1e-06,test,double_dqn,0.08866581229737247,0.1464319359690398,0.4404229052289011,0.33248029162546555,-0.5901379721953058,sharpe_none
44,sharpe_none_eta0p001_seed44,sharpe,none,0.001,20,1e-06,train,double_dqn,5.008800410415894,0.386186626580898,0.22366246210132062,1.7266492685122674,-0.2644270816087717,sharpe_none
44,sharpe_none_eta0p001_seed44,sharpe,none,0.001,20,1e-06,validation,double_dqn,0.17945888033142854,0.08687795289356148,0.25237129393501084,0.34424657233771516,-0.5054387931719418,sharpe_none
44,sharpe_none_eta0p001_seed44,sharpe,none,0.001,20,1e-06,test,double_dqn,0.44941953977754423,0.29029538171872415,0.371666646364198,0.7810638499809377,-0.354288359882026,sharpe_none
45,sharpe_none_eta0p001_seed45,sharpe,none,0.001,20,1e-06,train,double_dqn,1.7615298276771578,0.2186376413937703,0.23030402628925462,0.9493435478160868,-0.2530676912932547,sharpe_none
45,sharpe_none_eta0p001_seed45,sharpe,none,0.001,20,1e-06,validation,double_dqn,0.10563359924866167,0.07854593002191379,0.297366081693323,0.26413883377230324,-0.525359944781336,sharpe_none
45,sharpe_none_eta0p001_seed45,sharpe,none,0.001,20,1e-06,test,double_dqn,1.4325573608408102,0.7190319451238019,0.43802501115801945,1.641531708937981,-0.37587992665438275,sharpe_none
46,sharpe_none_eta0p001_seed46,sharpe,none,0.001,20,1e-06,train,double_dqn,60.44940134164042,1.0416621858685033,0.20460634400268235,5.0910551720470965,-0.0736187897321341,sharpe_none
46,sharpe_none_eta0p001_seed46,sharpe,none,0.001,20,1e-06,validation,double_dqn,0.043432130259579926,0.038896990379006846,0.2233515996456009,0.17415138481535813,-0.29830816931096593,sharpe_none
46,sharpe_none_eta0p001_seed46,sharpe,none,0.001,20,1e-06,test,double_dqn,0.39972068854922016,0.2770735891617442,0.3952085238078445,0.7010820173920665,-0.4321740136021388,sharpe_none
