step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,36.45000076293945,0,10000.0,0.0
1,2015-01-26,0,35.810001373291016,0,10000.0,0.0
2,2015-01-27,0,34.189998626708984,0,10000.0,0.0
3,2015-01-28,2,33.779998779296875,0,10000.0,0.0
4,2015-01-29,1,34.209999084472656,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,33.040000915527344,1,9648.337269203004,-0.03420047355325284
6,2015-02-02,0,33.650001525878906,1,9826.469577314583,0.01846248769517711
7,2015-02-03,0,33.70000076293945,1,9841.070348773286,0.0014858613608705884
8,2015-02-04,2,33.599998474121094,0,9802.055824196534,-0.003964459473822957
9,2015-02-05,0,33.939998626708984,0,9802.055824196534,0.0
10,2015-02-06,2,33.29999923706055,0,9802.055824196534,0.0
11,2015-02-09,2,32.93000030517578,0,9802.055824196534,0.0
12,2015-02-10,2,33.70000076293945,0,9802.055824196534,0.0
13,2015-02-11,0,33.54999923706055,0,9802.055824196534,0.0
14,2015-02-12,2,34.130001068115234,0,9802.055824196534,0.0
15,2015-02-13,1,34.36000061035156,1,9792.253768372339,-0.0009999999999998899
16,2015-02-17,0,34.7400016784668,1,9900.550241746552,0.011059402251603956
17,2015-02-18,0,34.27000045776367,1,9766.60463223503,-0.01352910759916437
18,2015-02-19,0,34.209999084472656,1,9749.504845760071,-0.0017508425004243433
19,2015-02-20,0,34.40999984741211,1,9806.503046859672,0.005846266246473997
20,2015-02-23,0,33.7599983215332,1,9621.259165073538,-0.018889902027354744
21,2015-02-24,2,34.40999984741211,0,9796.696543812814,0.01823434705679028
22,2015-02-25,2,33.95000076293945,0,9796.696543812814,0.0
23,2015-02-26,0,33.650001525878906,0,9796.696543812814,0.0
24,2015-02-27,2,33.25,0,9796.696543812814,0.0
25,2015-03-02,0,34.060001373291016,0,9796.696543812814,0.0
26,2015-03-03,2,34.099998474121094,0,9796.696543812814,0.0
27,2015-03-04,2,34.119998931884766,0,9796.696543812814,0.0
28,2015-03-05,2,33.72999954223633,0,9796.696543812814,0.0
29,2015-03-06,2,33.189998626708984,0,9796.696543812814,0.0
30,2015-03-09,1,32.720001220703125,1,9786.899847269,-0.001000000000000112
31,2015-03-10,0,31.700000762939453,1,9481.806878079708,-0.031173606959350675
32,2015-03-11,1,32.33000183105469,1,9670.246888082365,0.019873850250873515
33,2015-03-12,2,30.799999237060547,0,9203.394256926405,-0.048277219450447606
34,2015-03-13,1,30.93000030517578,1,9194.190862669479,-0.0010000000000000009
35,2015-03-16,0,30.829999923706055,1,9164.464946584747,-0.003233119317266442
36,2015-03-17,0,30.59000015258789,1,9093.123088166201,-0.0077846179601714915
37,2015-03-18,2,30.88999938964844,0,9173.117969176265,0.008797294420678003
38,2015-03-19,1,30.739999771118164,1,9163.944851207089,-0.0010000000000000009
39,2015-03-20,1,31.309999465942383,1,9333.868267194934,0.018542605695129444
40,2015-03-23,1,31.200000762939453,1,9301.076398114628,-0.0035132131868151895
41,2015-03-24,0,30.790000915527344,1,9178.850763154865,-0.0131410204290483
42,2015-03-25,0,29.88999938964844,1,8910.550034118896,-0.029230318256503796
43,2015-03-26,1,30.079999923706055,1,8967.191362315645,0.006356659014299604
44,2015-03-27,0,32.0,1,9539.565303255044,0.06382978993230615
45,2015-03-30,0,31.459999084472656,1,9378.584865833462,-0.016875028610229492
46,2015-03-31,1,31.270000457763672,1,9321.944106239114,-0.006039371654106507
47,2015-04-01,0,30.809999465942383,1,9184.812559331574,-0.014710616728087711
48,2015-04-02,1,30.809999465942383,1,9184.812559331574,0.0
49,2015-04-06,1,31.040000915527344,1,9253.378617086544,0.0074651559095029185
50,2015-04-07,2,31.260000228881836,0,9309.643960925709,0.006080518929082679
51,2015-04-08,1,31.309999465942383,1,9300.334316964783,-0.0010000000000000009
52,2015-04-09,0,31.239999771118164,1,9279.541580616802,-0.0022356977329356376
53,2015-04-10,2,31.93000030517578,0,9475.015105766443,0.021064998033733406
54,2015-04-13,1,31.729999542236328,1,9465.540090660676,-0.0010000000000000009
55,2015-04-14,2,31.489999771118164,0,9384.550574504645,-0.008556248812039868
56,2015-04-15,0,32.83000183105469,0,9384.550574504645,0.0
57,2015-04-16,1,32.869998931884766,1,9375.16602393014,-0.0010000000000000009
58,2015-04-17,0,32.470001220703125,1,9261.078860152282,-0.012169081964698014
59,2015-04-20,2,32.72999954223633,0,9325.900226744372,0.006999332104923317
60,2015-04-21,1,32.43000030517578,1,9316.574326517628,-0.0010000000000000009
61,2015-04-22,2,32.70000076293945,0,9384.746615279866,0.007317312820464439
62,2015-04-23,2,32.349998474121094,0,9384.746615279866,0.0
