step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,43.310001373291016,0,10000.0,0.0
1,2015-01-26,0,43.0,0,10000.0,0.0
2,2015-01-27,0,42.38999938964844,0,10000.0,0.0
3,2015-01-28,2,41.91999816894531,0,10000.0,0.0
4,2015-01-29,1,42.099998474121094,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,41.16999816894531,1,9769.318209371977,-0.022090269332134427
6,2015-02-02,0,41.59000015258789,1,9868.9813915255,0.010201651744531581
7,2015-02-03,0,41.630001068115234,1,9878.473295577796,0.0009617916657991277
8,2015-02-04,2,41.68000030517578,0,9880.447385321226,0.0001998375340359626
9,2015-02-05,0,41.790000915527344,0,9880.447385321226,0.0
10,2015-02-06,2,41.45000076293945,0,9880.447385321226,0.0
11,2015-02-09,2,41.22999954223633,0,9880.447385321226,0.0
12,2015-02-10,2,42.400001525878906,0,9880.447385321226,0.0
13,2015-02-11,0,42.369998931884766,0,9880.447385321226,0.0
14,2015-02-12,2,42.16999816894531,0,9880.447385321226,0.0
15,2015-02-13,1,41.9900016784668,1,9870.566937935904,-0.0010000000000000009
16,2015-02-17,0,41.810001373291016,1,9828.254363749998,-0.004286742033356217
17,2015-02-18,0,41.72999954223633,1,9809.448376681232,-0.0019134615744307304
18,2015-02-19,0,42.11000061035156,1,9898.775021820235,0.009106184334620515
19,2015-02-20,0,41.970001220703125,1,9865.865441168713,-0.003324611437170555
20,2015-02-23,0,41.849998474121094,1,9837.656460565562,-0.002859250490629961
21,2015-02-24,2,42.130001068115234,0,9893.573042068838,0.0056839331325928555
22,2015-02-25,2,42.04999923706055,0,9893.573042068838,0.0
23,2015-02-26,0,42.459999084472656,0,9893.573042068838,0.0
24,2015-02-27,2,43.29999923706055,0,9893.573042068838,0.0
25,2015-03-02,0,43.20000076293945,0,9893.573042068838,0.0
26,2015-03-03,2,42.95000076293945,0,9893.573042068838,0.0
27,2015-03-04,2,42.5,0,9893.573042068838,0.0
28,2015-03-05,2,42.400001525878906,0,9893.573042068838,0.0
29,2015-03-06,2,41.52000045776367,0,9893.573042068838,0.0
30,2015-03-09,1,41.38999938964844,1,9883.679469026769,-0.0010000000000000009
31,2015-03-10,0,40.689998626708984,1,9716.52355525553,-0.016912316338775324
32,2015-03-11,1,40.099998474121094,1,9575.63511648174,-0.014499881359067435
33,2015-03-12,2,40.56999969482422,0,9678.180673501012,0.010709008412691956
34,2015-03-13,1,39.90999984741211,1,9668.50249282751,-0.001000000000000112
35,2015-03-16,0,40.290000915527344,1,9760.560655904339,0.009521450001706233
36,2015-03-17,0,40.5099983215332,1,9813.856708936552,0.0054603475057524165
37,2015-03-18,2,40.599998474121094,0,9825.824273833096,0.0012194558420286494
38,2015-03-19,1,40.02000045776367,1,9815.998449559262,-0.001000000000000112
39,2015-03-20,1,40.650001525878906,1,9970.523423000139,0.01574215544500368
40,2015-03-23,1,40.619998931884766,1,9963.164467159044,-0.0007380711652629213
41,2015-03-24,0,40.470001220703125,1,9926.373430588459,-0.0036927059361366865
42,2015-03-25,0,40.45000076293945,1,9921.46777191397,-0.0004942045258312655
43,2015-03-26,1,40.349998474121094,1,9896.939478541526,-0.002472244423539882
44,2015-03-27,0,40.08000183105469,1,9830.715425582728,-0.006691366871787396
45,2015-03-30,0,40.5099983215332,1,9936.183812278716,0.010728454861130832
46,2015-03-31,1,40.54999923706055,1,9945.995129627694,0.0009874331568680006
47,2015-04-01,0,40.68000030517578,1,9977.881443182512,0.003205945020004375
48,2015-04-02,1,40.68000030517578,1,9977.881443182512,0.0
49,2015-04-06,1,41.16999816894531,1,10098.066805901966,0.012045178468378381
50,2015-04-07,2,41.0099983215332,0,10048.763649692612,-0.0048824351390247545
51,2015-04-08,1,40.88999938964844,1,10038.714886042919,-0.0010000000000000009
52,2015-04-09,0,41.04999923706055,1,10077.99570956837,0.00391293347518662
53,2015-04-10,2,40.880001068115234,0,10026.223984059583,-0.005137105333318681
54,2015-04-13,1,40.70000076293945,1,10016.197760075524,-0.0010000000000000009
55,2015-04-14,2,40.5099983215332,0,9959.469058866915,-0.005663696201639423
56,2015-04-15,0,40.400001525878906,0,9959.469058866915,0.0
57,2015-04-16,1,40.599998474121094,1,9949.509589808047,-0.0010000000000000009
58,2015-04-17,0,40.29999923706055,1,9875.991230245261,-0.007389144047671992
59,2015-04-20,2,40.65999984741211,0,9954.249422019613,0.00792408477790918
60,2015-04-21,1,40.779998779296875,1,9944.295172597593,-0.001000000000000112
61,2015-04-22,2,41.310001373291016,0,10063.463969438038,0.011983634312145774
62,2015-04-23,2,40.95000076293945,0,10063.463969438038,0.0
63,2015-04-24,1,40.88999938964844,1,10053.4005054686,-0.0010000000000000009
64,2015-04-27,2,40.83000183105469,0,10028.610584654942,-0.002465824454141119
65,2015-04-28,0,40.77000045776367,0,10028.610584654942,0.0
66,2015-04-29,2,40.4900016784668,0,10028.610584654942,0.0
67,2015-04-30,0,40.560001373291016,0,10028.610584654942,0.0
68,2015-05-01,0,40.90999984741211,0,10028.610584654942,0.0
69,2015-05-04,2,40.959999084472656,0,10028.610584654942,0.0
70,2015-05-05,0,40.75,0,10028.610584654942,0.0
71,2015-05-06,1,40.65999984741211,1,10018.581974070286,-0.0010000000000000009
72,2015-05-07,0,40.70000076293945,1,10028.438158348508,0.0009837903511427104
73,2015-05-08,0,40.97999954223633,1,10097.429568421125,0.0068795767579403755
74,2015-05-11,0,40.939998626708984,1,10087.573384142903,-0.0009761082472955485
75,2015-05-12,1,40.689998626708984,1,10025.973642310219,-0.006106497517977427
76,2015-05-13,1,41.04999923706055,1,10114.677420939279,0.008847397947938429
77,2015-05-14,1,41.5,1,10225.557144225604,0.01096225995866007
78,2015-05-15,2,41.52000045776367,0,10220.25475112835,-0.0005185431974480403
79,2015-05-18,1,41.31999969482422,1,10210.034496377222,-0.0010000000000000009
80,2015-05-19,0,41.310001373291016,1,10207.563944380276,-0.00024197293337480108
81,2015-05-20,1,41.349998474121094,1,10217.447094967069,0.0009682183369748021
82,2015-05-21,1,41.22999954223633,1,10187.795758008677,-0.0029020298987403326
83,2015-05-22,0,41.209999084472656,1,10182.853711415777,-0.00048509478500435854
84,2015-05-26,2,40.9900016784668,0,10118.364591007801,-0.0063331087959830334
85,2015-05-27,1,41.119998931884766,1,10108.246226416793,-0.0010000000000000009
86,2015-05-28,2,41.13999938964844,0,10103.049638444529,-0.0005140939244914211
87,2015-05-29,2,40.959999084472656,0,10103.049638444529,0.0
88,2015-06-01,2,40.939998626708984,0,10103.049638444529,0.0
89,2015-06-02,0,40.9900016784668,0,10103.049638444529,0.0
90,2015-06-03,2,40.869998931884766,0,10103.049638444529,0.0
91,2015-06-04,2,40.59000015258789,0,10103.049638444529,0.0
92,2015-06-05,0,40.099998474121094,0,10103.049638444529,0.0
93,2015-06-08,2,40.15999984741211,0,10103.049638444529,0.0
94,2015-06-09,2,40.20000076293945,0,10103.049638444529,0.0
95,2015-06-10,0,40.33000183105469,0,10103.049638444529,0.0
96,2015-06-11,0,40.099998474121094,0,10103.049638444529,0.0
97,2015-06-12,1,39.959999084472656,1,10092.946588806084,-0.0010000000000000009
98,2015-06-15,1,39.59000015258789,1,9999.493647289893,-0.00925923274178797
99,2015-06-16,1,40.08000183105469,1,10123.256432137214,0.012376905192680754
100,2015-06-17,2,40.27000045776367,0,10161.074326586468,0.0037357439972771633
101,2015-06-18,2,40.650001525878906,0,10161.074326586468,0.0
102,2015-06-19,2,40.400001525878906,0,10161.074326586468,0.0
103,2015-06-22,0,40.47999954223633,0,10161.074326586468,0.0
104,2015-06-23,2,40.380001068115234,0,10161.074326586468,0.0
105,2015-06-24,1,40.189998626708984,1,10150.913252259881,-0.0010000000000000009
106,2015-06-25,0,40.02000045776367,1,10107.976284731347,-0.004229862521874628
107,2015-06-26,0,40.0,1,10102.92470675917,-0.0004997615575936809
108,2015-06-29,0,39.400001525878906,1,9951.381221553775,-0.014999961853027322
109,2015-06-30,1,39.22999954223633,1,9908.443290535257,-0.004314770991339145
110,2015-07-01,1,39.5,1,9976.63814792468,0.0068824996409440065
111,2015-07-02,1,39.4900016784668,1,9974.112840683581,-0.00025312206413175
112,2015-07-06,0,39.41999816894531,1,9956.43183603597,-0.001772689454193066
113,2015-07-07,0,40.25,1,10166.067986176413,0.021055349305128868
114,2015-07-08,2,39.86000061035156,0,10057.497059819465,-0.010679736403944928
115,2015-07-09,2,39.91999816894531,0,10057.497059819465,0.0
116,2015-07-10,1,40.38999938964844,1,10047.439562759646,-0.0010000000000000009
117,2015-07-13,0,40.65999984741211,1,10114.605032487116,0.0066848344105909785
118,2015-07-14,2,41.16999816894531,0,10231.23103683213,0.01153045561051802
119,2015-07-15,1,41.130001068115234,1,10220.999805795298,-0.0010000000000000009
120,2015-07-16,1,41.47999954223633,1,10307.97608206857,0.00850956637568423
121,2015-07-17,2,41.25,0,10240.569287842423,-0.006539285082685198
122,2015-07-20,1,41.380001068115234,1,10230.328718554581,-0.0010000000000000009
123,2015-07-21,0,41.189998626708984,1,10183.354639706342,-0.004591649021310817
124,2015-07-22,1,40.900001525878906,1,10111.658999485455,-0.007040473670762215
125,2015-07-23,0,40.84000015258789,1,10096.824930938155,-0.0014670261871028156
126,2015-07-24,0,40.439998626708984,1,9997.933026829003,-0.009794356620578148
127,2015-07-27,2,40.540000915527344,0,10012.63381793343,0.0014703830346711744
128,2015-07-28,2,40.54999923706055,0,10012.63381793343,0.0
129,2015-07-29,2,40.59000015258789,0,10012.63381793343,0.0
