dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,2.509700594059561,0.3004507547537061,0.31917186703614975,0.9413447292322813,-0.42960920662715507,shared_baselines,heuristic_reference,profit,none,,,,
train,random,-0.3350958828250956,-0.039473228049163755,0.23609258942127814,-0.16719384604964727,-0.6608909591241972,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.8796757061969951,0.36506565007170777,0.47424052135107353,0.7697900825337842,-0.7673609153644646,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.25661184947325877,-0.021923352249272776,0.3660332866593367,-0.05989442230612378,-0.6695274170468255,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,0.19485583846407217,0.16360436584900095,0.3519113382217006,0.4649022298506672,-0.3420934544563652,shared_baselines,heuristic_reference,profit,none,,,,
test,random,0.31574738531055746,0.18263292487967342,0.24269892491742837,0.7525081742402001,-0.17561561647757373,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,0.4879911229608884,0.10739852568748787,0.26326117641018,0.4079542876468545,-0.4259955766814808,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,1.1525924879463814,0.36796251610244535,0.3847755768251329,0.9563042413933447,-0.4840757092465755,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.10654690367850628,0.09712737512566649,0.29045858722801843,0.33439319543828355,-0.2625596932323404,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,1.5218312155160345,0.20527239858620727,0.24936254846676167,0.8231885655979678,-0.3850064398203442,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,1.2695609190478536,0.40072045083461316,0.4031878250893564,0.9938803354139069,-0.5300010699790328,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.15450375408137895,0.12203099517022231,0.29352341083583605,0.4157453568106454,-0.23817414364051737,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
train,double_dqn,3.995097436212383,0.34968711150462695,0.2412877109960261,1.4492537148333515,-0.1809880679920839,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.5914517841803877,0.22392021671710327,0.33409190737489786,0.670235380666774,-0.4216163507408216,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,-0.1233235339981491,-0.022522074161032246,0.2958017930392333,-0.07613907248373257,-0.3381487088578493,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,154.3615533379331,1.3961419922468008,0.22161872432210172,6.299747444704362,-0.08554030526313272,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.7167032393259669,0.2677405312342396,0.3631091602312165,0.7373554857821566,-0.45904063232574366,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.10159386701125572,0.0852695914646604,0.2581345996215282,0.33032995805165594,-0.3120219747521681,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,315.93815494411064,1.6943065248128475,0.209093263564911,8.103113873330818,-0.061691968535151354,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,1.27237102525226,0.36927153236634935,0.34042656808889366,1.0847318246615922,-0.360745366377462,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,0.08219064059826531,0.07814460982366622,0.26837165289193504,0.2911805661350256,-0.16341292101101024,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
train,double_dqn,22.490244336837794,0.7570813428154666,0.254568966729822,2.9739734286582102,-0.24487371128187618,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.9823501699714245,0.30454777618441975,0.31847252042222984,0.956276465487984,-0.42423837871359704,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.004183512030842218,0.020867249790730735,0.21521732975126373,0.09695896615225152,-0.17243893658242893,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,16.88448793292814,0.6657497313192837,0.22386160970032348,2.9739343526141084,-0.10537345736196879,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,1.2526152263433534,0.3746854182793369,0.35835713838947597,1.045564265758018,-0.5354541369706254,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,0.01492932059397667,0.03432002137966683,0.22991313203234595,0.1492738630294438,-0.30017269616937625,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,2.537422033024699,0.2838541764613971,0.2724271233057629,1.0419453577785236,-0.3085288859496955,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,1.3264228457710816,0.40334676707931383,0.38978092144374177,1.0348037702443835,-0.5000181133665249,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,-0.023493242567952044,0.04061258765092357,0.3225006785155037,0.12593023939629072,-0.26400678695653357,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,20.521662171134828,0.7392490672840337,0.27051458633316616,2.732751225375971,-0.28097007479868996,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,3.188136384643938,0.6567363058501763,0.34524493452921673,1.9022329950929353,-0.24727959409529443,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,-0.10245646127969177,-0.01384533022447243,0.2860227721983054,-0.04840639127458418,-0.20826978458930512,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,14.538956960519863,0.6244170287115567,0.2171188303096309,2.875922958045979,-0.10977521046382277,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,2.025844542663478,0.521585561514708,0.38381643675848187,1.3589453487707666,-0.449722582376086,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,0.03924436095167794,0.07488435216949285,0.3257185796921515,0.22990506786646553,-0.22535344905786525,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,0.5669482827289296,0.12245321434682843,0.2804084332253003,0.4366959043932916,-0.4164954058165493,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,1.325000910845326,0.37683845145838113,0.332558183820298,1.1331504374043928,-0.46092978852007194,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.009793367240581219,0.03073006385921162,0.22342190419882987,0.13754275333659324,-0.20939249953157646,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,4.831157034822504,0.39998366675560826,0.2798178131947186,1.4294431872972615,-0.3632870154089246,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.9516584958925265,0.3535653782873154,0.4295089459594142,0.8231851317963584,-0.7244485320109268,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
