step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,47.18000030517578,0,10000.0,0.0
1,2015-01-26,0,47.0099983215332,0,10000.0,0.0
2,2015-01-27,0,42.65999984741211,0,10000.0,0.0
3,2015-01-28,2,41.189998626708984,0,10000.0,0.0
4,2015-01-29,1,42.0099983215332,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,40.400001525878906,1,9607.141903565793,-0.0383241337771979
6,2015-02-02,0,41.279998779296875,1,9816.405719630728,0.021782109410423578
7,2015-02-03,0,41.599998474121094,1,9892.501817679256,0.007751930820906638
8,2015-02-04,2,41.84000015258789,0,9939.624770439392,0.00476350205727738
9,2015-02-05,0,42.45000076293945,0,9939.624770439392,0.0
10,2015-02-06,2,42.40999984741211,0,9939.624770439392,0.0
11,2015-02-09,2,42.36000061035156,0,9939.624770439392,0.0
12,2015-02-10,2,42.599998474121094,0,9939.624770439392,0.0
13,2015-02-11,0,42.380001068115234,0,9939.624770439392,0.0
14,2015-02-12,2,43.09000015258789,0,9939.624770439392,0.0
15,2015-02-13,1,43.869998931884766,1,9929.685145668953,-0.0010000000000000009
16,2015-02-17,0,43.58000183105469,1,9864.046213038238,-0.006610374011641662
17,2015-02-18,0,43.529998779296875,1,9852.728351803535,-0.0011473852605986545
18,2015-02-19,0,43.5,1,9845.938325807982,-0.0006891518524724249
19,2015-02-20,0,43.86000061035156,1,9927.422091480963,0.008275876100035884
20,2015-02-23,0,44.150001525878906,1,9993.061887543265,0.006611967886268166
21,2015-02-24,2,44.09000015258789,0,9969.50149114845,-0.0023576754212023543
22,2015-02-25,2,43.9900016784668,0,9969.50149114845,0.0
23,2015-02-26,0,44.060001373291016,0,9969.50149114845,0.0
24,2015-02-27,2,43.849998474121094,0,9969.50149114845,0.0
25,2015-03-02,0,43.880001068115234,0,9969.50149114845,0.0
26,2015-03-03,2,43.279998779296875,0,9969.50149114845,0.0
27,2015-03-04,2,43.060001373291016,0,9969.50149114845,0.0
28,2015-03-05,2,43.11000061035156,0,9969.50149114845,0.0
29,2015-03-06,2,42.36000061035156,0,9969.50149114845,0.0
30,2015-03-09,1,42.849998474121094,1,9959.531989657302,-0.0010000000000000009
31,2015-03-10,0,42.029998779296875,1,9768.94124326455,-0.01913651631328417
32,2015-03-11,1,41.97999954223633,1,9757.32002929266,-0.0011896083395835921
33,2015-03-12,2,41.02000045776367,0,9524.655339592771,-0.02384514282624739
34,2015-03-13,1,41.380001068115234,1,9515.130684253178,-0.001000000000000112
35,2015-03-16,0,41.560001373291016,1,9556.520881999517,0.0043499347638846775
36,2015-03-17,0,41.70000076293945,1,9588.713063097524,0.0033686088792672653
37,2015-03-18,2,42.5,0,9762.896341198186,0.018165448997635725
38,2015-03-19,1,42.290000915527344,1,9753.133444856987,-0.001000000000000112
39,2015-03-20,1,42.880001068115234,1,9889.202257722936,0.013951292026840978
40,2015-03-23,1,42.86000061035156,1,9884.58965121302,-0.00046642857428802476
