dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,7.6524704747893,0.5685901235166204,0.41847198753394,1.3587292350614153,-0.4417738538312729,shared_baselines,heuristic_reference,profit,none,,,,
train,random,-0.23998832621789357,0.0009050479518721843,0.3084226686642709,0.00293444044107329,-0.6352312352543428,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,0.20049347530336248,0.1980154690453393,0.4852471402248269,0.4080713777181538,-0.759473182516135,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.12309951550147435,0.04306008003969275,0.39301799283990685,0.1095626175497593,-0.5520667638761667,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,0.47323791168679596,0.2835358816410276,0.32951332080043017,0.860468647981461,-0.43351277477683203,shared_baselines,heuristic_reference,profit,none,,,,
test,random,0.005511357703354758,0.029437839009911926,0.22952623017922208,0.12825479243451102,-0.2537820069523884,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,8.285018460254697,0.5477286512713964,0.3525365267649411,1.5536791500660652,-0.3186314648982642,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.4025556109531212,0.18783999442734078,0.36372761508523516,0.5164303908663156,-0.5700461531620843,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.5072088382595994,0.2712915002277707,0.2563379235660051,1.0583354052874474,-0.3523744577123378,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,3048.014260081555,3.0601933917460373,0.32201655818112235,9.503217502327294,-0.1292898670898095,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.8492652806608705,0.3086700844486807,0.3930504346311575,0.7853192803064569,-0.46388160501349796,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.21628584464334089,0.14009310414085085,0.2550754722009231,0.5492221691566622,-0.38167046657298,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
