step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,6.249429225921631,0,10000.0,0.0
1,2015-01-26,0,6.379428863525391,0,10000.0,0.0
2,2015-01-27,0,6.488142967224121,0,10000.0,0.0
3,2015-01-28,2,6.320857048034668,0,10000.0,0.0
4,2015-01-29,1,6.340000152587891,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,6.311429023742676,1,9944.980193959902,-0.004506487091100908
6,2015-02-02,0,6.301000118255615,1,9928.547265993298,-0.0016523841823822272
7,2015-02-03,0,6.527429103851318,1,10285.33362429926,0.03593540411778129
8,2015-02-04,2,6.41014289855957,0,10090.424083497945,-0.018950240013686837
9,2015-02-05,0,6.413000106811523,0,10090.424083497945,0.0
10,2015-02-06,2,6.3480000495910645,0,10090.424083497945,0.0
11,2015-02-09,2,6.329570770263672,0,10090.424083497945,0.0
12,2015-02-10,2,6.485000133514404,0,10090.424083497945,0.0
13,2015-02-11,0,6.498428821563721,0,10090.424083497945,0.0
14,2015-02-12,2,6.52471399307251,0,10090.424083497945,0.0
15,2015-02-13,1,6.658570766448975,1,10080.333659414448,-0.0009999999999998899
16,2015-02-17,0,6.713714122772217,1,10163.81455198664,0.008281560451545822
17,2015-02-18,0,6.786571025848389,1,10274.111779148363,0.01085195195146138
18,2015-02-19,0,6.78000020980835,1,10264.164296359417,-0.0009682085422834108
19,2015-02-20,0,6.8314290046691895,1,10342.021757079223,0.007585367738844662
20,2015-02-23,0,6.740571022033691,1,10204.472902721165,-0.013299996614675846
21,2015-02-24,2,6.783999919891357,0,10259.949192015747,0.0054364678924070375
22,2015-02-25,2,6.833285808563232,0,10259.949192015747,0.0
23,2015-02-26,0,6.900428771972656,0,10259.949192015747,0.0
24,2015-02-27,2,6.78442907333374,0,10259.949192015747,0.0
25,2015-03-02,0,6.860713958740234,0,10259.949192015747,0.0
26,2015-03-03,2,6.781570911407471,0,10259.949192015747,0.0
27,2015-03-04,2,6.710999965667725,0,10259.949192015747,0.0
28,2015-03-05,2,6.680714130401611,0,10259.949192015747,0.0
29,2015-03-06,2,6.487429141998291,0,10259.949192015747,0.0
30,2015-03-09,1,6.366143226623535,1,10249.689242823732,-0.0010000000000000009
31,2015-03-10,0,6.215143203735352,1,10006.574494196873,-0.0237192311754304
32,2015-03-11,1,6.288428783416748,1,10124.566564273642,0.011791454722612338
33,2015-03-12,2,6.404571056365967,0,10301.247688556157,0.01745073462265201
34,2015-03-13,1,6.262856960296631,1,10290.946440867601,-0.0010000000000000009
35,2015-03-16,0,6.028142929077148,1,9905.271095013077,-0.037477150237894885
36,2015-03-17,0,5.978857040405273,1,9824.285940182268,-0.008175965509069405
37,2015-03-18,2,6.0445709228515625,0,9922.332836821284,0.009980053230942199
38,2015-03-19,1,6.074429035186768,1,9912.410503984464,-0.0009999999999998899
39,2015-03-20,1,6.118570804595947,1,9984.442185681863,0.007266817861149466
40,2015-03-23,1,6.0714287757873535,1,9907.514603050704,-0.007704745162576687
41,2015-03-24,0,6.261143207550049,1,10217.095522552574,0.031247081826812906
42,2015-03-25,0,6.025000095367432,1,9831.751080781418,-0.03771565421117684
43,2015-03-26,1,5.975142955780029,1,9750.39291011516,-0.008275043783939173
44,2015-03-27,0,5.925285816192627,1,9669.034739448905,-0.008344091506492401
45,2015-03-30,0,6.03671407699585,1,9850.866259156934,0.018805550358214074
46,2015-03-31,1,5.952713966369629,1,9713.792704739879,-0.013914873150332019
47,2015-04-01,0,5.901713848114014,1,9630.569391902894,-0.008567540544320629
48,2015-04-02,1,5.91542911529541,1,9652.95031983642,0.002323946489845463
49,2015-04-06,1,6.0329999923706055,1,9844.805519746085,0.01987529134128141
50,2015-04-07,2,6.049428939819336,0,9861.743086667693,0.0017204572388591632
51,2015-04-08,1,6.304999828338623,1,9851.881343581026,-0.0009999999999998899
52,2015-04-09,0,6.278571128845215,1,9810.58516300003,-0.004191705029811588
53,2015-04-10,2,6.493856906890869,0,10136.833107260396,0.03325468754817895
54,2015-04-13,1,6.7811431884765625,1,10126.696274153135,-0.0010000000000000009
55,2015-04-14,2,6.838714122772217,0,10202.45780443276,0.00748136689682255
56,2015-04-15,0,6.792285919189453,0,10202.45780443276,0.0
57,2015-04-16,1,8.02928638458252,1,10192.255346628328,-0.0010000000000000009
58,2015-04-17,0,8.164999961853027,1,10364.5281199848,0.01690232117403334
59,2015-04-20,2,8.105570793151855,0,10278.800537641258,-0.008271247986509134
60,2015-04-21,1,8.006285667419434,1,10268.521737103618,-0.0009999999999998899
61,2015-04-22,2,7.966856956481934,0,10207.734195991738,-0.005919794754120744
62,2015-04-23,2,7.986570835113525,0,10207.734195991738,0.0
63,2015-04-24,1,7.977142810821533,1,10197.526461795745,-0.0010000000000000009
64,2015-04-27,2,8.086856842041016,0,10327.440871569834,0.012739796288913974
65,2015-04-28,0,8.043713569641113,0,10327.440871569834,0.0
66,2015-04-29,2,8.040714263916016,0,10327.440871569834,0.0
67,2015-04-30,0,7.949999809265137,0,10327.440871569834,0.0
68,2015-05-01,0,7.957571029663086,0,10327.440871569834,0.0
69,2015-05-04,2,7.927143096923828,0,10327.440871569834,0.0
70,2015-05-05,0,8.079285621643066,0,10327.440871569834,0.0
71,2015-05-06,1,8.00771427154541,1,10317.113430698264,-0.0010000000000000009
72,2015-05-07,0,8.074856758117676,1,10403.619595440767,0.008384725565302675
73,2015-05-08,0,8.208571434020996,1,10575.897155786008,0.01655938673697177
74,2015-05-11,0,8.427857398986816,1,10858.424491002212,0.026714266511341345
75,2015-05-12,1,8.337714195251465,1,10742.284275903767,-0.010695862479375706
76,2015-05-13,1,8.287285804748535,1,10677.312499026686,-0.006048227286520436
77,2015-05-14,1,8.383570671081543,1,10801.365612553369,0.01161838370263979
78,2015-05-15,2,8.760713577270508,0,11275.98805013576,0.043940965856278824
79,2015-05-18,1,8.826713562011719,1,11264.712062085624,-0.0010000000000000009
80,2015-05-19,0,8.806857109069824,1,11239.371121384042,-0.0022495861910997172
81,2015-05-20,1,8.878999710083008,1,11331.440000940866,0.008191639777928028
82,2015-05-21,1,8.900285720825195,1,11358.605353059367,0.0023973433311428316
83,2015-05-22,0,8.883856773376465,1,11337.638618249985,-0.0018458898920838962
84,2015-05-26,2,8.799285888671875,0,11218.478969584417,-0.010510094092588074
85,2015-05-27,1,8.985713958740234,1,11207.260490614834,-0.0010000000000000009
86,2015-05-28,2,8.950714111328125,0,11152.443990338543,-0.004891159647997356
87,2015-05-29,2,8.915143013000488,0,11152.443990338543,0.0
88,2015-06-01,2,8.900285720825195,0,11152.443990338543,0.0
89,2015-06-02,0,8.913000106811523,0,11152.443990338543,0.0
90,2015-06-03,2,8.880857467651367,0,11152.443990338543,0.0
91,2015-06-04,2,8.934857368469238,0,11152.443990338543,0.0
92,2015-06-05,0,9.04599952697754,0,11152.443990338543,0.0
93,2015-06-08,2,8.960429191589355,0,11152.443990338543,0.0
94,2015-06-09,2,9.244999885559082,0,11152.443990338543,0.0
95,2015-06-10,0,9.587142944335938,0,11152.443990338543,0.0
96,2015-06-11,0,9.509428977966309,0,11152.443990338543,0.0
97,2015-06-12,1,9.44185733795166,1,11141.291546348204,-0.0010000000000000009
98,2015-06-15,1,9.343143463134766,1,11024.810220731888,-0.010454921238866155
99,2015-06-16,1,9.5272855758667,1,11242.09596128853,0.019708796451483712
100,2015-06-17,2,9.427143096923828,0,11112.804969053166,-0.01150061275767178
101,2015-06-18,2,9.474286079406738,0,11112.804969053166,0.0
102,2015-06-19,2,9.3871431350708,0,11112.804969053166,0.0
103,2015-06-22,0,9.64142894744873,0,11112.804969053166,0.0
104,2015-06-23,2,9.73128604888916,0,11112.804969053166,0.0
105,2015-06-24,1,9.694429397583008,1,11101.692164084114,-0.0009999999999998899
106,2015-06-25,0,9.489143371582031,1,10866.606407843605,-0.0211756687868766
107,2015-06-26,0,9.308856964111328,1,10660.149264774682,-0.018999228951542824
108,2015-06-29,0,9.223142623901367,1,10561.992459455556,-0.00920782653986607
109,2015-06-30,1,9.384857177734377,1,10747.181821456983,0.017533563171183486
110,2015-07-01,1,9.363571166992188,1,10722.805890809628,-0.0022681230346999204
111,2015-07-02,1,9.40442943572998,1,10769.595227580443,0.004363534810503111
112,2015-07-06,0,9.45714282989502,1,10829.960603503463,0.005605166642514758
113,2015-07-07,0,9.409143447875977,1,10774.993535160633,-0.005075463370111333
114,2015-07-08,2,9.350713729858398,0,10697.373960335904,-0.0072036771596606375
115,2015-07-09,2,9.572713851928713,0,10697.373960335904,0.0
116,2015-07-10,1,9.722857475280762,1,10686.67658637557,-0.0009999999999998899
117,2015-07-13,0,10.10871410369873,1,11110.782874788796,0.039685517287378014
118,2015-07-14,2,10.037142753601074,0,11021.084597094177,-0.008073083481646592
119,2015-07-15,1,9.812999725341797,1,11010.063512497083,-0.0010000000000000009
120,2015-07-16,1,11.581000328063965,1,12993.738175794415,0.18016922981831507
121,2015-07-17,2,11.47700023651123,0,12864.174316584815,-0.009971253649774137
122,2015-07-20,1,11.05500030517578,1,12851.31014226823,-0.0010000000000000009
123,2015-07-21,0,11.25100040435791,1,13079.157993283268,0.017729542629715267
124,2015-07-22,1,11.149999618530272,1,12961.745746566632,-0.008977049346520105
125,2015-07-23,0,11.010000228881836,1,12798.998073438304,-0.012555999501181137
126,2015-07-24,0,10.934000015258787,1,12710.648703091281,-0.006902834881300168
127,2015-07-27,2,10.642999649047852,0,12359.991775003327,-0.02758765003100694
128,2015-07-28,2,10.6899995803833,0,12359.991775003327,0.0
129,2015-07-29,2,10.708000183105469,0,12359.991775003327,0.0
130,2015-07-30,1,11.156000137329102,1,12347.631783228324,-0.0010000000000000009
131,2015-07-31,2,11.430999755859377,0,12639.353566499987,0.023625727458759016
132,2015-08-03,2,11.255999565124512,0,12639.353566499987,0.0
133,2015-08-04,1,12.114999771118164,1,12626.71421293349,-0.0009999999999997788
134,2015-08-05,2,12.371000289916992,0,12880.63417679352,0.020109741899435818
135,2015-08-06,1,12.645000457763672,1,12867.753542616725,-0.0010000000000000009
136,2015-08-07,1,12.35200023651123,1,12569.591858273427,-0.023171230576947033
137,2015-08-10,0,12.303000450134276,1,12519.728896477138,-0.00396695154134763
138,2015-08-11,0,12.27400016784668,1,12490.217748067967,-0.0023571715212997724
139,2015-08-12,2,12.050999641418455,0,12251.025577424502,-0.019150360343434758
140,2015-08-13,1,12.373000144958496,1,12238.774551847077,-0.0010000000000000009
141,2015-08-14,0,12.33899974822998,1,12205.143000456266,-0.002747950887430517
142,2015-08-17,0,12.53600025177002,1,12400.006390190349,0.015965678544429762
143,2015-08-18,0,12.404999732971191,1,12270.426999826635,-0.010449945450530018
144,2015-08-19,0,12.206000328063965,1,12073.58639333851,-0.016041870954523918
145,2015-08-20,2,11.24899959564209,0,11115.840491680437,-0.07932571735159821
146,2015-08-21,0,10.395999908447266,0,11115.840491680437,0.0
147,2015-08-24,2,9.687999725341797,0,11115.840491680437,0.0
148,2015-08-25,1,10.152000427246094,1,11104.724651188757,-0.0010000000000000009
149,2015-08-26,2,11.012999534606934,0,12034.478521117071,0.08372597242460977
150,2015-08-27,0,11.765999794006348,0,12034.478521117071,0.0
151,2015-08-28,1,11.762999534606934,1,12022.444042595955,-0.0009999999999998899
152,2015-08-31,1,11.503000259399414,1,11756.71022801051,-0.022103144222916704
153,2015-09-01,2,10.57900047302246,0,10801.518388102262,-0.08124652401761945
154,2015-09-02,1,10.543999671936035,1,10790.71686971416,-0.0009999999999998899
155,2015-09-03,2,10.105999946594238,0,10332.125997205427,-0.042498647499114806
156,2015-09-04,1,9.878999710083008,1,10321.793871208221,-0.0010000000000000009
157,2015-09-08,2,9.494999885559082,0,9910.661915935812,-0.03983144406896433
158,2015-09-09,0,9.91800022125244,0,9910.661915935812,0.0
159,2015-09-10,2,9.947999954223633,0,9910.661915935812,0.0
160,2015-09-11,2,9.75100040435791,0,9910.661915935812,0.0
161,2015-09-14,0,9.569000244140623,0,9910.661915935812,0.0
162,2015-09-15,2,9.916000366210938,0,9910.661915935812,0.0
163,2015-09-16,2,10.407999992370604,0,9910.661915935812,0.0
164,2015-09-17,1,10.42099952697754,1,9900.751254019877,-0.0010000000000000009
165,2015-09-18,2,10.26200008392334,0,9739.939861497623,-0.01624234246436207
166,2015-09-21,1,10.029999732971191,1,9730.199921636126,-0.0010000000000000009
167,2015-09-22,0,9.847000122070312,1,9552.670226017708,-0.018245225899589324
168,2015-09-23,1,9.807000160217283,1,9513.865875464402,-0.004062146984580073
169,2015-09-24,1,10.37600040435791,1,10065.858525349347,0.05801980573517396
170,2015-09-25,0,10.223999977111816,1,9918.401438145569,-0.014649231044965516
171,2015-09-28,1,9.946999549865724,1,9649.680639816626,-0.02709315609020002
172,2015-09-29,0,9.835000038146973,1,9541.028828334847,-0.011259627705549002
173,2015-09-30,2,10.326000213623049,0,10007.335503009677,0.04887383562766279
174,2015-10-01,2,10.597999572753906,0,10007.335503009677,0.0
175,2015-10-02,1,10.611000061035156,1,9997.328167506668,-0.0009999999999998899
176,2015-10-05,2,11.125,0,10471.120059234918,0.04739185148169578
177,2015-10-06,0,10.833000183105469,0,10471.120059234918,0.0
178,2015-10-07,2,10.8100004196167,0,10471.120059234918,0.0
179,2015-10-08,0,11.493000030517578,0,10471.120059234918,0.0
180,2015-10-09,2,11.333000183105469,0,10471.120059234918,0.0
181,2015-10-12,1,11.345000267028809,1,10460.648939175682,-0.001000000000000112
