step,date,action,price,position,portfolio_value,reward
0,2020-10-20,2,9.270000457763672,0,10000.0,0.0
1,2020-10-21,0,9.199999809265137,0,10000.0,0.0
2,2020-10-22,0,9.68000030517578,0,10000.0,0.0
3,2020-10-23,2,9.489999771118164,0,10000.0,0.0
4,2020-10-26,1,9.949999809265137,1,9990.0,-0.0010000000000000009
5,2020-10-27,0,10.949999809265137,1,10994.020119748908,0.10050251448938008
6,2020-10-28,0,10.850000381469728,1,10893.61868227894,-0.009132367994271084
7,2020-10-29,0,10.75,1,10793.216287300767,-0.009216624696208764
8,2020-10-30,2,10.130000114440918,0,10160.553204029471,-0.05861673355102537
9,2020-11-02,0,10.539999961853027,0,10160.553204029471,0.0
10,2020-11-03,2,10.5,0,10160.553204029471,0.0
11,2020-11-04,2,10.720000267028809,0,10160.553204029471,0.0
12,2020-11-05,2,11.880000114440918,0,10160.553204029471,0.0
13,2020-11-06,0,13.829999923706056,0,10160.553204029471,0.0
14,2020-11-09,2,14.670000076293944,0,10160.553204029471,0.0
15,2020-11-10,1,14.0,1,10150.39265082544,-0.001000000000000112
16,2020-11-11,0,15.960000038146973,1,11571.447649598627,0.14000000272478363
17,2020-11-12,0,14.579999923706056,1,10570.90886247296,-0.08646617237734933
18,2020-11-13,0,15.800000190734863,1,11455.443272791123,0.08367628761404666
19,2020-11-16,0,15.93000030517578,1,11549.697001807375,0.008227855245036553
20,2020-11-17,0,17.850000381469727,1,12941.750906378687,0.12052730944833212
21,2020-11-18,2,17.899999618530273,0,12965.02375379501,0.0017982765689650293
22,2020-11-19,2,18.979999542236328,0,12965.02375379501,0.0
23,2020-11-20,0,18.149999618530273,0,12965.02375379501,0.0
24,2020-11-23,2,21.040000915527344,0,12965.02375379501,0.0
25,2020-11-24,0,23.81999969482422,0,12965.02375379501,0.0
26,2020-11-25,2,29.049999237060547,0,12965.02375379501,0.0
27,2020-11-27,2,27.65999984741211,0,12965.02375379501,0.0
28,2020-11-30,2,27.11000061035156,0,12965.02375379501,0.0
29,2020-12-01,2,25.670000076293945,0,12965.02375379501,0.0
30,2020-12-02,1,22.510000228881836,1,12952.058730041217,-0.0009999999999998899
31,2020-12-03,0,24.030000686645508,1,13826.653798831341,0.06752556385199004
32,2020-12-04,1,23.850000381469727,1,13723.083185754635,-0.007490649189861198
33,2020-12-07,2,28.940000534057617,0,16635.17326390426,0.21220377656622724
34,2020-12-08,1,28.59000015258789,1,16618.538090640355,-0.0010000000000000009
35,2020-12-09,0,26.6299991607666,1,15479.246346448932,-0.0685554732899808
36,2020-12-10,0,27.040000915527344,1,15717.568478045843,0.015396236112721562
37,2020-12-11,2,27.200000762939453,0,15794.761178227438,0.004911236766006022
38,2020-12-14,1,27.239999771118164,1,15778.96641704921,-0.0010000000000000009
39,2020-12-15,1,26.43000030517578,1,15309.768381868462,-0.029735663463595352
40,2020-12-16,1,25.920000076293945,1,15014.347069393041,-0.019296262693646704
41,2020-12-17,0,27.229999542236328,1,15773.173712312971,0.05054010270395359
42,2020-12-18,0,25.969999313354492,1,15043.309488228777,-0.04627250275665462
43,2020-12-21,1,28.510000228881836,1,16514.623345869644,0.09780519763900042
44,2020-12-22,0,28.040000915527344,1,16242.372852339176,-0.01648541948724236
45,2020-12-23,0,28.690000534057617,1,16618.88982143102,0.023181155396122977
46,2020-12-24,1,27.75,1,16074.387729524631,-0.03276404728336446
47,2020-12-28,0,25.6299991607666,1,14846.361946578496,-0.07639642663904134
48,2020-12-29,1,24.65999984741211,1,14284.482845308847,-0.03784624834632566
49,2020-12-30,1,25.100000381469727,1,14539.356329476055,0.017842681945668737
50,2020-12-31,2,23.549999237060547,0,13627.865475594737,-0.06269127967057431
