dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,buy_and_hold,16.528689362542234,0.8860715139949418,0.5527910475109776,1.602904963791668,-0.606265385382069,shared_baselines,heuristic_reference,profit,none,,,,
train,random,0.6610713188324517,0.1780841244239082,0.3938795644094382,0.4521283674387066,-0.8666917513357018,shared_baselines,heuristic_reference,profit,none,,,,
validation,buy_and_hold,-0.2778820616069345,0.0701197110425309,0.5820458494333725,0.12047111256062241,-0.736322174421912,shared_baselines,heuristic_reference,profit,none,,,,
validation,random,-0.22411181167797478,0.007664392363600836,0.4147413478421506,0.018479933104036405,-0.5761588181220265,shared_baselines,heuristic_reference,profit,none,,,,
test,buy_and_hold,1.200555327367319,0.8040876395495364,0.6248600166780739,1.286828438510573,-0.537656801185852,shared_baselines,heuristic_reference,profit,none,,,,
test,random,0.08241832144409611,0.14186244997026498,0.43379946905832156,0.32702310650175664,-0.49722805381721713,shared_baselines,heuristic_reference,profit,none,,,,
train,double_dqn,38619.48132316144,5.340455092696475,0.3797857206892845,14.061758517418513,-0.07962106129550994,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.5086992777543868,0.2444632280666772,0.42457917732256956,0.5757777138489975,-0.46552964883118897,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
test,double_dqn,1.1011025802796475,0.5903084726448369,0.4263754430505035,1.3844804673118,-0.32841873307900027,profit_none,profit_none_seed42,profit,none,42.0,0.005,20.0,1e-06
train,double_dqn,6777.5247758736,3.7189275299471927,0.3712029891443637,10.0185818506458,-0.16168602920143593,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.07084600182118161,0.12038250500371683,0.4306395596292043,0.2795435354507848,-0.6252034977884642,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.7356256388640463,0.43628998356324966,0.4118930284878421,1.0592312891649918,-0.29605659599763634,profit_none,profit_none_seed43,profit,none,43.0,0.005,20.0,1e-06
train,double_dqn,28642.56453298859,5.07049066004686,0.3968140077885816,12.778003196773147,-0.16291184104736023,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.33814078924796287,0.18695722145880134,0.40293039436948486,0.4639938412969726,-0.4077245583818272,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.5980617821669536,0.422488327961138,0.4858881298495073,0.8695176976066364,-0.44576620588330595,profit_none,profit_none_seed44,profit,none,44.0,0.005,20.0,1e-06
train,double_dqn,11922.721882299673,4.1597941621463015,0.353736926040112,11.759570053126435,-0.14067165421267824,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
validation,double_dqn,-0.19037434974142464,0.01800186642732937,0.40965342268247806,0.043944137728546696,-0.639971033511243,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.5555144405858956,0.3591357806252038,0.4130270099293813,0.8695212951971549,-0.389229533967685,profit_none,profit_none_seed45,profit,none,45.0,0.005,20.0,1e-06
train,double_dqn,17270.647600152268,4.585500150048026,0.40098441443521354,11.435606933767493,-0.1565629742271778,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
validation,double_dqn,0.5962335517805621,0.27504594400499993,0.44215358204807215,0.6220597438812475,-0.6564484884212883,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
test,double_dqn,-0.22951644057796927,-0.026787331023211403,0.4594555298362945,-0.0583023367522768,-0.5682970419196431,profit_none,profit_none_seed46,profit,none,46.0,0.005,20.0,1e-06
train,double_dqn,296.04346896271034,1.8004630994444262,0.38290684470703257,4.702091708028844,-0.2714584520830464,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,1.1044617050267935,0.39969720312136636,0.4570919767086553,0.8744349572692858,-0.4693180810335309,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.08791083232610908,0.07686627615287955,0.4935886868901995,0.15572941235174362,-0.520587882622943,profit_sparse,profit_sparse_seed42,profit,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,283.53310409699276,1.7436643092416935,0.34579005476613717,5.042551933487384,-0.15216890783501036,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,0.35082186978984375,0.20010041016922542,0.4208353693338765,0.4754838227736332,-0.5632667997458223,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,0.6112351988355094,0.4057231075296177,0.44726904231858094,0.9071119821448074,-0.3510115180008381,profit_sparse,profit_sparse_seed43,profit,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,37.27202379404607,1.0338263898223286,0.4420252983343543,2.338839866672806,-0.46488476002235457,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
