seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
42,profit_none_seed42,profit,none,0.005,20,1e-06,train,double_dqn,32.61057006192963,1.051304341521313,0.5034327002301214,2.0882718604507753,-0.6062653853820689,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,validation,double_dqn,0.377914028071491,0.26660755531042324,0.5232675106929636,0.5095052718968823,-0.6487888898868326,profit_none
42,profit_none_seed42,profit,none,0.005,20,1e-06,test,double_dqn,0.39866429502830836,0.37888244329350695,0.5550654758831565,0.6825905406757152,-0.5221584329607538,profit_none
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,train,double_dqn,13.013143220676302,0.7226943571080393,0.44644446807261645,1.6187777177037155,-0.6360336877400932,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,validation,double_dqn,-0.043144305774224345,0.0702678757642079,0.40434166525963317,0.17378341586214707,-0.559970052653092,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,test,double_dqn,0.6328738507476068,0.4396753164408751,0.48446375876383524,0.9075504792407114,-0.42710892929056954,profit_sparse
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,train,double_dqn,23.1330521863895,0.8740522267684827,0.4309069197999278,2.028401463532564,-0.47076616062266086,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,validation,double_dqn,0.1322319769051985,0.16675916096632948,0.48218414399346,0.34584123730246774,-0.7432615998197186,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,test,double_dqn,1.4483995138001253,0.8421913217063428,0.5693774835207918,1.4791440583469944,-0.3780077511443951,profit_decay
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,train,double_dqn,158.7485116130471,1.5342144042788446,0.39355921103697117,3.898306433322735,-0.43686006151732704,sharpe_none
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,validation,double_dqn,0.24098941249588202,0.21836228168209093,0.5108563328904122,0.4274436228412843,-0.70246202184497,sharpe_none
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,test,double_dqn,1.7780358714452955,0.9316586590979081,0.5404156635651298,1.7239667942852408,-0.503312776276484,sharpe_none
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,train,double_dqn,9.289693230740337,0.6578628918289959,0.47546637829037447,1.3836160070759602,-0.606265385382069,sharpe_sparse
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,0.24487607647506815,0.1975028116291071,0.4750637200849445,0.41573962245273605,-0.626876971357651,sharpe_sparse
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,test,double_dqn,0.3901694659225019,0.36623050035642035,0.5436543559147217,0.6736458493746856,-0.3851067777191284,sharpe_sparse
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,train,double_dqn,171.1011610317633,1.5220023329048238,0.3446326047563782,4.416303947738003,-0.2730822042028166,sharpe_decay
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,validation,double_dqn,1.1765378260816246,0.34056409201742044,0.3194167592012876,1.0662060840796597,-0.29932879045781413,sharpe_decay
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,test,double_dqn,1.1277242567445347,0.5921111526279073,0.41682430797860887,1.4205293244517159,-0.26173689133295186,sharpe_decay
