step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,13.419333457946776,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,13.770000457763672,1,10251.05345240499,0.026131476717216273
2,2015-01-27,0,13.732000350952148,1,10222.76433743242,-0.0027596300325537504
3,2015-01-28,0,13.291333198547363,1,9894.71042429884,-0.03209052877530916
4,2015-01-29,0,13.68000030517578,1,10184.052991676399,0.02924214605280495
5,2015-01-30,0,13.57333278656006,1,10104.64453861795,-0.007797333058199074
6,2015-02-02,0,14.062666893005373,1,10468.928483026068,0.0360511389604945
7,2015-02-03,0,14.557332992553713,1,10837.18182064333,0.035175838502893075
8,2015-02-04,0,14.56999969482422,1,10846.611525634187,0.0008701251992371262
9,2015-02-05,0,14.732666969299316,1,10967.708901826436,0.011164535201251935
10,2015-02-06,0,14.490667343139648,1,10787.552691168788,-0.016426056915829212
11,2015-02-09,0,14.498666763305664,1,10793.507845924345,0.0005520394593698796
12,2015-02-10,0,14.419333457946776,1,10734.448301497721,-0.005471765552931385
13,2015-02-11,0,14.186667442321776,1,10561.240481349447,-0.016135698387415798
14,2015-02-12,0,13.525333404541016,1,10068.911480200932,-0.046616588460223096
15,2015-02-13,0,13.584667205810549,1,10113.082427777439,0.004386864226918918
16,2015-02-17,0,13.623332977294922,1,10141.86709568508,0.0028462803614235366
17,2015-02-18,0,13.630666732788086,1,10147.326697505565,0.0005383231478952588
18,2015-02-19,0,14.11400032043457,1,10507.14356588579,0.035459277020091884
19,2015-02-20,0,14.473999977111816,1,10775.144698838927,0.025506564298148016
20,2015-02-23,0,13.822667121887209,1,10290.261061057308,-0.045000197336919956
21,2015-02-24,0,13.607333183288574,1,10129.95607621274,-0.015578320500655662
22,2015-02-25,0,13.583999633789062,1,10112.585454919916,-0.001714777553045277
23,2015-02-26,0,13.812666893005373,1,10282.816407651637,0.016833573717678796
24,2015-02-27,0,13.555999755859377,1,10091.740993353018,-0.0185820116516362
25,2015-03-02,0,13.155332565307615,1,9793.464983880896,-0.02955644716492256
26,2015-03-03,0,13.303999900817873,1,9904.140129289699,0.011300918070464627
27,2015-03-04,0,13.496000289916992,1,10047.074492841439,0.014431779204035822
28,2015-03-05,0,13.375332832336426,1,9957.24380899954,-0.00894097917815817
29,2015-03-06,0,12.925333023071287,1,9622.242215317809,-0.0336440083328029
30,2015-03-09,0,12.725333213806152,1,9473.35269701051,-0.015473474370690687
31,2015-03-10,0,12.687999725341797,1,9445.559844934236,-0.0029337926038629503
