step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,28.2450008392334,0,10000.0,0.0
1,2015-01-26,2,28.274999618530273,0,10000.0,0.0
2,2015-01-27,1,27.28499984741211,1,9990.0,-0.0010000000000000009
3,2015-01-28,0,28.82749938964844,1,10554.763441932088,0.0565328770702791
4,2015-01-29,2,29.725000381469727,0,10872.486813856753,0.03010236787140208
5,2015-01-30,1,29.290000915527344,1,10861.614327042897,-0.0009999999999998899
6,2015-02-02,0,29.657499313354492,1,10997.893799157513,0.0125468892570888
7,2015-02-03,1,29.662500381469727,1,10999.74834580801,0.00016862743761336674
8,2015-02-04,1,29.88999938964844,1,11084.11182854563,0.007669582983666379
9,2015-02-05,1,29.98500061035156,1,11119.341141881996,0.003178361413283204
10,2015-02-06,0,29.732500076293945,1,11025.706340496508,-0.00842089474463592
11,2015-02-09,0,29.93000030517578,1,11098.945372540375,0.0066425705330881435
12,2015-02-10,0,30.5049991607666,1,11312.172262697542,0.01921145505272115
13,2015-02-11,0,31.219999313354492,1,11577.315849534016,0.023438786174676318
14,2015-02-12,0,31.614999771118164,1,11723.79391362175,0.012652161000999973
15,2015-02-13,0,31.770000457763672,1,11781.27283564793,0.004902757797490276
16,2015-02-17,2,31.957500457763672,0,11838.952678211417,0.004895892266322921
17,2015-02-18,1,32.18000030517578,1,11827.113725533205,-0.0010000000000000009
18,2015-02-19,0,32.11249923706055,1,11802.30506171646,-0.0020976093062490264
19,2015-02-20,1,32.375,1,11898.781952545602,0.008174410873523774
20,2015-02-23,2,33.25,0,12208.150283311787,0.026000000000000023
21,2015-02-24,2,33.04249954223633,0,12208.150283311787,0.0
22,2015-02-25,0,32.1974983215332,0,12208.150283311787,0.0
23,2015-02-26,0,32.60499954223633,0,12208.150283311787,0.0
24,2015-02-27,1,32.1150016784668,1,12195.942133028475,-0.0010000000000000009
25,2015-03-02,2,32.272499084472656,0,12243.497345191241,0.0038992651526263966
26,2015-03-03,0,32.34000015258789,0,12243.497345191241,0.0
27,2015-03-04,2,32.1349983215332,0,12243.497345191241,0.0
28,2015-03-05,0,31.602500915527344,0,12243.497345191241,0.0
29,2015-03-06,0,31.649999618530273,0,12243.497345191241,0.0
30,2015-03-09,2,31.78499984741211,0,12243.497345191241,0.0
31,2015-03-10,0,31.127500534057617,0,12243.497345191241,0.0
32,2015-03-11,1,30.559999465942383,1,12231.25384784605,-0.0010000000000000009
33,2015-03-12,2,31.112499237060547,0,12439.93251888205,0.01706110212672507
34,2015-03-13,0,30.897499084472656,0,12439.93251888205,0.0
35,2015-03-16,1,31.237499237060547,1,12427.492586363167,-0.0010000000000000009
36,2015-03-17,1,31.760000228881836,1,12635.36381039901,0.016726722835782804
37,2015-03-18,1,32.11750030517578,1,12777.591250375903,0.011256299550301607
38,2015-03-19,2,31.875,0,12668.43407857171,-0.008542859891607635
39,2015-03-20,0,31.475000381469727,0,12668.43407857171,0.0
40,2015-03-23,2,31.802499771118164,0,12668.43407857171,0.0
41,2015-03-24,2,31.67250061035156,0,12668.43407857171,0.0
42,2015-03-25,1,30.844999313354492,1,12655.765644493138,-0.0010000000000000009
43,2015-03-26,1,31.059999465942383,1,12743.980642231994,0.006970340650803708
44,2015-03-27,0,30.8125,1,12642.431110449452,-0.00796843110746892
45,2015-03-30,2,31.592500686645508,0,12949.504503828157,0.024289109483451865
46,2015-03-31,2,31.107500076293945,0,12949.504503828157,0.0
47,2015-04-01,2,31.0625,0,12949.504503828157,0.0
48,2015-04-02,1,31.329999923706055,1,12936.55499932433,-0.0010000000000000009
49,2015-04-06,1,31.837499618530273,1,13146.108070828366,0.0161985220574552
50,2015-04-07,2,31.502500534057617,0,12994.774910173252,-0.011511632175832176
51,2015-04-08,1,31.399999618530273,1,12981.780135263078,-0.0010000000000000009
52,2015-04-09,1,31.63999938964844,1,13081.003839053536,0.007643304905536885
53,2015-04-10,2,31.774999618530273,0,13123.680502970357,0.0032624915061496562
54,2015-04-13,0,31.712499618530273,0,13123.680502970357,0.0
55,2015-04-14,1,31.575000762939453,1,13110.556822467386,-0.001000000000000112
56,2015-04-15,0,31.69499969482422,1,13160.382721979546,0.003800441139675703
57,2015-04-16,0,31.542499542236328,1,13097.061681041198,-0.004811489321856377
58,2015-04-17,1,31.1875,1,12949.658939695832,-0.011254642066681253
59,2015-04-20,0,31.899999618530273,1,13245.502692950515,0.022845679151271225
60,2015-04-21,1,31.727500915527344,1,13173.877863405734,-0.0054074829174207695
61,2015-04-22,1,32.154998779296875,1,13351.383323390151,0.013474047795561495
62,2015-04-23,0,32.41749954223633,1,13460.378765521642,0.008163606683402103
63,2015-04-24,2,32.56999969482422,0,13510.176106653531,0.0036995497674585653
64,2015-04-27,0,33.162498474121094,0,13510.176106653531,0.0
65,2015-04-28,2,32.63999938964844,0,13510.176106653531,0.0
66,2015-04-29,2,32.15999984741211,0,13510.176106653531,0.0
67,2015-04-30,1,31.287500381469727,1,13496.665930546877,-0.001000000000000112
68,2015-05-01,2,32.23749923706055,0,13892.565835609552,0.029333163249350314
69,2015-05-04,0,32.17499923706055,0,13892.565835609552,0.0
70,2015-05-05,1,31.450000762939453,1,13878.673269773943,-0.0010000000000000009
71,2015-05-06,2,31.252500534057617,0,13777.726232759134,-0.00727353652994045
72,2015-05-07,1,31.315000534057617,1,13763.948506526374,-0.001000000000000112
73,2015-05-08,2,31.905000686645508,0,14009.249250626837,0.017821974848579947
74,2015-05-11,1,31.579999923706055,1,13995.24000137621,-0.0010000000000000009
75,2015-05-12,1,31.467500686645508,1,13945.383958740435,-0.003562357103620517
76,2015-05-13,0,31.502500534057617,1,13960.894765128256,0.001112253806256902
77,2015-05-14,2,32.23749923706055,0,14272.335922003509,0.022308108621603262
78,2015-05-15,1,32.192501068115234,1,14258.063586081505,-0.0010000000000000009
79,2015-05-18,0,32.54750061035156,1,14415.29293696436,0.011027398631910934
80,2015-05-19,2,32.51750183105469,0,14387.604466609064,-0.0019207705647310558
81,2015-05-20,2,32.51499938964844,0,14387.604466609064,0.0
82,2015-05-21,1,32.84749984741211,1,14373.216862142455,-0.0010000000000000009
83,2015-05-22,2,33.1349983215332,0,14484.519744141355,0.007743769753593588
84,2015-05-26,1,32.404998779296875,1,14470.035224397214,-0.0010000000000000009
85,2015-05-27,2,33.0099983215332,0,14725.449794994942,0.017651274971818065
86,2015-05-28,2,32.94499969482422,0,14725.449794994942,0.0
87,2015-05-29,2,32.56999969482422,0,14725.449794994942,0.0
88,2015-06-01,1,32.6349983215332,1,14710.724345199947,-0.0010000000000000009
89,2015-06-02,0,32.4900016784668,1,14645.364891949359,-0.004442979945573855
90,2015-06-03,1,32.529998779296875,1,14663.394196535848,0.0012310587492703196
91,2015-06-04,2,32.34000015258789,0,14563.171661856177,-0.006834879655854054
92,2015-06-05,2,32.162498474121094,0,14563.171661856177,0.0
93,2015-06-08,2,31.950000762939453,0,14563.171661856177,0.0
94,2015-06-09,1,31.854999542236328,1,14548.608490194321,-0.0010000000000000009
95,2015-06-10,2,32.220001220703125,0,14700.594376382902,0.010446764464864033
96,2015-06-11,0,32.147499084472656,0,14700.594376382902,0.0
97,2015-06-12,1,31.792499542236328,1,14685.893782006518,-0.0010000000000000009
98,2015-06-15,0,31.729999542236328,1,14657.023187539542,-0.0019658724825007967
99,2015-06-16,2,31.899999618530273,0,14720.815688492408,0.004352350414994044
100,2015-06-17,1,31.825000762939453,1,14706.094872803917,-0.0010000000000000009
101,2015-06-18,2,31.969999313354492,0,14758.324521067509,0.0035515647570165676
102,2015-06-19,1,31.649999618530273,1,14743.56619654644,-0.0010000000000000009
103,2015-06-22,2,31.90250015258789,0,14846.327705390271,0.006969922166314202
104,2015-06-23,0,31.75749969482422,0,14846.327705390271,0.0
105,2015-06-24,1,32.02750015258789,1,14831.48137768488,-0.0010000000000000009
106,2015-06-25,2,31.875,0,14746.099857769592,-0.005756776261321539
107,2015-06-26,0,31.6875,0,14746.099857769592,0.0
108,2015-06-29,0,31.13249969482422,0,14746.099857769592,0.0
109,2015-06-30,0,31.357500076293945,0,14746.099857769592,0.0
110,2015-07-01,2,31.649999618530273,0,14746.099857769592,0.0
111,2015-07-02,0,31.61000061035156,0,14746.099857769592,0.0
112,2015-07-06,2,31.5,0,14746.099857769592,0.0
113,2015-07-07,0,31.42250061035156,0,14746.099857769592,0.0
114,2015-07-08,1,30.642499923706055,1,14731.353757911822,-0.0010000000000000009
115,2015-07-09,0,30.017499923706055,1,14430.885580654132,-0.020396508168593508
116,2015-07-10,1,30.81999969482422,1,14816.686610218274,0.02673439737345995
117,2015-07-13,2,31.415000915527344,0,15087.630168917685,0.01828637979779879
118,2015-07-14,2,31.40250015258789,0,15087.630168917685,0.0
119,2015-07-15,2,31.704999923706055,0,15087.630168917685,0.0
120,2015-07-16,1,32.127498626708984,1,15072.542538748768,-0.0009999999999998899
121,2015-07-17,1,32.404998779296875,1,15202.731100982899,0.008637465238491737
122,2015-07-20,2,33.01750183105469,0,15474.595422053948,0.017882597492859142
123,2015-07-21,2,32.6875,0,15474.595422053948,0.0
124,2015-07-22,0,31.30500030517578,0,15474.595422053948,0.0
125,2015-07-23,1,31.290000915527344,1,15459.120826631894,-0.0010000000000000009
126,2015-07-24,1,31.125,1,15377.600564087692,-0.005273279344823023
127,2015-07-27,0,30.6924991607666,1,15163.91943479086,-0.013895609292639333
128,2015-07-28,2,30.844999313354492,0,15224.024313621981,0.0039636770090734075
129,2015-07-29,2,30.747499465942383,0,15224.024313621981,0.0
130,2015-07-30,1,30.592500686645508,1,15208.80028930836,-0.0010000000000000009
131,2015-07-31,2,30.325000762939453,0,15060.739173160226,-0.009735226535403929
132,2015-08-03,0,29.61000061035156,0,15060.739173160226,0.0
133,2015-08-04,0,28.65999984741211,0,15060.739173160226,0.0
134,2015-08-05,0,28.850000381469727,0,15060.739173160226,0.0
135,2015-08-06,1,28.782499313354492,1,15045.678433987063,-0.001000000000000223
136,2015-08-07,1,28.8799991607666,1,15096.645215417499,0.003387469807629717
137,2015-08-10,2,29.93000030517578,0,15629.874183718286,0.035321024021696346
138,2015-08-11,1,28.372499465942383,1,15614.244309534568,-0.0010000000000000009
139,2015-08-12,2,28.809999465942383,0,15839.158773727708,0.014404441209863617
140,2015-08-13,1,28.787500381469727,1,15823.31961495398,-0.0010000000000000009
141,2015-08-14,0,28.989999771118164,1,15934.625303943318,0.007034281787757557
142,2015-08-17,2,29.290000915527344,0,16083.424223268283,0.009338087120764671
143,2015-08-18,1,29.125,1,16067.340799045014,-0.0010000000000000009
144,2015-08-19,2,28.752500534057617,0,15845.982787314064,-0.013776891552839121
145,2015-08-20,0,28.162500381469727,0,15845.982787314064,0.0
146,2015-08-21,0,26.440000534057617,0,15845.982787314064,0.0
147,2015-08-24,0,25.780000686645508,0,15845.982787314064,0.0
148,2015-08-25,1,25.934999465942383,1,15830.136804526752,-0.0009999999999998899
149,2015-08-26,1,27.42250061035156,1,16738.0738431918,0.05735497108309362
150,2015-08-27,0,28.229999542236328,1,17230.95291874495,0.02944658269348177
151,2015-08-28,0,28.322500228881836,1,17287.413244723903,0.0032766804160626606
152,2015-08-31,2,28.190000534057617,0,17189.33189083995,-0.0056735702730937865
153,2015-09-01,1,26.93000030517578,1,17172.14255894911,-0.0010000000000000009
154,2015-09-02,2,28.084999084472656,0,17890.72866612165,0.041846036666988606
155,2015-09-03,2,27.592500686645508,0,17890.72866612165,0.0
156,2015-09-04,2,27.3174991607666,0,17890.72866612165,0.0
157,2015-09-08,0,28.07749938964844,0,17890.72866612165,0.0
158,2015-09-09,1,27.537500381469727,1,17872.837937455526,-0.001000000000000112
