episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.043718970205065766,0.0010969239422779654,0.71557,-0.31441016485024753,-0.0928041852481426,0.201810772267904,-0.45985744073633966,-0.41026719848068105,sharpe_ratio
2,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.7927582642235012,0.00018617651877237662,0.4311400000000001,-0.1757904550221867,-0.04566929673390452,0.16465375456045148,-0.27736565653070094,-0.34764044109676295,sharpe_ratio
3,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.7137082014231775,0.0001575951006433957,0.14671,-0.2441730766212269,-0.06470028275287742,0.20214144651581933,-0.32007430375152707,-0.44890138771877985,sharpe_ratio
4,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.9320159812115687,0.00013300367129545748,0.050000000000000044,-0.24163562038782438,-0.0639398599865082,0.20095858085768134,-0.3181743208656033,-0.5380230816909413,sharpe_ratio
5,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,3.7302543917663797,0.0001298831718626669,0.050000000000000044,-0.2862387452616152,-0.0810473171377637,0.20361868092230334,-0.398034781340567,-0.4653617611375024,sharpe_ratio
6,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.194856383581034,0.00011821307254495266,0.050000000000000044,-0.22700640505250735,-0.05947259783594472,0.195201081748227,-0.3046735054094284,-0.43635128591184724,sharpe_ratio
7,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.42755825396286,0.00010401588192747896,0.050000000000000044,-0.11112174566298527,-0.01782361197147253,0.19374410883527676,-0.09199563320207248,-0.43231806429418496,sharpe_ratio
8,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.745232950035507,0.00010470341171211711,0.050000000000000044,-0.05953529827122761,0.0015586771898035146,0.2033016079075342,0.007666821752400666,-0.4242449690523028,sharpe_ratio
9,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,4.595175685596281,9.805477496878753e-05,0.050000000000000044,-0.11616381229524486,-0.01579723332508276,0.21257539815163404,-0.074313553978689,-0.4368006748963148,sharpe_ratio
10,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.183231382531144,0.00010120705115980513,0.050000000000000044,-0.19142863666017307,-0.04340238703864452,0.20946491320125757,-0.2072060011164865,-0.42485506030544906,sharpe_ratio
11,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.439065956827184,9.902136594231433e-05,0.050000000000000044,-0.21246325979126135,-0.056770418615346596,0.17926572845579933,-0.3166830553969729,-0.4101770351552939,sharpe_ratio
12,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.551079536097738,0.00010187325050991601,0.050000000000000044,-0.16739300527911738,-0.03418657602208497,0.21145859334307598,-0.16167030850630776,-0.421295818857198,sharpe_ratio
13,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.706027733088368,9.913673863934264e-05,0.050000000000000044,-0.18041966464121162,-0.04046377132028389,0.2039036998960124,-0.1984454982470635,-0.3683181895705312,sharpe_ratio
14,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.887560791918395,9.89254437415063e-05,0.050000000000000044,-0.22388594120089822,-0.056743753370850025,0.20340000516807,-0.2789761648430761,-0.4336156854993857,sharpe_ratio
15,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.949516735794859,9.910958885065835e-05,0.050000000000000044,0.04609092655457059,0.03597719395415999,0.20611175341096322,0.1745518795448098,-0.37872206628634564,sharpe_ratio
16,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,5.725090301129577,0.00010732261665714372,0.050000000000000044,-0.05279676993767579,-0.0006612328485323671,0.18033181791772843,-0.0036667564058719625,-0.3150215382557662,sharpe_ratio
17,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,6.2613495062038345,0.0001001516991608433,0.050000000000000044,0.0637755763807426,0.041248952956398854,0.20548271760520065,0.2007417141311687,-0.2445914283781162,sharpe_ratio
