episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.06500236270063275,0.001485997626052547,0.71557,0.0,sharpe_ratio,1,0,-0.19011830205905667,-0.025671021239882852,0.13723030060336894,-0.1870652554648171,-0.3327709075985793,-0.24718230011740794,-0.081066456623333,0.09045829111992654,-0.8961749732355417,-0.2939364812629256
2,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.6191589575865695,0.0001527207311902739,0.4311400000000001,0.0,sharpe_ratio,1,0,0.01225341716961581,0.0037778256169267443,0.05858019315632771,0.06448981154509341,-0.10493196119118242,-0.0786865208619576,-0.02355908147812813,0.058938097010414706,-0.3997258593870973,-0.15929282657583388
3,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.1880351114015002,8.650767875955602e-05,0.14671,0.0,sharpe_ratio,0,1,0.40480122610973335,0.06662387022211691,0.12047562741423254,0.5530070409431727,-0.152758364924506,-0.23898971145995573,-0.07788201089783608,0.09155176755971131,-0.8506882278055459,-0.28728804474053926
4,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.7516047283522813,7.268303746635805e-05,0.050000000000000044,0.0,sharpe_ratio,0,2,0.8507271004917119,0.11940828555001959,0.13504125876929293,0.884235578357715,-0.17864855050603556,-0.24694891108795303,-0.07823334253029857,0.11898717708960228,-0.6574938950890953,-0.3044169945213603
5,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.6690815097939994,7.189200973148634e-05,0.050000000000000044,0.0,sharpe_ratio,0,3,1.4240722337758247,0.16918828658929086,0.12013877905966225,1.4082737307099658,-0.13054734907157284,-0.1814172408077236,-0.05525416087756985,0.10626850789008455,-0.5199485903643273,-0.27203684840770836
6,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.5655262371285669,8.322170860196745e-05,0.050000000000000044,0.0,sharpe_ratio,1,0,0.6857604389899277,0.10242635310646664,0.13812974155063082,0.7415228028130548,-0.15159764399814746,0.11766712372861954,0.0431082650584822,0.12224352962242475,0.35264250951875553,-0.2276122806077273
7,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.9291070195728421,7.503019773900032e-05,0.050000000000000044,0.0,sharpe_ratio,0,1,1.3769933238415488,0.16601376997048778,0.12484178548018528,1.3297933006320009,-0.12280553169978548,-0.1635616432405177,-0.04601833641098363,0.1312330599915529,-0.35066115515363044,-0.2812934118611121
8,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.0775604308439024,7.856671661005555e-05,0.050000000000000044,0.0,sharpe_ratio,0,2,1.1777636568263894,0.15162911378284472,0.14226101447327352,1.0658514867495983,-0.14146133321637744,-0.11304615207125412,-0.02714577162019427,0.1405425984928725,-0.1931497774432493,-0.2855274700446898
9,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.0744481095905745,7.26850082642186e-05,0.050000000000000044,0.0,sharpe_ratio,0,3,0.9132103794881121,0.11919750966620035,0.08211085112099711,1.4516657425771045,-0.06431892145687512,0.03040346043898512,0.012889232654045735,0.0830711188732109,0.15515901108444446,-0.15363132045078076
10,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.324330840798877,8.133450686249138e-05,0.050000000000000044,0.0,sharpe_ratio,1,0,2.0693335825571033,0.22078661375423736,0.14610399075467023,1.511160732939664,-0.13458553190984524,0.1319807512862914,0.04964252803171587,0.13945604385222865,0.35597258218739103,-0.19536762191889023
