episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,-0.34812827701252025,0.0014014497005052525,0.71557,0.0,sharpe_ratio,1,0,0.5669482827289296,0.12245321434682843,0.2804084332253003,0.4366959043932916,-0.4164954058165493,1.325000910845326,0.37683845145838113,0.332558183820298,1.1331504374043928,-0.46092978852007194
2,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.8417450231337035,0.00020700461786633367,0.4311400000000001,0.0,sharpe_ratio,0,1,0.9376710238291048,0.15076384700322532,0.2394854046349736,0.6295325063045963,-0.32260853984793003,-0.24110642689235373,-0.05033192051491653,0.25323419483852394,-0.19875641418415443,-0.5644558976479057
3,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.5092649862889107,0.00016461348717087542,0.14671,0.0,sharpe_ratio,0,2,3.635645052127865,0.3404210765329847,0.26228033870079354,1.29792830914914,-0.3342415136332779,0.29575881577483876,0.13221877022295825,0.2905545593405565,0.455056601152783,-0.44417900873222416
4,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.9649612189024026,0.00018314045373651024,0.050000000000000044,0.0,sharpe_ratio,0,3,4.094901537635797,0.369221717535831,0.28242340908979363,1.3073339732204732,-0.42027661197496713,1.001128301728209,0.33045853804062886,0.3720598388034918,0.8881865323152085,-0.5943126449337177
5,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.797342064690904,0.0001786698832502231,0.050000000000000044,0.0,sharpe_ratio,0,4,7.342321480548616,0.48629927310108934,0.27908201609712097,1.7424959153650963,-0.2994190738841891,1.2784793393966667,0.39459258882091697,0.3889340584588487,1.0145488167955519,-0.5712369926826899
6,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.28166229382371,0.00016926808589168887,0.050000000000000044,0.0,sharpe_ratio,0,5,2.5857239279683184,0.268619361631218,0.212730718258875,1.2627201366580794,-0.20801430730107962,0.6041111283111047,0.22698094318926598,0.33558524543669865,0.6763734290340883,-0.41308575331607367
7,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.8230731760968433,0.00017988823133428396,0.050000000000000044,0.0,sharpe_ratio,0,6,22.01418500474953,0.7471644868260763,0.24427692726741496,3.0586780961434807,-0.19122919182612985,1.1916523955162241,0.34641134758144765,0.32266334525508505,1.0735999383741228,-0.4071425340792363
8,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.4919623313835877,0.00018296067081668656,0.050000000000000044,0.0,sharpe_ratio,0,7,11.251108604068943,0.5847107403126315,0.276921944330852,2.111464086840476,-0.3119555673848017,1.291287912923225,0.3666220026303366,0.3252510303825243,1.1271970520713075,-0.3182317419916456
9,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,3.2252230500206958,0.0001745965775611665,0.050000000000000044,0.0,sharpe_ratio,0,8,29.17293211938938,0.8248874293638511,0.23749456792556753,3.4732896696078397,-0.22086402703710806,0.34500720594225065,0.15728841917851266,0.3252855547753363,0.4835395143419339,-0.4677889716135827
10,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.34362929899346,0.0001952600678348209,0.050000000000000044,0.0,sharpe_ratio,0,9,13.582094438288362,0.5971627650836682,0.18549550507102897,3.219284288613925,-0.1517159905148705,0.34930302512407985,0.1500529739501073,0.302228388629514,0.4964886807309468,-0.4200860936554639
11,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,2.8900277235781053,0.00018734555280216489,0.050000000000000044,0.0,sharpe_ratio,0,10,9.828170308682452,0.5508432179161806,0.27412819660906024,2.0094365509643257,-0.30525980536849684,0.1972810661550266,0.12520679281658986,0.3497921645959632,0.35794624777033907,-0.5989591458426002
