episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.4804740395440581,0.0,0.99031,0.0,sharpe_ratio,1,0,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
2,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.17076321315223753,0.0,0.98062,0.0,sharpe_ratio,0,1,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
3,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,1.1587817705144816,0.0,0.97093,0.0,sharpe_ratio,0,2,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
4,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.8481311627073908,0.0,0.96124,0.0,sharpe_ratio,0,3,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.10517323911638088,0.2991368229399325,0.6872662327405391,0.4352561040968012,-0.8356873022306602
5,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.37331565401762046,0.015181214548647404,0.95155,0.0,sharpe_ratio,1,0,1.4304182330701143,172.9542658218828,1.2120030089499645,142.70118518247256,-0.22512905955038043,0.15964554830536537,0.31670348123982994,0.684996960647457,0.46234289994583744,-0.8313552352829758
6,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.608866799882607,0.009560834296851181,0.94186,0.0,sharpe_ratio,0,1,0.5980644755204918,12.057008700809083,0.6790159976539267,17.756590039803694,-0.08234885640149225,-0.5524477638025886,-0.07430742550703162,0.5906086215683443,-0.12581500302130771,-0.819498516385241
7,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.5846308850517687,0.008021353223525426,0.9321699999999999,0.0,sharpe_ratio,0,2,0.38332132904020555,5.683450452491612,0.7698296592781705,7.38273770566425,-0.12365434447070844,-0.48188596107319104,-0.019511834738277334,0.6143904355350802,-0.03175803790188276,-0.8287283635783657
8,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.8381767126367146,0.006853792971620957,0.92248,0.0,sharpe_ratio,0,3,0.8640460179697247,29.90520508593649,0.8087940795902546,36.975054393433304,-0.06864686988993063,-0.21819204173797302,0.1353546431514876,0.6454430836091369,0.20970810066570447,-0.8412934514746713
9,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.3540312368828056,0.006576095917718667,0.91279,0.0,sharpe_ratio,0,4,0.5752063712762503,15.2878329505718,1.0411859813464597,14.683095262963112,-0.23247071017418663,-0.5561665837482117,-0.06338759874378153,0.6182932600814547,-0.10252028096736938,-0.8403095565132427
10,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.6272571910877447,0.006913418178537897,0.9031,0.0,sharpe_ratio,0,5,1.6910059634985153,273.2927967272923,1.1658496994467464,234.41511959644822,-0.18624744981099528,-0.24423042787297322,0.08842503340531604,0.5944853351732817,0.1487421609475728,-0.7336830201564635
11,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.9519896468460304,0.004294637531297756,0.89341,0.0,sharpe_ratio,0,6,1.2721327799120559,122.45276803549865,1.208739345446118,101.30618192982222,-0.2421252033243928,-0.6617164856605563,-0.15217428029539015,0.5899341158706548,-0.2579513138866424,-0.8540380823579344
12,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.9897107919690601,0.003939817915214043,0.8837200000000001,0.0,sharpe_ratio,0,7,1.5404528666810697,216.88571499233834,1.2137676886120616,178.687995262377,-0.22512905955038043,-0.36626833083914334,0.0661232225968138,0.6484781753603055,0.10196676636044785,-0.8409488222920865
13,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.8230742438427303,0.003999373021846016,0.87403,0.0,sharpe_ratio,0,8,1.7262873628054005,292.1517794251283,1.1664669968665822,250.45867582187924,-0.18624744981099517,-0.3624058297972379,0.0741213536709473,0.6574342560164648,0.1127433701432969,-0.8355782477940722
14,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.822366835987046,0.0034774863069840507,0.86434,0.0,sharpe_ratio,0,9,1.8912955567579486,394.8248183339208,1.1702655109647155,337.3805470934921,-0.18624744981099506,-0.5965403682022827,-0.07848476429388818,0.639723596793546,-0.12268542959377045,-0.8671723503175579
15,42,profit_decay_seed42,profit,decay,0.005,20,1e-06,0.6739946409312748,0.003841744868230878,0.85465,0.0,sharpe_ratio,0,10,1.6583846106239175,269.9796436392651,1.2050281605143391,224.04426094410138,-0.22512905955038043,-0.22037315929943213,0.15077203076477375,0.6674521791081494,0.22589188481822858,-0.867114699344528
