episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,0.22188221389833884,0.6067212119382114,0.71557,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723,cumulative_return
2,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.2959044160229893,0.03742345485838756,0.4311400000000001,-0.5032868257671015,-0.1530047263850084,0.6085611677591823,-0.25142045613655534,-0.7431603136630444,cumulative_return
3,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.675149635592604,0.022616332908874562,0.14671,-0.5705770346159154,-0.22930580406507584,0.5710701962510426,-0.40153698366754365,-0.7385456657764032,cumulative_return
4,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.763153713994099,0.00890070040422226,0.050000000000000044,-0.7302650323445489,-0.4176738494632003,0.48173133511093535,-0.8670265332999698,-0.7784061764143791,cumulative_return
5,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.5542136881559643,0.00596337316459158,0.050000000000000044,-0.6277784572279634,-0.34852166466297885,0.36548002749214714,-0.9535997549701053,-0.6900355568835411,cumulative_return
6,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.299115188056179,0.0021473667210695235,0.050000000000000044,-0.4874647973923758,-0.22133371714177663,0.41152512634086386,-0.5378376749672563,-0.5727632683887476,cumulative_return
7,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.2399043172489015,0.0013584435209613257,0.050000000000000044,-0.5876812256275299,-0.3018374098908855,0.4116378070781709,-0.7332596877661578,-0.6683417749730413,cumulative_return
8,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,0.935972620349681,0.0013545796538531438,0.050000000000000044,-0.508254119331381,-0.19049525312494253,0.5370037896644154,-0.3547372603161458,-0.650304077840256,cumulative_return
9,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.1083650602342296,0.0012019040785389583,0.050000000000000044,-0.48656105887486123,-0.1986495839813075,0.47474669352488424,-0.4184327909824508,-0.5378794041487125,cumulative_return
10,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.516953710150692,0.0007797950168854745,0.050000000000000044,-0.5767666752586655,-0.26078793386997523,0.5075993736014683,-0.5137672491982382,-0.6529023119342388,cumulative_return
11,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.58766991877639,0.001938412271468958,0.050000000000000044,-0.44618027135560634,-0.2251527149968603,0.28677804940054663,-0.7851113970106777,-0.5010357217459442,cumulative_return
12,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.40489597068659,0.000990863202978672,0.050000000000000044,-0.33369123572721027,-0.1416595951699683,0.31853909061492436,-0.4447165178267486,-0.40028895647860596,cumulative_return
13,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.534060945776256,0.0011236157914169154,0.050000000000000044,-0.4403936949136664,-0.10600649295445808,0.5994941830299929,-0.17682655804711042,-0.6767605306125843,cumulative_return
14,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.8333755545214105,0.0009666480760198303,0.050000000000000044,-0.4405889742023502,-0.13741823536689612,0.5353829088516759,-0.25667280948814686,-0.6141499785965412,cumulative_return
15,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.5110441486192974,0.0010272863264004007,0.050000000000000044,-0.08987675146073859,0.05682165364434133,0.4531302982823421,0.12539804524158343,-0.3184494316600973,cumulative_return
16,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.9307679555982207,0.0011747302698043318,0.050000000000000044,-0.3750717063040869,-0.08614849405574387,0.5395696721934063,-0.15966148302135175,-0.6090383181136954,cumulative_return
17,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.7662812731001085,0.0013696544945173764,0.050000000000000044,0.07433300696289535,0.12820011592277858,0.4116362416398608,0.3114403032445827,-0.3787159165694295,cumulative_return
18,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.3747572013762195,0.0011974220875210178,0.050000000000000044,-0.08785202848564844,0.04765514652526415,0.4298271928605763,0.11087047845463356,-0.4128564850784371,cumulative_return
19,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.6706935466223238,0.0016889746616449539,0.050000000000000044,-0.17430191970476505,-0.06255109655381408,0.2501498644647351,-0.25005448908661004,-0.3753436927068101,cumulative_return
20,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.2745899844838937,0.0010198565028419963,0.050000000000000044,0.03929388284295565,0.11156804520363073,0.4161651430996881,0.2680859919517713,-0.40359388132523466,cumulative_return
21,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.364784429976217,0.0011384201780390542,0.050000000000000044,-0.3450614333524834,-0.06747718715735196,0.5334295545031663,-0.12649690401987546,-0.5690003841508304,cumulative_return
22,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.146006326268615,0.001137574384584351,0.050000000000000044,0.6237656708690826,0.31572257801893056,0.2501925099128403,1.2619185847286916,-0.19493183135196868,cumulative_return
23,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.5634813027133965,0.0011781854407644707,0.050000000000000044,-0.08634790353899302,0.0757699063803543,0.4871773011854607,0.15552840043241237,-0.4880744863325095,cumulative_return
24,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.013561071481709,0.0013885522821097545,0.050000000000000044,-0.2988232219427387,-0.06675296275947806,0.4672005137535219,-0.14287861591413942,-0.5284573643730117,cumulative_return
25,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.015780771869371,0.001203991469260524,0.050000000000000044,-0.4379632313320736,-0.10602565276869147,0.595850482441402,-0.17794003007980846,-0.6824719954132505,cumulative_return
26,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.0612940936320103,0.0015577038360601596,0.050000000000000044,-0.13515398344479412,0.031923968019992754,0.456623403412969,0.06991312267698378,-0.45444622643454535,cumulative_return
27,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.075974197350423,0.0013705618812813957,0.050000000000000044,0.352115002514096,0.29374559524822197,0.46146440858361626,0.6365509230708005,-0.4862888387321077,cumulative_return
28,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.3140806360920183,0.0013256343973177792,0.050000000000000044,0.3385383010233274,0.2850933940949636,0.45787326389833716,0.6226469562072173,-0.49227667762901084,cumulative_return
29,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.9810023583291483,0.00130685681155861,0.050000000000000044,-0.3948106810002172,-0.07752904479054856,0.5864010588503886,-0.13221163846896963,-0.6807669104110069,cumulative_return
30,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.768599727671025,0.0013808806498523158,0.050000000000000044,-0.3625424460890331,-0.07030916001483778,0.5544765621730356,-0.12680276284229375,-0.6616494630311568,cumulative_return
31,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.959581611478596,0.0014413065470987776,0.050000000000000044,-0.2556640188666558,-0.026798442881492135,0.4919419952102343,-0.05447480219703476,-0.5569781043856018,cumulative_return
32,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.736918859373914,0.0012861477145716751,0.050000000000000044,0.05983478989961877,0.12201835659248084,0.4152067565083367,0.2938737259927775,-0.45848274707049375,cumulative_return
33,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.3448069421350666,0.0012361674737948899,0.050000000000000044,0.8409847742302008,0.5031212534681646,0.45300305358690707,1.1106354570557935,-0.43775357625969114,cumulative_return
34,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,1.0218925021134007,0.001181320769395978,0.050000000000000044,0.10982756169271468,0.17459366336850346,0.4661889595662577,0.3745126515457282,-0.5561232424563941,cumulative_return
35,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.958255926894727,0.0011642306173498989,0.050000000000000044,-0.3574497218312559,-0.11601146543335683,0.4459476422814884,-0.26014593291678123,-0.7316628967779303,cumulative_return
36,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.7558922123729865,0.0010655878736995567,0.050000000000000044,-0.5678837845267035,-0.2246331928641161,0.5780705498246811,-0.3885913110990406,-0.7453074243119335,cumulative_return
37,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,4.441569170882325,0.0011348258907498908,0.050000000000000044,-0.5640874053090901,-0.2147835479273188,0.5918734058087028,-0.362887647627706,-0.7150291032510867,cumulative_return
38,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.5131197723783196,0.0010835677503534134,0.050000000000000044,-0.5302699772844348,-0.2121564480778686,0.5296122114680917,-0.4005882860777856,-0.7011492116328721,cumulative_return
39,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.8556144726256396,0.001056347114352681,0.050000000000000044,0.18924988948859411,0.16710836241630056,0.36776649185631627,0.45438713454511404,-0.3537119144366456,cumulative_return
40,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.5235268187890534,0.0010029043084542088,0.050000000000000044,-0.40893113946361537,-0.12591805259408906,0.5081094112471023,-0.24781680836227013,-0.6369569889673188,cumulative_return
41,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.779241393636267,0.0009297543396546804,0.050000000000000044,-0.6125911117265981,-0.3233336989303659,0.4119419272843042,-0.7849011657102221,-0.6554022020433511,cumulative_return
42,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.020534587555606,0.000997023422733875,0.050000000000000044,-0.18544622654832066,-0.08441255961178729,0.17107326417628455,-0.4934292919366017,-0.28285265309651975,cumulative_return
43,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.687671848559997,0.0009372694249160379,0.050000000000000044,-0.5927280084335971,-0.25435865127814716,0.5593881453217461,-0.45470869092487903,-0.7254740331671676,cumulative_return
44,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.6943585034982704,0.0009551091190141674,0.050000000000000044,-0.5338561966557245,-0.20890551701079296,0.5443966002350038,-0.3837377326026892,-0.6864014868649604,cumulative_return
45,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.5400980502479356,0.00105923893912798,0.050000000000000044,-0.39394395700039675,-0.15550495700021127,0.404292106556688,-0.3846351548256287,-0.5147169613166036,cumulative_return
46,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.6736321622587123,0.0010640256089706139,0.050000000000000044,0.2805819520032855,0.2654808873325698,0.4719835706074146,0.5624790858523143,-0.4977982009055124,cumulative_return
47,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.1344649068344315,0.001048069082363213,0.050000000000000044,-0.5066475043611363,-0.20476011916224401,0.500101503482661,-0.40943711973731994,-0.6603162489067016,cumulative_return
48,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.1227449565602616,0.0011152790158050123,0.050000000000000044,-0.40186352900876243,-0.10315393753604707,0.5449245326483997,-0.18929949260075768,-0.6625813179177528,cumulative_return
49,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,2.4310682112377378,0.001046104259342148,0.050000000000000044,-0.2657970511110683,-0.007136431741985194,0.5433454910519601,-0.013134243054393431,-0.6436508235912164,cumulative_return
50,42,state_only_decay_seed42,price_sentiment,profit,decay,0.01,20,1e-06,3.824155862413622,0.0009739560728880864,0.050000000000000044,-0.07303061229590302,0.07434176350427912,0.46814491295103106,0.15880075046774123,-0.5589356901158206,cumulative_return
