step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,58.619998931884766,0,10000.0,0.0
1,2015-01-26,0,59.779998779296875,0,10000.0,0.0
2,2015-01-27,2,57.790000915527344,0,10000.0,0.0
3,2015-01-28,2,56.349998474121094,0,10000.0,0.0
4,2015-01-29,2,58.099998474121094,0,10000.0,0.0
5,2015-01-30,2,56.45000076293945,0,10000.0,0.0
6,2015-02-02,0,57.279998779296875,0,10000.0,0.0
7,2015-02-03,2,58.61000061035156,0,10000.0,0.0
8,2015-02-04,2,58.9900016784668,0,10000.0,0.0
9,2015-02-05,0,59.2599983215332,0,10000.0,0.0
10,2015-02-06,0,59.16999816894531,0,10000.0,0.0
11,2015-02-09,2,57.97999954223633,0,10000.0,0.0
12,2015-02-10,2,58.790000915527344,0,10000.0,0.0
13,2015-02-11,2,58.79999923706055,0,10000.0,0.0
14,2015-02-12,0,61.2599983215332,0,10000.0,0.0
15,2015-02-13,0,62.849998474121094,0,10000.0,0.0
16,2015-02-17,2,62.06999969482422,0,10000.0,0.0
17,2015-02-18,0,63.0,0,10000.0,0.0
18,2015-02-19,0,62.810001373291016,0,10000.0,0.0
19,2015-02-20,0,63.7400016784668,0,10000.0,0.0
20,2015-02-23,0,62.58000183105469,0,10000.0,0.0
21,2015-02-24,2,61.93000030517578,0,10000.0,0.0
22,2015-02-25,0,62.869998931884766,0,10000.0,0.0
23,2015-02-26,0,70.23999786376953,0,10000.0,0.0
24,2015-02-27,0,69.37999725341797,0,10000.0,0.0
25,2015-03-02,0,68.45999908447266,0,10000.0,0.0
26,2015-03-03,2,66.94999694824219,0,10000.0,0.0
27,2015-03-04,1,64.87999725341797,1,9990.0,-0.0010000000000000009
28,2015-03-05,1,65.58999633789062,1,10099.323229872796,0.010943266253533146
29,2015-03-06,1,64.55999755859375,1,9940.727541821443,-0.015703595621362365
30,2015-03-09,0,65.4800033569336,1,10082.386886989354,0.014250400141432085
31,2015-03-10,0,63.7599983215332,1,9817.54639637505,-0.026267638167710383
32,2015-03-11,0,63.68000030517578,1,9805.228575517427,-0.0012546740662382483
33,2015-03-12,1,64.94999694824219,1,10000.778313515682,0.019943414525442238
34,2015-03-13,1,64.5999984741211,1,9946.88674593727,-0.0053887373451303455
35,2015-03-16,1,66.43000030517578,1,10228.66416680905,0.028328202388236745
36,2015-03-17,1,67.55000305175781,1,10401.118357808034,0.01685989374434449
37,2015-03-18,2,68.55000305175781,0,10544.539841523076,0.013789044483603519
38,2015-03-19,2,68.87999725341797,0,10544.539841523076,0.0
39,2015-03-20,2,67.69000244140625,0,10544.539841523076,0.0
40,2015-03-23,2,67.66000366210938,0,10544.539841523076,0.0
41,2015-03-24,2,67.37000274658203,0,10544.539841523076,0.0
42,2015-03-25,2,65.77999877929688,0,10544.539841523076,0.0
43,2015-03-26,2,65.98999786376953,0,10544.539841523076,0.0
44,2015-03-27,2,66.55000305175781,0,10544.539841523076,0.0
45,2015-03-30,0,66.8499984741211,0,10544.539841523076,0.0
46,2015-03-31,1,66.80999755859375,1,10533.995301681553,-0.0010000000000000009
47,2015-04-01,0,66.08000183105469,1,10418.896187100683,-0.01092644445764046
48,2015-04-02,2,66.68000030517578,0,10502.98501366515,0.008070799924907002
49,2015-04-06,1,67.94000244140625,1,10492.482028651484,-0.0010000000000000009
50,2015-04-07,0,68.19999694824219,1,10532.634922270774,0.003826825102930531
51,2015-04-08,0,68.20999908447266,1,10534.179626875943,0.00014665889557252676
52,2015-04-09,2,67.73999786376953,0,10451.13223404218,-0.007883612751569569
53,2015-04-10,2,67.63999938964844,0,10451.13223404218,0.0
54,2015-04-13,1,67.08000183105469,1,10440.681101808137,-0.0010000000000000009
55,2015-04-14,0,66.91000366210938,1,10414.221700773542,-0.0025342600522501035
56,2015-04-15,0,67.20999908447266,1,10460.91455186776,0.0044835660729931615
57,2015-04-16,2,67.91000366210938,0,10559.297045799012,0.009404769864379325
58,2015-04-17,2,65.80999755859375,0,10559.297045799012,0.0
59,2015-04-20,2,66.9000015258789,0,10559.297045799012,0.0
60,2015-04-21,1,67.37999725341797,1,10548.737748753214,-0.0009999999999998899
61,2015-04-22,0,67.70999908447266,1,10600.401490431797,0.004897623100421633
62,2015-04-23,0,68.47000122070312,1,10719.384327332711,0.011224370794663763
63,2015-04-24,0,67.83000183105469,1,10619.188631340441,-0.009347150259067294
64,2015-04-27,0,67.83999633789062,1,10620.753330595977,0.0001473464037466954
65,2015-04-28,0,66.88999938964844,1,10472.025680290018,-0.014003493507142029
66,2015-04-29,2,74.6500015258789,0,11675.21308724271,0.11489538353761652
67,2015-04-30,1,72.81999969482422,1,11663.537874155467,-0.0010000000000000009
68,2015-05-01,2,73.36000061035156,0,11738.279483707434,0.006408142225660551
69,2015-05-04,2,71.5999984741211,0,11738.279483707434,0.0
70,2015-05-05,2,72.75,0,11738.279483707434,0.0
71,2015-05-06,2,73.79000091552734,0,11738.279483707434,0.0
72,2015-05-07,2,74.5199966430664,0,11738.279483707434,0.0
73,2015-05-08,2,72.4000015258789,0,11738.279483707434,0.0
74,2015-05-11,1,71.19999694824219,1,11726.541204223728,-0.0009999999999998899
75,2015-05-12,1,71.7699966430664,1,11820.419367064242,0.008005614034486186
