episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,0.1479087637448394,0.0012765700329603136,0.71557,0.0,sharpe_ratio,1,0,0.9622626624782937,0.14252080388246258,0.1994161195205207,0.714690488537947,-0.22200700784732552,0.0655969316825018,0.043386021433786226,0.21282879168343283,0.20385409836052512,-0.25457413067570056
2,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,0.20361611349506648,0.0001590703597336475,0.4311400000000001,0.0,sharpe_ratio,1,0,0.8914855860133313,0.13052162770896114,0.17623425675144128,0.7406143965134276,-0.16235485300840047,0.3946534341744088,0.1343022462965069,0.2106155093732314,0.6376655104658513,-0.17585450971681682
3,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,1.0917128871637944,0.0001380109941373696,0.14671,0.0,sharpe_ratio,1,0,3.0202223197956597,0.29697010794335443,0.22790505678520998,1.3030430835206745,-0.20296892262597088,0.5001356031002762,0.1697475003115252,0.24556379599379907,0.6912562156182487,-0.19491026691398006
4,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,1.731919814342364,0.00015702730279244605,0.050000000000000044,0.0,sharpe_ratio,1,0,5.040473848028272,0.3850491569739676,0.21496984819649778,1.7911775079359278,-0.1608247549424935,0.6455776838853251,0.19976957960906838,0.2308864344544119,0.8652287436510806,-0.2855035586753393
5,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,1.5842048525003605,0.00015393231787808108,0.050000000000000044,0.0,sharpe_ratio,1,0,9.250997962676694,0.5114245812024503,0.2066943795097502,2.474303280115681,-0.15034955729330757,0.8877074971541523,0.2536466201278975,0.2353982023619817,1.0775214830989002,-0.3420864717749098
6,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,1.8011274372003416,0.0001419492249103181,0.050000000000000044,0.0,sharpe_ratio,0,1,10.159376740758466,0.5315913484620616,0.20178494108323392,2.634445095894378,-0.12140875051944222,0.3443573109806424,0.12184236010130567,0.2125352324484868,0.5732807624299995,-0.27850966721496884
7,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.2827739867996613,0.00013547717762186983,0.050000000000000044,0.0,sharpe_ratio,0,2,6.2486022490974555,0.4198206865661265,0.18560505968982174,2.261903243735487,-0.152714340175087,0.26670981168728347,0.09559610131029728,0.1871776378366553,0.5107239433896549,-0.19233836916869662
8,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.468890012802242,0.00012673886643461204,0.050000000000000044,0.0,sharpe_ratio,0,3,14.26371598674523,0.617018243870598,0.20933041612095446,2.9475804582267444,-0.13163067470753187,-0.2112277999926977,-0.04137995537805128,0.2516704669898984,-0.16442118089172614,-0.4693768923348336
9,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.7806660842144693,0.00013309244725191573,0.050000000000000044,0.0,sharpe_ratio,0,4,12.72062000335384,0.5840250815254031,0.19637031418512782,2.974100662561523,-0.1260254808643193,-0.15581935989399387,-0.025670507316404967,0.2316752087446281,-0.11080385965984457,-0.5154389488499611
10,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.6349708106694547,0.00014771882072277742,0.050000000000000044,0.0,sharpe_ratio,0,5,13.102428389609637,0.5939022001650003,0.20411272178315878,2.909677530026464,-0.13751630367241352,0.47615216166324714,0.15800067004285356,0.22429293063808464,0.7044389209832067,-0.31733147688560626
11,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.5041973821886305,0.00014175586484945128,0.050000000000000044,0.0,sharpe_ratio,0,6,18.81567440497801,0.6831814245390493,0.1900347823983225,3.595033582363183,-0.1446701912085011,0.3085684739466512,0.10727453285142441,0.18966728295724306,0.5655932387432757,-0.2642852451857499
12,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.8286747843652655,0.0001374880519721476,0.050000000000000044,0.0,sharpe_ratio,0,7,23.729739420972297,0.7450391327555181,0.18360492909916534,4.057838405597059,-0.1272276094109398,-0.03575087565323953,0.006952760930375446,0.19131623712581936,0.03634171900319654,-0.2583123233815191
13,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,3.0830593475517976,0.00013321320272377258,0.050000000000000044,0.0,sharpe_ratio,0,8,20.485401999241024,0.7127441863668427,0.20898478890529856,3.4105074828667203,-0.12468014283218265,0.5355524489632828,0.17949964516107597,0.24958433614615078,0.7191943530300923,-0.36582120599440604
14,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,3.1711260033802837,0.00014368980203312867,0.050000000000000044,0.0,sharpe_ratio,0,9,15.817604682299226,0.6478839273683292,0.22121728548723102,2.928721984547297,-0.14027312812098325,-0.019735653508954232,0.020543694340515728,0.22982823887430082,0.0893871633927092,-0.38605010855924493
15,43,profit_decay_seed43,profit,decay,0.005,20,1e-06,2.9926129365213683,0.00014399559299547708,0.050000000000000044,0.0,sharpe_ratio,0,10,24.16458262654948,0.7577199149930307,0.20574060433735367,3.6828895172806746,-0.14007370266924035,-0.0882679547742855,-0.0032501265543304347,0.22627256513203117,-0.014363767664161892,-0.42060859401705086
