episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,1.004121315869482,0.001570472374227486,0.71557,0.0,sharpe_ratio,1,0,3.0374294102319883,0.3286160764736876,0.31252611732984376,1.0514835664977795,-0.5377277266221124,0.34518992253812253,0.14104219440505839,0.28175722335488085,0.5005805804219327,-0.3956152352853979
2,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,0.09235285414134597,0.00027639793417593507,0.4311400000000001,0.0,sharpe_ratio,1,0,0.6023370606110321,0.12112148740081774,0.26499272497354764,0.4570747646483821,-0.33852248580336686,0.4696431916859938,0.1724974876454901,0.2802236077186935,0.6155708616051158,-0.3943358177041365
3,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,1.0183345190989939,0.00021009975774352873,0.14671,0.0,sharpe_ratio,1,0,2.8124974902992426,0.32158867713405415,0.32652975318691374,0.9848679147776429,-0.44165816710275263,0.8250524545200002,0.2610890500916627,0.2984861623588617,0.874710733751746,-0.3862308851668246
4,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,1.2791109556615363,0.00024030312121364102,0.050000000000000044,0.0,sharpe_ratio,1,0,2.2608329434902124,0.2425269169909816,0.1904915499761963,1.273163649627963,-0.22835690585539592,1.2418396767276918,0.3242120839308875,0.2417594916934066,1.3410521409519063,-0.36533305882830736
5,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,2.407479730156033,0.00022377691066376902,0.050000000000000044,0.0,sharpe_ratio,0,1,6.286512414858678,0.4597983474134961,0.29548914222558653,1.556058351079683,-0.2827104462426573,1.486659926267563,0.385196974669634,0.28865983711472004,1.33443217636317,-0.32087367413267553
6,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,1.8364826365057552,0.00024509838962939593,0.050000000000000044,0.0,sharpe_ratio,0,2,7.382963272354029,0.4984941377384118,0.3029170364411485,1.6456457635893336,-0.4312603011615679,0.599317783809298,0.1923652701267593,0.24280513484068578,0.7922619521740258,-0.3016445576477137
7,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,2.2263484359994496,0.0002624492878306616,0.050000000000000044,0.0,sharpe_ratio,0,3,7.393075018474844,0.47160924683062144,0.23842042039082031,1.978057274026933,-0.18613799438767797,0.22754194364536562,0.1035086287393221,0.2637358033596235,0.392470902398414,-0.3844220605029961
8,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,2.8956305036392758,0.0002490504158269763,0.050000000000000044,0.0,sharpe_ratio,0,4,15.462999583993497,0.6669988368666779,0.2821495584821376,2.363990361902,-0.180127691421208,0.48760572647790323,0.17004301276677936,0.25769953483999947,0.6598499018337604,-0.3385865471573489
9,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,3.2418277157674362,0.0002545928232700445,0.050000000000000044,0.0,sharpe_ratio,0,5,11.519190208237895,0.5859743036197675,0.2689464310392055,2.1787770202250702,-0.25516116985278003,0.979275467319852,0.28852215656481905,0.285426463640864,1.0108458510975709,-0.41700162598901536
10,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,2.8327108000418386,0.00022920645040002045,0.050000000000000044,0.0,sharpe_ratio,0,6,16.87897605846494,0.6970301619678596,0.2957306052897726,2.3569767535046715,-0.20133713684001175,1.474803123647614,0.3889148401482603,0.3033215126259932,1.2821868016588946,-0.40496614968457756
11,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,3.2213176750060812,0.000242602190417446,0.050000000000000044,0.0,sharpe_ratio,0,7,21.751342136410884,0.7446237566950256,0.2481648217793825,3.000520989864522,-0.2334438545640536,0.4282384661797993,0.1585138831568862,0.2692413286761255,0.58874276076525,-0.3838025619622961
12,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,2.893368815292349,0.00024390405804275317,0.050000000000000044,0.0,sharpe_ratio,0,8,45.42195863809265,0.9769639794327301,0.26829306575320067,3.6414060001514414,-0.19933072543627384,0.46258289782075357,0.16495706094513785,0.262150514766907,0.6292456114069073,-0.42362152766741734
13,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,3.1504670277461226,0.00026244248584554884,0.050000000000000044,0.0,sharpe_ratio,0,9,33.93511771539813,0.8939164507946715,0.28534351438886046,3.132772976141522,-0.26311047987499003,0.8106341685459577,0.24583730880238241,0.26353330384529505,0.9328510105375489,-0.4024448935556505
14,44,profit_decay_seed44,profit,decay,0.005,20,1e-06,3.310554528731308,0.0002718725116887213,0.050000000000000044,0.0,sharpe_ratio,0,10,34.73953049373789,0.8925766857167166,0.26966875747581426,3.3099002423251385,-0.18442785089184444,0.4153471453142621,0.14622813133844637,0.23814219882432364,0.6140370419873302,-0.3953337903042763
