step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,13.419333457946776,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,13.770000457763672,1,10251.05345240499,0.026131476717216273
2,2015-01-27,0,13.732000350952148,1,10222.76433743242,-0.0027596300325537504
3,2015-01-28,0,13.291333198547363,1,9894.71042429884,-0.03209052877530916
4,2015-01-29,1,13.68000030517578,1,10184.052991676399,0.02924214605280495
5,2015-01-30,1,13.57333278656006,1,10104.64453861795,-0.007797333058199074
6,2015-02-02,1,14.062666893005373,1,10468.928483026068,0.0360511389604945
7,2015-02-03,1,14.557332992553713,1,10837.18182064333,0.035175838502893075
8,2015-02-04,0,14.56999969482422,1,10846.611525634187,0.0008701251992371262
9,2015-02-05,1,14.732666969299316,1,10967.708901826436,0.011164535201251935
10,2015-02-06,0,14.490667343139648,1,10787.552691168788,-0.016426056915829212
11,2015-02-09,1,14.498666763305664,1,10793.507845924345,0.0005520394593698796
12,2015-02-10,0,14.419333457946776,1,10734.448301497721,-0.005471765552931385
13,2015-02-11,0,14.186667442321776,1,10561.240481349447,-0.016135698387415798
14,2015-02-12,0,13.525333404541016,1,10068.911480200932,-0.046616588460223096
15,2015-02-13,0,13.584667205810549,1,10113.082427777439,0.004386864226918918
16,2015-02-17,0,13.623332977294922,1,10141.86709568508,0.0028462803614235366
17,2015-02-18,1,13.630666732788086,1,10147.326697505565,0.0005383231478952588
18,2015-02-19,1,14.11400032043457,1,10507.14356588579,0.035459277020091884
19,2015-02-20,1,14.473999977111816,1,10775.144698838927,0.025506564298148016
20,2015-02-23,1,13.822667121887209,1,10290.261061057308,-0.045000197336919956
21,2015-02-24,1,13.607333183288574,1,10129.95607621274,-0.015578320500655662
22,2015-02-25,0,13.583999633789062,1,10112.585454919916,-0.001714777553045277
23,2015-02-26,1,13.812666893005373,1,10282.816407651637,0.016833573717678796
24,2015-02-27,1,13.555999755859377,1,10091.740993353018,-0.0185820116516362
25,2015-03-02,1,13.155332565307615,1,9793.464983880896,-0.02955644716492256
26,2015-03-03,2,13.303999900817873,0,9894.23598916041,0.010289617152394293
27,2015-03-04,0,13.496000289916992,0,9894.23598916041,0.0
28,2015-03-05,0,13.375332832336426,0,9894.23598916041,0.0
29,2015-03-06,2,12.925333023071287,0,9894.23598916041,0.0
30,2015-03-09,1,12.725333213806152,1,9884.34175317125,-0.0010000000000000009
31,2015-03-10,1,12.687999725341797,1,9855.343144441742,-0.0029337926038629503
32,2015-03-11,2,12.916000366210938,0,10022.409110956662,0.01695181629562459
33,2015-03-12,2,12.73799991607666,0,10022.409110956662,0.0
34,2015-03-13,2,12.57866668701172,0,10022.409110956662,0.0
35,2015-03-16,1,13.046667098999023,1,10012.386701845706,-0.0009999999999998899
36,2015-03-17,0,12.982000350952148,1,9962.759583802215,-0.004956572246090141
37,2015-03-18,0,13.380666732788086,1,10268.707604831536,0.030709164308927006
38,2015-03-19,2,13.043333053588867,0,9999.818231668822,-0.026185317910522476
39,2015-03-20,0,13.20533275604248,0,9999.818231668822,0.0
40,2015-03-23,1,13.308667182922363,1,9989.818413437153,-0.0010000000000000009
41,2015-03-24,0,13.447999954223633,1,10094.405076039006,0.010469325694766773
42,2015-03-25,0,12.953332901000977,1,9723.095615152833,-0.036783689389238594
43,2015-03-26,2,12.694000244140623,0,9518.905603430601,-0.021000514630753475
44,2015-03-27,2,12.333333015441896,0,9518.905603430601,0.0
45,2015-03-30,1,12.704667091369627,1,9509.38669782717,-0.0010000000000000009
46,2015-03-31,2,12.584667205810549,0,9410.147750963599,-0.01043589350365226
47,2015-04-01,2,12.505999565124512,0,9410.147750963599,0.0
48,2015-04-02,2,12.733332633972168,0,9410.147750963599,0.0
49,2015-04-06,1,13.539999961853027,1,9400.737603212636,-0.0009999999999998899
50,2015-04-07,2,13.550000190734863,0,9398.273019112163,-0.0002621692259159314
51,2015-04-08,2,13.844667434692385,0,9398.273019112163,0.0
52,2015-04-09,0,14.005999565124512,0,9398.273019112163,0.0
53,2015-04-10,0,14.0600004196167,0,9398.273019112163,0.0
54,2015-04-13,2,13.985333442687988,0,9398.273019112163,0.0
55,2015-04-14,2,13.830666542053224,0,9398.273019112163,0.0
56,2015-04-15,1,13.85533332824707,1,9388.87474609305,-0.001000000000000112
57,2015-04-16,1,13.779999732971191,1,9337.825978556284,-0.005437155028403029
58,2015-04-17,1,13.78600025177002,1,9341.892147018569,0.00043545130008015853
59,2015-04-20,1,13.684666633605955,1,9273.224824048348,-0.007350472676152187
60,2015-04-21,0,13.96066665649414,1,9460.252417208665,0.020168560205215513
61,2015-04-22,1,14.629332542419434,1,9913.364594390201,0.04789641514821552
62,2015-04-23,0,14.57333278656006,1,9875.417135377898,-0.0038279091473925053
63,2015-04-24,1,14.562000274658203,1,9867.73781563261,-0.0007776197845635879
64,2015-04-27,1,15.436667442321776,1,10460.443908453275,0.060065042656655354
65,2015-04-28,2,15.36533260345459,0,10401.692737974896,-0.00561650834252847
66,2015-04-29,1,15.49666690826416,1,10391.291045236921,-0.0010000000000000009
67,2015-04-30,1,15.06999969482422,1,10105.189316358033,-0.027532837607318172
68,2015-05-01,1,15.0686674118042,1,10104.295953888695,-8.840630703399466e-05
69,2015-05-04,2,15.36733341217041,0,10294.261894208234,0.018800512295607197
70,2015-05-05,2,15.529999732971191,0,10294.261894208234,0.0
71,2015-05-06,2,15.362000465393066,0,10294.261894208234,0.0
72,2015-05-07,0,15.786666870117188,0,10294.261894208234,0.0
73,2015-05-08,0,15.77400016784668,0,10294.261894208234,0.0
74,2015-05-11,2,15.965999603271484,0,10294.261894208234,0.0
75,2015-05-12,2,16.31599998474121,0,10294.261894208234,0.0
76,2015-05-13,2,16.211999893188477,0,10294.261894208234,0.0
77,2015-05-14,1,16.273332595825195,1,10283.967632314025,-0.001000000000000112
78,2015-05-15,1,16.589332580566406,1,10483.664504221137,0.019418271142708443
79,2015-05-18,1,16.583332061767578,1,10479.872463424277,-0.0003617094762363715
80,2015-05-19,2,16.47599983215332,0,10401.631585795581,-0.007465823453650211
81,2015-05-20,2,16.290000915527344,0,10401.631585795581,0.0
82,2015-05-21,1,16.374666213989258,1,10391.229954209786,-0.0010000000000000009
83,2015-05-22,1,16.51533317565918,1,10480.496063611357,0.008590523912465953
84,2015-05-26,0,16.497333526611328,1,10469.07363277173,-0.0010898750183483408
85,2015-05-27,1,16.495332717895508,1,10467.80393583936,-0.00012128073379813475
86,2015-05-28,1,16.76333236694336,1,10637.874332665195,0.016246998689338543
87,2015-05-29,1,16.719999313354492,1,10610.375529417814,-0.0025849904207780883
88,2015-06-01,2,16.6299991607666,0,10542.708902666913,-0.006377401682277073
89,2015-06-02,0,16.55666732788086,0,10542.708902666913,0.0
90,2015-06-03,0,16.599332809448242,0,10542.708902666913,0.0
91,2015-06-04,1,16.39466667175293,1,10532.166193764246,-0.0010000000000000009
92,2015-06-05,0,16.609333038330078,1,10670.070909625134,0.01309367069639844
93,2015-06-08,1,17.086000442504883,1,10976.288804775695,0.028698768522178453
94,2015-06-09,0,17.066667556762695,1,10963.869085014476,-0.00113150446221999
95,2015-06-10,0,16.713333129882812,1,10736.882042192245,-0.02070318799523785
96,2015-06-11,1,16.76066780090332,1,10767.290505621031,0.0028321502750325855
97,2015-06-12,0,16.71266746520996,1,10736.454409773474,-0.0028638677326908724
98,2015-06-15,1,16.691999435424805,1,10723.176974559132,-0.0012366685227346297
99,2015-06-16,1,16.874666213989258,1,10840.524701624243,0.010943373157369374
100,2015-06-17,0,17.360666275024414,1,11152.738027792133,0.028800573289696096
101,2015-06-18,1,17.459333419799805,1,11216.123199777914,0.005683373161624372
102,2015-06-19,1,17.500667572021484,1,11242.67684489881,0.0023674530537807215
103,2015-06-22,1,17.319332122802734,1,11126.18438267124,-0.010361630404811195
104,2015-06-23,1,17.844667434692383,1,11463.667231395919,0.03033230774516915
105,2015-06-24,0,17.67799949645996,1,11356.5973860748,-0.009339929636816624
106,2015-06-25,1,17.91933250427246,1,11511.633130150132,0.013651601690611415
107,2015-06-26,1,17.805999755859375,1,11438.82656656569,-0.006324607704336405
108,2015-06-29,0,17.468000411987305,1,11221.690998376473,-0.018982328906347767
109,2015-06-30,0,17.884000778198242,1,11488.935528644919,0.02381499635902573
110,2015-07-01,1,17.94333267211914,1,11527.05117807391,0.003317596250232091
111,2015-07-02,0,18.667999267578125,1,11992.587268026467,0.04038639915454456
112,2015-07-06,2,18.64800071716309,0,11967.76017593063,-0.002070203163084594
113,2015-07-07,2,17.858667373657227,0,11967.76017593063,0.0
114,2015-07-08,2,16.997333526611328,0,11967.76017593063,0.0
115,2015-07-09,1,17.19466781616211,1,11955.7924157547,-0.0010000000000000009
116,2015-07-10,1,17.27666664123535,1,12012.807819680676,0.004768851945843755
117,2015-07-13,1,17.477333068847656,1,12152.33515332819,0.011614881028807034
118,2015-07-14,1,17.709999084472656,1,12314.112433049671,0.013312443878506386
119,2015-07-15,1,17.542667388916016,1,12197.763397520703,-0.009448430502932648
120,2015-07-16,1,17.778667449951172,1,12361.858904919203,0.013452917723576707
121,2015-07-17,1,18.310667037963867,1,12731.768734382049,0.029923479333326286
122,2015-07-20,0,18.817333221435547,1,13084.063746907748,0.027670547578698024
123,2015-07-21,0,17.784666061401367,1,12366.029858033742,-0.054878507378390284
124,2015-07-22,0,17.857999801635742,1,12417.020257190448,0.004123425201304931
125,2015-07-23,0,17.81333351135254,1,12385.962902647905,-0.0025011922264166486
126,2015-07-24,0,17.694000244140625,1,12302.98812312129,-0.0066990980175531956
127,2015-07-27,1,16.867332458496094,1,11728.189671204256,-0.046720231391331746
