episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,-0.1720314549188552,0.0015196700710709055,0.71557,0.0,sharpe_ratio,1,0,0.008521447103958524,0.017982531555444048,0.1806345062870781,0.09955202870743222,-0.334258777308271,0.5205667737807058,0.15772954153509633,0.1771434018952597,0.8904059640243204,-0.14266738106827903
2,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,0.5209547539086916,0.00018788497716938247,0.4311400000000001,0.0,sharpe_ratio,0,1,0.5316109767130786,0.09256369091009842,0.1825673474198406,0.5070112055538306,-0.2858496223542172,0.14808153402701096,0.05587745292449697,0.14994659090558995,0.3726490384811668,-0.29119416203191206
3,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.4623488291833153,0.00017971383254046869,0.14671,0.0,sharpe_ratio,0,2,6.326637700255671,0.43054253639523044,0.21373419540608998,2.0143830311158664,-0.24385474580557032,0.17234191194712634,0.06457026364203688,0.1608238005608184,0.4014969389908086,-0.16602309591068742
4,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.0610840009529228,0.00018882642751246996,0.050000000000000044,0.0,sharpe_ratio,0,3,7.5005527343539935,0.46481286716782244,0.2070346313610448,2.245097180660765,-0.20237521326691832,0.3557030041068723,0.11743401569698309,0.17919397308269372,0.6553457891286897,-0.22539350179125917
5,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.2626781333957373,0.00019462850376352067,0.050000000000000044,0.0,sharpe_ratio,0,4,17.135401911210835,0.67010189811214,0.22382003056927577,2.993931760297625,-0.1874325154968488,0.29756277343817117,0.10857813928570548,0.20852362633361393,0.5206994583529488,-0.27753294438181264
6,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.6399569982478184,0.00019576056600377554,0.050000000000000044,0.0,sharpe_ratio,0,5,11.32890483404007,0.5588910433832974,0.20553958401159148,2.7191406758504413,-0.18250751168850232,0.005644796716938405,0.012206318443533037,0.1438381033323874,0.08486150860405982,-0.17791476271477136
7,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,3.041754253132858,0.00018903110847734854,0.050000000000000044,0.0,sharpe_ratio,0,6,10.835405867943674,0.5438182715170747,0.19131748913558153,2.842491159455294,-0.17313632746584307,-0.13563477868250973,-0.028820031380081934,0.1803960731228664,-0.1597597490963832,-0.32779611670351017
8,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.9335900352262856,0.00018475620046237132,0.050000000000000044,0.0,sharpe_ratio,0,7,24.724718870599546,0.7685613640109359,0.21665253445889432,3.5474376790951214,-0.19581623630672984,-0.3799362779266571,-0.11687544642414016,0.22333460032864413,-0.5233199255832018,-0.48059274229776305
9,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,3.1991819852964767,0.00016800292160855973,0.050000000000000044,0.0,sharpe_ratio,0,8,20.216837155933188,0.7105164187432271,0.21250496723409545,3.3435285207263994,-0.2515450191318236,-0.18815188682988948,-0.04912676143768202,0.17122670329746442,-0.28691063071124084,-0.3549845658586458
10,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,3.13253154440138,0.00016526177067830027,0.050000000000000044,0.0,sharpe_ratio,0,9,23.880603592507036,0.766422695390766,0.23620953671084477,3.2446729546274846,-0.2767781579717714,-0.026844155976220585,0.017159785692361762,0.22564999743233774,0.0760460265349979,-0.2746399576626398
11,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,3.193108862756403,0.00016101149489533724,0.050000000000000044,0.0,sharpe_ratio,0,10,37.55298706130378,0.8867763228424765,0.20045386096590231,4.423842566910294,-0.1646743919335043,-0.4432455591559258,-0.15296209292993224,0.18297474215478268,-0.8359738132629145,-0.5044562301999751
