step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,27.09749984741211,0,10000.0,0.0
1,2015-01-26,0,26.836000442504883,0,10000.0,0.0
2,2015-01-27,2,26.059499740600582,0,10000.0,0.0
3,2015-01-28,1,25.62150001525879,1,9990.0,-0.0010000000000000009
4,2015-01-29,0,25.661500930786133,1,10005.596633525756,0.0015612245771527977
5,2015-01-30,2,26.877500534057617,0,10469.24356283404,0.046338758825709814
6,2015-02-02,0,26.61000061035156,0,10469.24356283404,0.0
7,2015-02-03,0,26.665000915527344,0,10469.24356283404,0.0
8,2015-02-04,0,26.30500030517578,0,10469.24356283404,0.0
9,2015-02-05,2,26.491500854492188,0,10469.24356283404,0.0
10,2015-02-06,0,26.694000244140625,0,10469.24356283404,0.0
11,2015-02-09,0,26.464000701904297,0,10469.24356283404,0.0
12,2015-02-10,0,27.007999420166016,0,10469.24356283404,0.0
13,2015-02-11,1,26.899999618530273,1,10458.774319271206,-0.001000000000000112
14,2015-02-12,0,27.300500869750977,1,10614.490016687707,0.014888522561346429
15,2015-02-13,2,27.558000564575195,0,10703.891813005794,0.008422618154761308
16,2015-02-17,0,27.250499725341797,0,10703.891813005794,0.0
17,2015-02-18,0,27.13249969482422,0,10703.891813005794,0.0
18,2015-02-19,2,27.322500228881836,0,10703.891813005794,0.0
19,2015-02-20,0,27.09000015258789,0,10703.891813005794,0.0
20,2015-02-23,0,26.75,0,10703.891813005794,0.0
21,2015-02-24,1,26.9325008392334,1,10693.187921192788,-0.0010000000000000009
22,2015-02-25,1,27.366500854492188,1,10865.501801313505,0.016114360038432363
23,2015-02-26,0,27.964500427246097,1,11102.929504237232,0.021851517515281804
24,2015-02-27,0,28.131500244140625,1,11169.234539759838,0.005971850537040968
25,2015-03-02,1,28.750999450683594,1,11415.198383672312,0.02202154883908114
26,2015-03-03,1,28.93950080871582,1,11490.040317470837,0.006556341053658432
27,2015-03-04,2,28.916500091552734,0,11469.427283287227,-0.001793991458173383
28,2015-03-05,2,29.07150077819824,0,11469.427283287227,0.0
29,2015-03-06,0,28.645000457763672,0,11469.427283287227,0.0
30,2015-03-09,0,28.704999923706055,0,11469.427283287227,0.0
31,2015-03-10,1,27.99250030517578,1,11457.957856003939,-0.0010000000000000009
