episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,-0.6890490671665802,0.0013272615155983658,0.71557,0.0,sharpe_ratio,1,0,-0.009999041816689314,0.020685197827124746,0.2089629803065195,0.09898977223995585,-0.34613025788746776,-0.5618053322205139,-0.19938693693622223,0.263566108698952,-0.7564968725321362,-0.6432345989355808
2,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,0.011807847099858715,0.0002090627666211761,0.4311400000000001,0.0,sharpe_ratio,1,0,1.9778706700967144,0.2429748449464677,0.2605560624907213,0.9325242430508418,-0.2702692424238643,-0.25060820793678196,-0.03925726094256177,0.31503678328178925,-0.12461167401981608,-0.6738974680775373
3,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,0.345878917358458,0.00019922368136671937,0.14671,0.0,sharpe_ratio,1,0,1.055323022348892,0.15112690777362836,0.19688658761541633,0.767583559672579,-0.28839996856237715,0.3188034380018323,0.11883881781002881,0.2271842725066627,0.5230943872073873,-0.4935618394300215
4,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.0701438076013199,0.00018952119368653863,0.050000000000000044,0.0,sharpe_ratio,0,1,0.7121067320145773,0.11356876097981794,0.18416111315466804,0.6166815514654118,-0.1617257570046704,0.11536674704880823,0.07282550244792363,0.269474963776065,0.27024960474043136,-0.440707664321056
5,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.343545898639585,0.00017492864663838195,0.050000000000000044,0.0,sharpe_ratio,1,0,2.6666718627470094,0.26475078587143686,0.17915255383226708,1.477795209770282,-0.21686656831007523,0.2933188930914836,0.10200773331690582,0.18408423333959745,0.5541361770441393,-0.2920865890389325
6,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.453395958251467,0.00017887411446176977,0.050000000000000044,0.0,sharpe_ratio,0,1,7.94293244278818,0.48112719548270455,0.21864605221044167,2.200484255803672,-0.2049919227273872,0.023928961579555708,0.04010684255843033,0.25321527711507785,0.1583902954646892,-0.3689916707386577
7,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.897967889786573,0.00017950146125291885,0.050000000000000044,0.0,sharpe_ratio,0,2,5.1768787715720315,0.3827485975614857,0.1872281194863887,2.0442901344704856,-0.16019325440632537,-0.13274256479756108,-0.017045921418486154,0.23369186299827122,-0.07294186969022647,-0.4914917571774152
8,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.854011225760692,0.00017391518735787665,0.050000000000000044,0.0,sharpe_ratio,0,3,4.382459556353802,0.36265591857763146,0.22793154797681264,1.5910738192965033,-0.2438304455217719,-0.2253071389834359,-0.03993416350005485,0.2785788119102659,-0.1433496080560434,-0.6563940703624743
9,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,1.6008682194121193,0.00018925572240685655,0.050000000000000044,0.0,sharpe_ratio,0,4,4.168592065631948,0.33932104299726973,0.17677407027117079,1.9195181876886835,-0.23551294248244514,-0.12327458627165688,-0.019526347506625186,0.20578131410539935,-0.09488882696425957,-0.34311164974212827
10,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.0898805942004075,0.0001732972474078509,0.050000000000000044,0.0,sharpe_ratio,0,5,13.816364335892501,0.6107945471918352,0.21366641063127392,2.8586362516562747,-0.17174176580316736,-0.3015526869592988,-0.08079594478325047,0.23568908480991946,-0.34280732537279557,-0.532601332813724
11,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.2226927740605262,0.0001846773339178909,0.050000000000000044,0.0,sharpe_ratio,0,6,13.098877254693763,0.5863532247534529,0.17861154047532266,3.282840645083987,-0.12057993688793156,-0.07992105118650894,-0.010681718563536946,0.17476333296198687,-0.061121050866318444,-0.31022321245495454
12,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.7437438262668143,0.000167015882418872,0.050000000000000044,0.0,sharpe_ratio,0,7,4.248985625014409,0.3556070227566548,0.22406164632659384,1.587094572349609,-0.1932543743386963,-0.037691990030933264,0.01632514013072406,0.2360522775595351,0.0691590028255782,-0.27294539332815637
13,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,3.0129476052940136,0.0001739021726430107,0.050000000000000044,0.0,sharpe_ratio,0,8,21.311751706230673,0.7162665526209222,0.1867238211204229,3.835967732038773,-0.14023022262866547,-0.23665583732726458,-0.06351839784645319,0.1936572986617827,-0.3279938235500557,-0.41670663516238726
14,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.6133418010604577,0.0001558843273059409,0.050000000000000044,0.0,sharpe_ratio,0,9,26.264162666834732,0.7805481960835525,0.20213600769855167,3.8615000116535163,-0.11377395701580295,-0.4620936060863474,-0.15304761507185616,0.23339771876016074,-0.6557374077384523,-0.5478129428435472
15,45,profit_decay_seed45,profit,decay,0.005,20,1e-06,2.834847767771939,0.00016132963780426024,0.050000000000000044,0.0,sharpe_ratio,0,10,21.99560863601233,0.737931106538694,0.22308330806253313,3.3078723502335836,-0.16011911599753237,-0.1140883605559937,-0.00987830394586997,0.23646984692178433,-0.041774053116959795,-0.3839869840440898
