step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,10.697999954223633,0,10000.0,0.0
1,2015-01-26,0,10.67300033569336,0,10000.0,0.0
2,2015-01-27,1,10.479000091552734,1,9990.0,-0.0010000000000000009
3,2015-01-28,1,10.5,1,10010.019952624802,0.0020039992617419955
4,2015-01-29,0,10.652999877929688,1,10155.88012698912,0.014571416945684534
5,2015-01-30,1,10.288000106811523,1,9807.912984932327,-0.034262627926463396
6,2015-02-02,1,10.241999626159668,1,9764.059105965147,-0.004471275289100962
7,2015-02-03,1,10.31999969482422,1,9838.419319644981,0.0076157070407743
8,2015-02-04,1,10.479999542236328,1,9990.952811550898,0.015503861641813055
9,2015-02-05,1,10.619999885559082,1,10124.420071554241,0.01335881196926847
10,2015-02-06,1,10.473999977111816,1,9985.233214731523,-0.013747637478395469
11,2015-02-09,1,10.223999977111816,1,9746.899406335695,-0.02386862712872917
12,2015-02-10,2,10.70400047302246,0,10194.296290433549,0.04590145701175863
13,2015-02-11,1,10.793999671936035,1,10184.101994143115,-0.0010000000000000009
14,2015-02-12,1,10.970000267028809,1,10350.157957264448,0.016305410454140246
15,2015-02-13,0,11.015000343322754,1,10392.61537626116,0.004102103482093389
16,2015-02-17,1,11.086999893188477,1,10460.546706782814,0.006536500011038893
17,2015-02-18,1,11.0,1,10378.462603332764,-0.007847018492525337
18,2015-02-19,1,11.09000015258789,1,10463.377441326189,0.008181832053444582
19,2015-02-20,0,11.206000328063965,1,10572.823212522413,0.010459889439136338
20,2015-02-23,0,11.28499984741211,1,10647.358990452956,0.0070497516540579674
21,2015-02-24,1,11.317999839782717,1,10678.49437106465,0.0029242350745954937
22,2015-02-25,1,11.267999649047852,1,10631.319361091804,-0.0044177585653530915
23,2015-02-26,1,12.925000190734863,1,12194.693738873693,0.14705365577705076
24,2015-02-27,0,12.76200008392334,1,12040.903692247997,-0.0126112266465086
25,2015-03-02,2,12.902000427246094,0,12160.820546674051,0.009959124123155139
26,2015-03-03,0,12.821999549865724,0,12160.820546674051,0.0
27,2015-03-04,1,12.9399995803833,1,12148.659726127376,-0.0010000000000000009
28,2015-03-05,0,13.057000160217283,1,12258.505188125495,0.009041776169093074
29,2015-03-06,1,12.788999557495115,1,12006.894041722951,-0.020525434589388047
30,2015-03-09,0,12.711999893188477,1,11934.603257254497,-0.006020773083967423
31,2015-03-10,1,12.51200008392334,1,11746.834346370146,-0.015733150640781957
32,2015-03-11,1,12.465999603271484,1,11703.64700442271,-0.0036765089788450833
33,2015-03-12,0,12.612000465393066,1,11840.719249488719,0.011711925779563481
34,2015-03-13,0,12.5,1,11735.568122181807,-0.00888046790835384
35,2015-03-16,2,12.987000465393066,0,12180.593506861018,0.03792107719421378
36,2015-03-17,1,12.90999984741211,1,12168.412913354157,-0.0010000000000000009
37,2015-03-18,1,13.043999671936035,1,12294.715408659838,0.010379537266283156
38,2015-03-19,1,13.20400047302246,1,12445.525310836354,0.012266237742297958
39,2015-03-20,1,13.32900047302246,1,12563.344957013514,0.009466827894727414
40,2015-03-23,0,13.444000244140623,1,12671.738815762285,0.008627786558408568
41,2015-03-24,1,13.312000274658203,1,12547.321298163768,-0.009818503948625823
42,2015-03-25,1,12.442999839782717,1,11728.238708045152,-0.065279478436444
43,2015-03-26,1,12.470999717712402,1,11754.630193730585,0.0022502514096451876
44,2015-03-27,0,12.821000099182127,1,12084.525562583654,0.028065142281466393
45,2015-03-30,0,13.05500030517578,1,12305.08413438809,0.018251322376058532
46,2015-03-31,1,12.697999954223633,1,11968.590894113662,-0.027345870747364942
47,2015-04-01,1,12.562999725341797,1,11841.345460508115,-0.01063161359021203
48,2015-04-02,1,12.501999855041504,1,11783.849595423051,-0.004855517920393182
49,2015-04-06,0,12.583000183105469,1,11860.197035364892,0.006478989681902858
50,2015-04-07,2,12.5649995803833,0,11831.387207777065,-0.002429118799790797
51,2015-04-08,2,12.678999900817873,0,11831.387207777065,0.0
52,2015-04-09,2,12.722000122070312,0,11831.387207777065,0.0
53,2015-04-10,0,12.682000160217283,0,11831.387207777065,0.0
54,2015-04-13,1,12.53499984741211,1,11819.555820569287,-0.001000000000000112
55,2015-04-14,1,12.39799976348877,1,11690.375113822896,-0.01092940451464175
56,2015-04-15,2,12.59000015258789,0,11859.545527285756,0.014470914048158257
57,2015-04-16,0,12.532999992370604,0,11859.545527285756,0.0
58,2015-04-17,2,12.1850004196167,0,11859.545527285756,0.0
59,2015-04-20,2,12.303000450134276,0,11859.545527285756,0.0
60,2015-04-21,2,12.3100004196167,0,11859.545527285756,0.0
61,2015-04-22,2,12.789999961853027,0,11859.545527285756,0.0
62,2015-04-23,1,12.406999588012695,1,11847.68598175847,-0.0010000000000000009
63,2015-04-24,2,11.949999809265137,0,11399.87668845242,-0.037797194658562794
64,2015-04-27,2,12.015000343322754,0,11399.87668845242,0.0
65,2015-04-28,1,11.744999885559082,1,11388.476811763967,-0.0010000000000000009
66,2015-04-29,2,11.70300006866455,0,11336.404160280697,-0.004572398253424037
67,2015-04-30,2,11.687999725341797,0,11336.404160280697,0.0
68,2015-05-01,2,12.279999732971191,0,11336.404160280697,0.0
69,2015-05-04,1,12.116000175476074,1,11325.067756120417,-0.0009999999999998899
70,2015-05-05,1,11.678999900817873,1,10916.594856791418,-0.036068031390650845
71,2015-05-06,2,11.678000450134276,0,10904.744989592258,-0.0010854911586086757
72,2015-05-07,2,12.248000144958496,0,10904.744989592258,0.0
73,2015-05-08,1,12.333000183105469,1,10893.840244602667,-0.0009999999999998899
74,2015-05-11,0,12.281000137329102,1,10847.908177547662,-0.004216333820184381
75,2015-05-12,0,12.295000076293944,1,10860.274438494136,0.0011399673323257975
76,2015-05-13,0,12.312999725341797,1,10876.173676171506,0.001463981206682563
77,2015-05-14,2,12.694000244140623,0,11201.5018456851,0.02991200574760522
78,2015-05-15,0,12.786999702453612,0,11201.5018456851,0.0
79,2015-05-18,0,13.017999649047852,0,11201.5018456851,0.0
80,2015-05-19,0,12.946999549865724,0,11201.5018456851,0.0
81,2015-05-20,2,12.91100025177002,0,11201.5018456851,0.0
82,2015-05-21,0,12.958999633789062,0,11201.5018456851,0.0
83,2015-05-22,0,13.263999938964844,0,11201.5018456851,0.0
84,2015-05-26,0,13.130000114440918,0,11201.5018456851,0.0
85,2015-05-27,2,14.14900016784668,0,11201.5018456851,0.0
86,2015-05-28,2,14.23799991607666,0,11201.5018456851,0.0
87,2015-05-29,2,14.807000160217283,0,11201.5018456851,0.0
88,2015-06-01,0,14.661999702453612,0,11201.5018456851,0.0
89,2015-06-02,2,14.416000366210938,0,11201.5018456851,0.0
