step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,47.18000030517578,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,47.0099983215332,1,9954.00339538779,-0.0036032637249459043
2,2015-01-27,2,42.65999984741211,0,9023.89195259216,-0.0934409408807918
3,2015-01-28,1,41.189998626708984,1,9014.868060639566,-0.001000000000000112
4,2015-01-29,2,42.0099983215332,0,9185.139357079011,0.018887830115104975
5,2015-01-30,2,40.400001525878906,0,9185.139357079011,0.0
6,2015-02-02,2,41.279998779296875,0,9185.139357079011,0.0
7,2015-02-03,2,41.599998474121094,0,9185.139357079011,0.0
8,2015-02-04,2,41.84000015258789,0,9185.139357079011,0.0
9,2015-02-05,2,42.45000076293945,0,9185.139357079011,0.0
10,2015-02-06,1,42.40999984741211,1,9175.954217721932,-0.001000000000000112
11,2015-02-09,0,42.36000061035156,1,9165.136233476724,-0.0011789492393406986
12,2015-02-10,2,42.599998474121094,0,9207.845825109443,0.004660006195730926
13,2015-02-11,1,42.380001068115234,1,9198.637979284335,-0.0010000000000000009
14,2015-02-12,2,43.09000015258789,0,9343.391520509978,0.015736410276351087
15,2015-02-13,0,43.869998931884766,0,9343.391520509978,0.0
16,2015-02-17,2,43.58000183105469,0,9343.391520509978,0.0
17,2015-02-18,2,43.529998779296875,0,9343.391520509978,0.0
18,2015-02-19,1,43.5,1,9334.048128989469,-0.0010000000000000009
19,2015-02-20,0,43.86000061035156,1,9411.295554816757,0.008275876100035884
20,2015-02-23,0,44.150001525878906,1,9473.522738793383,0.006611967886267944
21,2015-02-24,2,44.09000015258789,0,9451.18724707993,-0.0023576754212021322
22,2015-02-25,1,43.9900016784668,1,9441.73605983285,-0.0009999999999998899
23,2015-02-26,1,44.060001373291016,1,9456.760352117037,0.0015912637452450973
24,2015-02-27,2,43.849998474121094,0,9402.274969845455,-0.005761527229500296
25,2015-03-02,2,43.880001068115234,0,9402.274969845455,0.0
