step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,6.249429225921631,0,10000.0,0.0
1,2015-01-26,0,6.379428863525391,0,10000.0,0.0
2,2015-01-27,0,6.488142967224121,0,10000.0,0.0
3,2015-01-28,0,6.320857048034668,0,10000.0,0.0
4,2015-01-29,1,6.340000152587891,1,9990.0,-0.0010000000000000009
5,2015-01-30,2,6.311429023742676,0,9935.035213765943,-0.0055019806040097485
6,2015-02-02,0,6.301000118255615,0,9935.035213765943,0.0
7,2015-02-03,0,6.527429103851318,0,9935.035213765943,0.0
8,2015-02-04,0,6.41014289855957,0,9935.035213765943,0.0
9,2015-02-05,0,6.413000106811523,0,9935.035213765943,0.0
10,2015-02-06,2,6.3480000495910645,0,9935.035213765943,0.0
11,2015-02-09,0,6.329570770263672,0,9935.035213765943,0.0
12,2015-02-10,1,6.485000133514404,1,9925.100178552177,-0.0010000000000000009
13,2015-02-11,1,6.498428821563721,1,9945.652386942611,0.0020707305740699233
14,2015-02-12,1,6.52471399307251,1,9985.881061586259,0.00404485026004564
15,2015-02-13,1,6.658570766448975,1,10190.744879317468,0.0205153472655788
16,2015-02-17,0,6.713714122772217,1,10275.140149081817,0.008281560451545822
17,2015-02-18,0,6.786571025848389,1,10386.645476274183,0.010851951951461158
18,2015-02-19,0,6.78000020980835,1,10376.589037398388,-0.0009682085422831888
19,2015-02-20,0,6.8314290046691895,1,10455.299281121917,0.007585367738844662
20,2015-02-23,0,6.740571022033691,1,10316.243836077574,-0.013299996614675735
21,2015-02-24,0,6.783999919891357,1,10382.710474937587,0.006442910803210022
22,2015-02-25,0,6.833285808563232,1,10458.14106435721,0.0072650190527514535
23,2015-02-26,0,6.900428771972656,1,10560.901376524276,0.0098258678607126
24,2015-02-27,1,6.78442907333374,1,10383.367281540506,-0.016810505907990825
25,2015-03-02,0,6.860713958740234,1,10500.119033919964,0.01124411274433279
26,2015-03-03,0,6.781570911407471,1,10378.992949565069,-0.011535686782559784
27,2015-03-04,0,6.710999965667725,1,10270.986212210913,-0.010406282948547618
28,2015-03-05,1,6.680714130401611,1,10224.634640457838,-0.004512864762486912
29,2015-03-06,1,6.487429141998291,1,9928.817703924695,-0.02893178552929665
30,2015-03-09,1,6.366143226623535,1,9743.193211163198,-0.018695528339504386
31,2015-03-10,1,6.215143203735352,1,9512.092159000735,-0.02371923117543029
32,2015-03-11,1,6.288428783416748,1,9624.253563010907,0.011791454722612338
33,2015-03-12,1,6.404571056365967,1,9802.005863743867,0.01846920382647843
34,2015-03-13,1,6.262856960296631,1,9585.116646898334,-0.02212702378069098
35,2015-03-16,2,6.028142929077148,0,9216.667896484501,-0.03843967308765717
36,2015-03-17,1,5.978857040405273,1,9207.451228588017,-0.0010000000000000009
37,2015-03-18,1,6.0445709228515625,1,9308.650732703332,0.010991044275217243
38,2015-03-19,1,6.074429035186768,1,9354.63228256248,0.004939657870888237
39,2015-03-20,0,6.118570804595947,1,9422.610691517888,0.007266817861149244
40,2015-03-23,1,6.0714287757873535,1,9350.011877373572,-0.007704745162576687
41,2015-03-24,0,6.261143207550049,1,9642.172463587538,0.031247081826813128
42,2015-03-25,1,6.025000095367432,1,9278.51162110634,-0.03771565421117684
43,2015-03-26,1,5.975142955780029,1,9201.731531191897,-0.008275043783939062
44,2015-03-27,1,5.925285816192627,1,9124.951441277455,-0.008344091506492513
45,2015-03-30,2,6.03671407699585,0,9287.254623947534,0.017786744807855914
46,2015-03-31,0,5.952713966369629,0,9287.254623947534,0.0
47,2015-04-01,0,5.901713848114014,0,9287.254623947534,0.0
48,2015-04-02,1,5.91542911529541,1,9277.967369323587,-0.0009999999999998899
49,2015-04-06,0,6.0329999923706055,1,9462.369673843796,0.01987529134128141
50,2015-04-07,0,6.049428939819336,1,9488.137413659582,0.002723180419278659
51,2015-04-08,0,6.304999828338623,1,9888.983796570312,0.04224710977874868
52,2015-04-09,1,6.278571128845215,1,9847.532093450502,-0.004191705029811699
53,2015-04-10,1,6.493856906890869,1,10185.19389022909,0.03428897652470342
54,2015-04-13,0,6.7811431884765625,1,10635.783812659978,0.04423970002801325
55,2015-04-14,1,6.838714122772217,1,10726.080093691464,0.008489856753576053
56,2015-04-15,0,6.792285919189453,1,10653.260463963608,-0.006789025356120915
57,2015-04-16,0,8.02928638458252,1,12593.415561770375,0.18211843260283156
58,2015-04-17,2,8.164999961853027,0,12793.467242757215,0.015885418852859434
59,2015-04-20,0,8.105570793151855,0,12793.467242757215,0.0
60,2015-04-21,0,8.006285667419434,0,12793.467242757215,0.0
61,2015-04-22,0,7.966856956481934,0,12793.467242757215,0.0
62,2015-04-23,0,7.986570835113525,0,12793.467242757215,0.0
63,2015-04-24,0,7.977142810821533,0,12793.467242757215,0.0
64,2015-04-27,0,8.086856842041016,0,12793.467242757215,0.0
65,2015-04-28,1,8.043713569641113,1,12780.673775514459,-0.0009999999999998899
66,2015-04-29,0,8.040714263916016,1,12775.9081722028,-0.00037287574938249524
67,2015-04-30,0,7.949999809265137,1,12631.771780276515,-0.011281890099984482
68,2015-05-01,2,7.957571029663086,0,12631.157906927576,-4.8597564903496426e-05
69,2015-05-04,2,7.927143096923828,0,12631.157906927576,0.0
70,2015-05-05,0,8.079285621643066,0,12631.157906927576,0.0
71,2015-05-06,0,8.00771427154541,0,12631.157906927576,0.0
72,2015-05-07,0,8.074856758117676,0,12631.157906927576,0.0
73,2015-05-08,0,8.208571434020996,0,12631.157906927576,0.0
74,2015-05-11,0,8.427857398986816,0,12631.157906927576,0.0
75,2015-05-12,0,8.337714195251465,0,12631.157906927576,0.0
76,2015-05-13,0,8.287285804748535,0,12631.157906927576,0.0
77,2015-05-14,1,8.383570671081543,1,12618.526749020648,-0.0010000000000000009
78,2015-05-15,0,8.760713577270508,1,13186.183185241145,0.044985951808086844
79,2015-05-18,1,8.826713562011719,1,13285.523025694174,0.007533631154481135
80,2015-05-19,0,8.806857109069824,1,13255.636096554033,-0.0022495861910998283
81,2015-05-20,1,8.878999710083008,1,13364.221492484303,0.008191639777928028
82,2015-05-21,0,8.900285720825195,1,13396.260119755227,0.0023973433311428316
83,2015-05-22,1,8.883856773376465,1,13371.532098608444,-0.0018458898920838962
84,2015-05-26,0,8.799285888671875,1,13244.240278368377,-0.009519613706294283
85,2015-05-27,1,8.985713958740234,1,13524.842384704818,0.02118672724435111
86,2015-05-28,1,8.950714111328125,1,13472.162383770996,-0.003895054702700129
87,2015-05-29,0,8.915143013000488,1,13418.62256483828,-0.003974107304200225
88,2015-06-01,1,8.900285720825195,1,13396.260119755227,-0.0016665231453526497
89,2015-06-02,0,8.913000106811523,1,13415.397170775655,0.0014285368341129256
90,2015-06-03,0,8.880857467651367,1,13367.017695258666,-0.0036062648687270604
91,2015-06-04,2,8.934857368469238,0,13434.847320429426,0.005074402287566393
92,2015-06-05,1,9.04599952697754,1,13421.412473108994,-0.001000000000000223
93,2015-06-08,1,8.960429191589355,1,13294.45306267767,-0.009459467152633794
94,2015-06-09,0,9.244999885559082,1,13716.666290761123,0.031758600830955386
95,2015-06-10,0,9.587142944335938,1,14224.29876442649,0.037008443808776104
96,2015-06-11,1,9.509428977966309,1,14108.995729702961,-0.008106061088360317
97,2015-06-12,1,9.44185733795166,1,14008.740710960545,-0.00710575158310911
98,2015-06-15,0,9.343143463134766,1,13862.280430171755,-0.010454921238866044
99,2015-06-16,0,9.5272855758667,1,14135.489293523397,0.019708796451483712
100,2015-06-17,0,9.427143096923828,1,13986.909414432801,-0.010511123881553397
101,2015-06-18,0,9.474286079406738,1,14056.854743440252,0.005000770859020287
102,2015-06-19,0,9.3871431350708,1,13927.562076934379,-0.009197837557950783
103,2015-06-22,0,9.64142894744873,1,14304.84208494297,0.027088732825209183
104,2015-06-23,0,9.73128604888916,1,14438.161705231845,0.009319894585149369
105,2015-06-24,0,9.694429397583008,1,14383.478049978252,-0.003787438897694173
106,2015-06-25,1,9.489143371582031,1,14078.898282788603,-0.0211756687868766
107,2015-06-26,1,9.308856964111328,1,13811.410070928418,-0.018999228951542935
108,2015-06-29,2,9.223142623901367,0,13670.552765721626,-0.010198618713326169
109,2015-06-30,1,9.384857177734377,1,13656.882212955905,-0.0010000000000000009
110,2015-07-01,0,9.363571166992188,1,13625.906723826514,-0.0022681230347000314
111,2015-07-02,0,9.40442943572998,1,13685.3638421406,0.004363534810503111
112,2015-07-06,0,9.45714282989502,1,13762.072587039245,0.00560516664251498
113,2015-07-07,0,9.409143447875977,1,13692.223691726915,-0.005075463370111333
114,2015-07-08,0,9.350713729858398,1,13607.196529183037,-0.006209887046707663
115,2015-07-09,1,9.572713851928713,1,13930.252006848605,0.023741516261098994
116,2015-07-10,1,9.722857475280762,1,14148.741616260048,0.015684541048074818
117,2015-07-13,1,10.10871410369873,1,14710.241746266782,0.039685517287378014
118,2015-07-14,0,10.037142753601074,1,14606.09082744141,-0.007080163645291737
119,2015-07-15,0,9.812999725341797,1,14279.916984001931,-0.022331358013102043
120,2015-07-16,0,11.581000328063965,1,16852.718628879036,0.18016922981831507
121,2015-07-17,1,11.47700023651123,1,16701.37727401622,-0.008980233883658095
122,2015-07-20,2,11.05500030517578,0,16071.193981809374,-0.03773241463069499
123,2015-07-21,1,11.25100040435791,1,16055.122787827562,-0.001000000000000112
124,2015-07-22,0,11.149999618530272,1,15910.995158296795,-0.008977049346520105
125,2015-07-23,1,11.010000228881836,1,15711.216711025925,-0.012555999501181137
126,2015-07-24,2,10.934000015258787,0,15587.162011509105,-0.007895932046418808
127,2015-07-27,1,10.642999649047852,1,15571.574849497598,-0.0009999999999998899
128,2015-07-28,1,10.6899995803833,1,15640.339574936319,0.00441604180073929
129,2015-07-29,1,10.708000183105469,1,15666.675922006423,0.0016838730990411666
130,2015-07-30,0,11.156000137329102,1,16322.136323190301,0.04183787323149879
131,2015-07-31,2,11.430999755859377,0,16707.758667506707,0.023625727458759016
132,2015-08-03,1,11.255999565124512,1,16691.0509088392,-0.001000000000000112
133,2015-08-04,0,12.114999771118164,1,17964.826381731622,0.07631487554913985
134,2015-08-05,0,12.371000289916992,1,18344.4388423788,0.021130872772208154
135,2015-08-06,2,12.645000457763672,0,18731.99148743155,0.02112643773858247
136,2015-08-07,1,12.35200023651123,1,18713.25949594412,-0.0010000000000000009
137,2015-08-10,2,12.303000450134276,0,18620.3858774407,-0.004962984589806374
138,2015-08-11,0,12.27400016784668,0,18620.3858774407,0.0
139,2015-08-12,0,12.050999641418455,0,18620.3858774407,0.0
140,2015-08-13,2,12.373000144958496,0,18620.3858774407,0.0
141,2015-08-14,1,12.33899974822998,1,18601.76549156326,-0.001000000000000112
142,2015-08-17,2,12.53600025177002,0,18879.856544460665,0.014949712865885312
143,2015-08-18,0,12.404999732971191,0,18879.856544460665,0.0
144,2015-08-19,1,12.206000328063965,1,18860.976687916205,-0.0009999999999998899
145,2015-08-20,0,11.24899959564209,1,17382.198380576057,-0.0784041214730713
146,2015-08-21,2,10.395999908447266,0,16048.060621341281,-0.07675310855533812
147,2015-08-24,0,9.687999725341797,0,16048.060621341281,0.0
148,2015-08-25,1,10.152000427246094,1,16032.01256071994,-0.0010000000000000009
149,2015-08-26,1,11.012999534606934,1,17391.700102392166,0.08481078320781754
150,2015-08-27,1,11.765999794006348,1,18580.836145424382,0.06837376656860905
151,2015-08-28,2,11.762999534606934,0,18557.52204547299,-0.0012547390100705602
152,2015-08-31,1,11.503000259399414,1,18538.964523427516,-0.0010000000000000009
153,2015-09-01,2,10.57900047302246,0,17032.738097013065,-0.08124652401761956
154,2015-09-02,2,10.543999671936035,0,17032.738097013065,0.0
155,2015-09-03,0,10.105999946594238,0,17032.738097013065,0.0
156,2015-09-04,1,9.878999710083008,1,17015.705358916053,-0.0009999999999998899
157,2015-09-08,0,9.494999885559082,1,16354.299542160576,-0.03887031438334754
158,2015-09-09,0,9.91800022125244,1,17082.880298320986,0.044549798924873985
159,2015-09-10,1,9.947999954223633,1,17134.552191434108,0.003024776396647777
160,2015-09-11,2,9.75100040435791,0,16778.442610562393,-0.02078312738454524
161,2015-09-14,1,9.569000244140623,1,16761.664167951832,-0.0009999999999998899
162,2015-09-15,1,9.916000366210938,1,17369.491460666388,0.03626294421747911
163,2015-09-16,0,10.407999992370604,1,18231.309027187603,0.04961674142693351
164,2015-09-17,0,10.42099952697754,1,18254.079831645944,0.0012489944865936575
165,2015-09-18,0,10.26200008392334,1,17975.566382030574,-0.015257600064426557
166,2015-09-21,0,10.029999732971191,1,17569.179939320635,-0.022607712829354143
167,2015-09-22,0,9.847000122070312,1,17248.626282457197,-0.018245225899589324
168,2015-09-23,0,9.807000160217283,1,17178.559827215762,-0.004062146984580184
169,2015-09-24,1,10.37600040435791,1,18175.256531200885,0.05801980573517396
170,2015-09-25,2,10.223999977111816,0,17891.093995974832,-0.015634581813920523
171,2015-09-28,1,9.946999549865724,1,17873.202901978857,-0.0010000000000000009
172,2015-09-29,1,9.835000038146973,1,17671.957291396837,-0.011259627705549002
173,2015-09-30,0,10.326000213623049,1,18554.207835110756,0.04992375938705007
174,2015-10-01,0,10.597999572753906,1,19042.948154297726,0.026341211844254087
175,2015-10-02,0,10.611000061035156,1,19066.307999013785,0.0012266926594970418
176,2015-10-05,0,11.125,1,19989.885521528846,0.048440291773469424
177,2015-10-06,1,10.833000183105469,1,19465.207506964434,-0.02624717455231751
178,2015-10-07,0,10.8100004196167,1,19423.88052816329,-0.0021231203821669986
