episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,0.8272156806584258,0.0014680864126206965,0.71557,0.0,sharpe_ratio,1,0,0.11478087007821247,0.05132580685276067,0.25378213417699463,0.2022435780170587,-0.507069979625649,-0.13652758649429397,0.02715786771946349,0.3638302109765168,0.07464434480735405,-0.6078529632436885
2,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,1.2211941009225133,0.0004565165130644396,0.4311400000000001,0.0,sharpe_ratio,1,0,6.576925501030614,0.510610226654789,0.3803166986182798,1.3425921830671008,-0.44856043419210057,1.59146526196509,0.4274731544911903,0.3462918930556056,1.234430152895751,-0.3237956930690664
3,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,1.8148684987993722,0.00036442444336886156,0.14671,0.0,sharpe_ratio,0,1,6.998073361875382,0.47963742341320836,0.29230185282595245,1.6408976500699863,-0.3036681962539729,0.5580970170480626,0.18193640514072618,0.24179081058058408,0.752453762423243,-0.23288650292197222
4,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,2.743505495904789,0.00039439018046924794,0.050000000000000044,0.0,sharpe_ratio,0,2,31.047956217673622,0.8886882355197445,0.3256358419705241,2.7290860555828704,-0.2677298303102592,-0.4086398275502703,-0.0858711256796374,0.3668155721170962,-0.23409891020718526,-0.7279591984150099
5,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,2.6566918198956397,0.00036890106378717296,0.050000000000000044,0.0,sharpe_ratio,0,3,30.48263039376472,0.8642840068346773,0.2930619575871413,2.949151141794596,-0.2595360471517417,0.4139341618165715,0.1527064725487206,0.26352731575215466,0.5794711341891398,-0.3540567458468258
6,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,3.7824651982026505,0.0003472316932631812,0.050000000000000044,0.0,sharpe_ratio,0,4,22.656317355733897,0.7691168371947381,0.27927126843933875,2.7540134776227436,-0.19798039198311124,0.2726141956810637,0.14024210542428817,0.3168923649973435,0.4425543841217626,-0.4732294572296023
7,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,3.9957246377984763,0.0003490393055283602,0.050000000000000044,0.0,sharpe_ratio,0,5,108.77488998376175,1.3338879500668757,0.33952091893852243,3.9287356850857393,-0.25018467639194464,0.4535168363445705,0.23092949216861203,0.41226846582542476,0.5601434776396389,-0.637473543949497
8,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,3.832006321704445,0.00034903886930140774,0.050000000000000044,0.0,sharpe_ratio,0,6,52.17760096101015,1.081944151305677,0.36119090771347917,2.995491105119256,-0.2962757974819087,0.32297010669786497,0.1590553410253861,0.3507496651503545,0.45347253847613644,-0.46148669303643175
9,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,4.692604078566873,0.00036269971987238167,0.050000000000000044,0.0,sharpe_ratio,0,7,46.928299706470064,0.9933490656448904,0.2795449996159318,3.5534495949119367,-0.23571028014949114,0.2792560691624395,0.11344590070133598,0.24898509495898977,0.45563330094125354,-0.3744985114382451
10,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,4.453032175697039,0.00037293937421978046,0.050000000000000044,0.0,sharpe_ratio,0,8,135.30821970038926,1.3920565981532516,0.3022864391171001,4.605091125553253,-0.16604160754302721,-0.21549976573422103,-0.015603936236369464,0.3304233041616617,-0.047224079052048756,-0.5602626366112098
11,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,5.020682158368022,0.00038503069590514933,0.050000000000000044,0.0,sharpe_ratio,0,9,88.38006120939434,1.2273329141545344,0.3018310709345268,4.066290824050939,-0.1753921671141997,0.4849333623999248,0.17772531707274375,0.28578190185153735,0.6218914351163896,-0.23929407671920921
12,46,profit_decay_seed46,profit,decay,0.005,20,1e-06,4.76305131786876,0.0003791724505055691,0.050000000000000044,0.0,sharpe_ratio,0,10,164.77632199592608,1.4965807910610471,0.3336115450998084,4.485998200731653,-0.19199058559986504,0.06317920530936827,0.09755018091277057,0.37035111144393124,0.2633991849854055,-0.5358553509493982
