step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,28.2450008392334,0,10000.0,0.0
1,2015-01-26,0,28.274999618530273,0,10000.0,0.0
2,2015-01-27,1,27.28499984741211,1,9990.0,-0.0010000000000000009
3,2015-01-28,0,28.82749938964844,1,10554.763441932088,0.0565328770702791
4,2015-01-29,0,29.725000381469727,1,10883.370184040794,0.03113350137277493
5,2015-01-30,2,29.290000915527344,0,10713.37744811082,-0.015619494058857764
6,2015-02-02,2,29.657499313354492,0,10713.37744811082,0.0
7,2015-02-03,0,29.662500381469727,0,10713.37744811082,0.0
8,2015-02-04,0,29.88999938964844,0,10713.37744811082,0.0
9,2015-02-05,1,29.98500061035156,1,10702.664070662708,-0.001000000000000112
10,2015-02-06,2,29.732500076293945,0,10601.925524973423,-0.0094124738498913
11,2015-02-09,1,29.93000030517578,1,10591.32359944845,-0.0010000000000000009
12,2015-02-10,0,30.5049991607666,1,10794.79833672808,0.01921145505272137
13,2015-02-11,0,31.219999313354492,1,11047.8153067414,0.023438786174676318
14,2015-02-12,2,31.614999771118164,0,11176.406450666895,0.011639508839999202
15,2015-02-13,1,31.770000457763672,1,11165.230044216229,-0.0009999999999998899
16,2015-02-17,1,31.957500457763672,1,11231.124932573995,0.005901794060383159
17,2015-02-18,2,32.18000030517578,0,11298.010826320015,0.005955404658711139
18,2015-02-19,0,32.11249923706055,0,11298.010826320015,0.0
19,2015-02-20,1,32.375,1,11286.712815493695,-0.0010000000000000009
20,2015-02-23,0,33.25,1,11591.759107804335,0.027027027027026973
21,2015-02-24,2,33.04249954223633,0,11507.899979498501,-0.007234374655816889
22,2015-02-25,1,32.1974983215332,1,11496.392079519002,-0.0010000000000000009
23,2015-02-26,1,32.60499954223633,1,11641.89387469893,0.012656300704908974
24,2015-02-27,1,32.1150016784668,1,11466.935947726886,-0.015028304574419393
25,2015-03-02,0,32.272499084472656,1,11523.171743218476,0.004904169321948482
26,2015-03-03,2,32.34000015258789,0,11535.726303178275,0.0010895055840147716
27,2015-03-04,0,32.1349983215332,0,11535.726303178275,0.0
28,2015-03-05,0,31.602500915527344,0,11535.726303178275,0.0
29,2015-03-06,1,31.649999618530273,1,11524.190576875097,-0.0010000000000000009
30,2015-03-09,0,31.78499984741211,1,11573.345976063321,0.004265410126665481
31,2015-03-10,1,31.127500534057617,1,11333.941632221704,-0.020685836605659924
32,2015-03-11,1,30.559999465942383,1,11127.306860014278,-0.018231501353419333
33,2015-03-12,0,31.112499237060547,1,11328.479458206595,0.018079181308032988
34,2015-03-13,1,30.897499084472656,1,11250.195010739195,-0.006910410859304661
35,2015-03-16,2,31.237499237060547,0,11362.619645908962,0.009993127680226754
36,2015-03-17,2,31.760000228881836,0,11362.619645908962,0.0
37,2015-03-18,2,32.11750030517578,0,11362.619645908962,0.0
38,2015-03-19,1,31.875,1,11351.257026263054,-0.0009999999999998899
39,2015-03-20,1,31.475000381469727,1,11208.810015114997,-0.012549007640165422
40,2015-03-23,1,31.802499771118164,1,11325.438399361075,0.010405063881786303
41,2015-03-24,2,31.67250061035156,0,11267.864232077849,-0.005083614890040278
42,2015-03-25,2,30.844999313354492,0,11267.864232077849,0.0
43,2015-03-26,2,31.059999465942383,0,11267.864232077849,0.0
44,2015-03-27,1,30.8125,1,11256.596367845772,-0.0009999999999998899
