episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_none_seed42,profit,none,0.005,20,1e-06,-0.03975143859067087,0.00210434555229091,0.71557,0.0,sharpe_ratio,1,0,1.9321321621144452,0.2410650949147044,0.2670327954342115,0.9027546392671281,-0.22950583955502257,-0.11452771521442895,0.0019473075318683364,0.28200090637555025,0.00690532366330426,-0.5508752765452513
2,42,profit_none_seed42,profit,none,0.005,20,1e-06,0.22115244604026718,0.0004249730077879342,0.4311400000000001,0.0,sharpe_ratio,1,0,3.555091435764969,0.34353811047077354,0.28570245421497253,1.2024331797033967,-0.2709613255674277,-0.020439575264184162,0.040287564065055737,0.3034334930451811,0.13277230427247838,-0.5445774664563661
3,42,profit_none_seed42,profit,none,0.005,20,1e-06,2.03992528778336,0.00027862118371663105,0.14671,0.0,sharpe_ratio,0,1,19.23934490969696,0.7174313513524955,0.2660936260676725,2.6961613547633023,-0.1673348104836666,-0.03531766446299944,0.03346398245668136,0.29757432016928864,0.11245588140012841,-0.5442768405432752
4,42,profit_none_seed42,profit,none,0.005,20,1e-06,3.3547190251542256,0.00019931891767850765,0.050000000000000044,0.0,sharpe_ratio,0,2,46.774808036402995,0.9675836590509583,0.23154757500632386,4.178768268354926,-0.11726804666974355,-0.1478730716206066,-0.01761851457497743,0.25341032338080166,-0.06952563865562,-0.4860062046401158
5,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.120151490478191,0.00018346517446592267,0.050000000000000044,0.0,sharpe_ratio,0,3,91.37097002955383,1.2017851723216313,0.23772280011709965,5.055405588902895,-0.08148763662923564,-0.38277865334918204,-0.11443843558466771,0.24065771989975984,-0.4755236425922022,-0.5504211280665718
6,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.571151346168044,0.00017539719576152937,0.050000000000000044,0.0,sharpe_ratio,1,0,168.19103814281786,1.4575263505575364,0.2692258800832201,5.4137676144173135,-0.12155966317707367,0.35532849482856843,0.14841810013794565,0.2957267521085161,0.5018757994660018,-0.4467139465920392
7,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.947146388150577,0.00018461649013913698,0.050000000000000044,0.0,sharpe_ratio,0,1,264.5459195228041,1.633970521383608,0.24377376067097145,6.702815417402637,-0.09205257298247904,0.04984493120163713,0.054420702147016664,0.27554440267387453,0.19750247734637255,-0.49876534004870776
8,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.429870210259587,0.00017985227380449333,0.050000000000000044,0.0,sharpe_ratio,0,2,163.36955746925827,1.4270347211409589,0.23945810337389722,5.959433825936319,-0.07935887968424504,-0.06994992232342234,0.011327641319660353,0.26066863098362425,0.04345609702600532,-0.4911401688758885
9,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.295697972608832,0.0001848433603737214,0.050000000000000044,0.0,sharpe_ratio,0,3,379.6246415357856,1.8008385233734114,0.24699066245824466,7.291119856313817,-0.10249928574119327,-0.10111659767701608,8.748124317570216e-05,0.2591869313446101,0.00033752181378076014,-0.4904374843223125
10,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.6328747734192195,0.00019340960113192475,0.050000000000000044,0.0,sharpe_ratio,0,4,251.39355552997318,1.6077517580510365,0.23791442652160188,6.757689231195308,-0.07935887968424493,0.18543436174034023,0.09206923641335707,0.26596572780966443,0.3461695503837451,-0.3729699437157078
11,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.918104613848908,0.00020027005223855352,0.050000000000000044,0.0,sharpe_ratio,0,5,405.9856420945862,1.8333050846031362,0.24809864748447744,7.389419906925688,-0.07935887968424504,-0.454369996800142,-0.140640347641818,0.27498404582919705,-0.511449117776,-0.5584428905631234
12,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.710005756987941,0.0002029909387568532,0.050000000000000044,0.0,sharpe_ratio,0,6,353.6637929856864,1.7647204868132214,0.24275493203474913,7.26955564618811,-0.07935887968424504,-0.1456810345776266,-0.012670237541898888,0.2709365020104948,-0.04676460147628282,-0.5183839950525078
13,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.343168011934971,0.00021370076515477614,0.050000000000000044,0.0,sharpe_ratio,0,7,277.8167554889004,1.6663102914893604,0.25879690767397445,6.43867929669598,-0.15888480120104376,0.04543033069207225,0.053856059667696465,0.278659347834848,0.19326844796757053,-0.5206968283916035
