step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,77.83000183105469,0,10000.0,0.0
1,2015-01-26,1,77.5,1,9990.0,-0.0010000000000000009
2,2015-01-27,1,75.77999877929688,1,9768.286294260333,-0.022193564138104804
3,2015-01-28,2,76.23999786376953,0,9817.754078456757,0.005064121045007752
4,2015-01-29,2,78.0,0,9817.754078456757,0.0
5,2015-01-30,1,75.91000366210938,1,9807.936324378301,-0.0010000000000000009
6,2015-02-02,2,74.98999786376953,0,9679.378098302754,-0.013107571442527277
7,2015-02-03,1,75.4000015258789,1,9669.698720204451,-0.0010000000000000009
8,2015-02-04,0,75.62999725341797,1,9699.194600141187,0.0030503411523159496
9,2015-02-05,0,75.61000061035156,1,9696.630123881841,-0.00026440094926116764
10,2015-02-06,1,74.47000122070312,1,9550.430516242128,-0.015077362524083315
11,2015-02-09,2,74.44000244140625,0,9537.036729323334,-0.001402427555073582
12,2015-02-10,1,75.19000244140625,1,9527.49969259401,-0.0010000000000000009
13,2015-02-11,2,76.51000213623047,0,9685.065157152427,0.016537965850672798
14,2015-02-12,2,76.2300033569336,0,9685.065157152427,0.0
15,2015-02-13,1,75.73999786376953,1,9675.380091995274,-0.001000000000000112
16,2015-02-17,2,75.5999984741211,0,9647.838421985733,-0.0028465724082846755
17,2015-02-18,1,76.70999908447266,1,9638.190583563746,-0.001000000000000112
18,2015-02-19,1,79.41999816894531,1,9978.687102520396,0.0353278466538427
19,2015-02-20,2,79.9000015258789,0,10028.95789431504,0.0050378162255380055
20,2015-02-23,1,78.83999633789062,1,10018.928936420725,-0.001000000000000112
21,2015-02-24,2,78.44999694824219,0,9959.398731795813,-0.005941773317555854
22,2015-02-25,1,79.55999755859375,1,9949.439333064016,-0.001000000000000112
23,2015-02-26,2,80.41000366210938,0,10045.681790849612,0.009673153889763642
24,2015-02-27,2,78.97000122070312,0,10045.681790849612,0.0
25,2015-03-02,2,79.75,0,10045.681790849612,0.0
26,2015-03-03,0,79.5999984741211,0,10045.681790849612,0.0
27,2015-03-04,2,80.9000015258789,0,10045.681790849612,0.0
28,2015-03-05,2,81.20999908447266,0,10045.681790849612,0.0
29,2015-03-06,2,80.01000213623047,0,10045.681790849612,0.0
30,2015-03-09,1,79.44000244140625,1,10035.636109058763,-0.0009999999999998899
31,2015-03-10,1,77.55000305175781,1,9796.872947705075,-0.02379153237114351
32,2015-03-11,2,77.56999969482422,0,9789.599719621703,-0.0007424030220862798
33,2015-03-12,0,78.93000030517578,0,9789.599719621703,0.0
34,2015-03-13,2,78.05000305175781,0,9789.599719621703,0.0
35,2015-03-16,1,78.06999969482422,1,9779.810119902082,-0.0009999999999998899
36,2015-03-17,2,79.36000061035156,0,9931.466816681314,0.015507120784544526
37,2015-03-18,2,80.91000366210938,0,9931.466816681314,0.0
38,2015-03-19,2,82.75,0,9931.466816681314,0.0
39,2015-03-20,2,83.80000305175781,0,9931.466816681314,0.0
40,2015-03-23,2,84.43000030517578,0,9931.466816681314,0.0
41,2015-03-24,0,85.30999755859375,0,9931.466816681314,0.0
42,2015-03-25,0,82.91999816894531,0,9931.466816681314,0.0
43,2015-03-26,2,83.01000213623047,0,9931.466816681314,0.0
44,2015-03-27,2,83.30000305175781,0,9931.466816681314,0.0
45,2015-03-30,2,83.19999694824219,0,9931.466816681314,0.0
46,2015-03-31,1,82.22000122070312,1,9921.535349864633,-0.0009999999999998899
47,2015-04-01,2,81.66999816894531,0,9845.310995676384,-0.00768271759363226
48,2015-04-02,1,81.55999755859375,1,9835.465684680707,-0.001000000000000112
49,2015-04-06,0,82.44000244140625,1,9941.587044248376,0.010789662937155997
50,2015-04-07,2,82.31999969482422,0,9917.188583142406,-0.002454181711368242
51,2015-04-08,0,82.27999877929688,0,9917.188583142406,0.0
52,2015-04-09,2,82.16999816894531,0,9917.188583142406,0.0
53,2015-04-10,0,82.04000091552734,0,9917.188583142406,0.0
54,2015-04-13,0,83.01000213623047,0,9917.188583142406,0.0
