episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,42,profit_none_seed42,profit,none,0.005,20,1e-06,0.24472973782743224,0.001594812973881068,0.71557,0.0,sharpe_ratio,1,0,0.4879911229608884,0.10739852568748787,0.26326117641018,0.4079542876468545,-0.4259955766814808,1.1525924879463814,0.36796251610244535,0.3847755768251329,0.9563042413933447,-0.4840757092465755
2,42,profit_none_seed42,profit,none,0.005,20,1e-06,1.4328185645090663,0.00028950682850262184,0.4311400000000001,0.0,sharpe_ratio,0,1,1.961701824589697,0.23814184416409456,0.2474909807157187,0.9622243342986181,-0.2940247145485141,0.7338545015957025,0.2626082623235144,0.34997104815414637,0.7503713913153393,-0.5077187033277903
3,42,profit_none_seed42,profit,none,0.005,20,1e-06,1.1779876448517246,0.00023040685127263748,0.14671,0.0,sharpe_ratio,0,2,10.853437436738963,0.5590860806719,0.23687854300176409,2.360222557885863,-0.178727250852021,0.6971884774297004,0.2670112195141856,0.37972869743238546,0.7031631302022667,-0.4422580232031502
4,42,profit_none_seed42,profit,none,0.005,20,1e-06,2.7591164608428866,0.0002050078244284623,0.050000000000000044,0.0,sharpe_ratio,0,3,16.136353754296433,0.6566475416334765,0.2310209492554508,2.842372277275124,-0.1381178580543846,0.11647089790988208,0.12885215475315004,0.41220570625735986,0.3125918753601665,-0.7109771150855076
5,42,profit_none_seed42,profit,none,0.005,20,1e-06,3.15946571221873,0.00019770737418635986,0.050000000000000044,0.0,sharpe_ratio,0,4,53.132391284590845,1.0140696391714377,0.23836899706026332,4.254201056671247,-0.11292492230359741,0.33202757571964914,0.1918732597363182,0.4089105341038807,0.46923041529562115,-0.5257120682173305
6,42,profit_none_seed42,profit,none,0.005,20,1e-06,3.6317643157691175,0.00019657579374864496,0.050000000000000044,0.0,sharpe_ratio,0,5,64.02757915321385,1.0703765954355755,0.2243108462150286,4.771845024424242,-0.12454956131685913,0.3696497763664348,0.2019317796843969,0.41013030830540004,0.4923600514157323,-0.5693700250741522
7,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.381336980759695,0.00018611604548421793,0.050000000000000044,0.0,sharpe_ratio,0,6,65.29419793896385,1.0850365336616168,0.24035637448435568,4.514282327603671,-0.12407948438875638,0.5246170703565338,0.2419088856714553,0.40816515676828585,0.5926740233948637,-0.46813389458850263
8,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.147471938999058,0.00016951059801105855,0.050000000000000044,0.0,sharpe_ratio,0,7,116.87114061406778,1.2915071660677402,0.22990621938082148,5.617539053732429,-0.09661703472248406,1.0602348740997463,0.3571716845059112,0.3954358474240669,0.9032354725364059,-0.3339293090686929
9,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.6209046770389435,0.00016332518144938555,0.050000000000000044,0.0,sharpe_ratio,0,8,131.78303526537394,1.3340274167796213,0.22228685933591086,6.001377772690078,-0.08316357541511687,0.7476455720342132,0.2883595048615908,0.3936755054349645,0.7324801794386164,-0.37123063767449604
10,42,profit_none_seed42,profit,none,0.005,20,1e-06,4.603212313715245,0.00015995779456791598,0.050000000000000044,0.0,sharpe_ratio,0,9,114.2935121517756,1.2849531734671946,0.2335725293117075,5.501302645707952,-0.17038576002466488,-0.06469214001113355,0.05732337873584403,0.3854781553865083,0.14870720411735774,-0.5186711074616142
11,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.1177175874354015,0.00014982510651816391,0.050000000000000044,0.0,sharpe_ratio,0,10,168.0916046547412,1.4270944784714628,0.21519292930203254,6.631697812284874,-0.08300349107375005,-0.03659187240990558,0.06085109171839975,0.36853859602575306,0.16511456974820501,-0.5942573773807721
