step,date,action,price,position,portfolio_value,reward
0,2020-10-20,1,9.270000457763672,1,9990.0,-0.0010000000000000009
1,2020-10-21,0,9.199999809265137,1,9914.562411653962,-0.007551310144748524
2,2020-10-22,0,9.68000030517578,1,10431.844473935987,0.05217396802848229
3,2020-10-23,1,9.489999771118164,1,10227.08662695596,-0.01962815372598936
4,2020-10-26,2,9.949999809265137,0,10712.091984127033,0.0474236089770399
5,2020-10-27,2,10.949999809265137,0,10712.091984127033,0.0
6,2020-10-28,1,10.850000381469728,1,10701.379892142906,-0.0010000000000000009
7,2020-10-29,1,10.75,1,10602.74928994547,-0.009216624696208764
8,2020-10-30,0,10.130000114440918,1,9991.242001910323,-0.057674407958984375
9,2020-11-02,2,10.539999961853027,0,10385.230152041946,0.03943335073420218
10,2020-11-03,1,10.5,1,10374.844921889904,-0.0010000000000000009
11,2020-11-04,0,10.720000267028809,1,10592.222888861166,0.02095240638369611
12,2020-11-05,0,11.880000114440918,1,11738.396081843699,0.1082089382945155
13,2020-11-06,0,13.829999923706056,1,13665.152807447575,0.16414139650510484
14,2020-11-09,2,14.670000076293944,0,14480.64541141591,0.05967680094465444
15,2020-11-10,2,14.0,0,14480.64541141591,0.0
16,2020-11-11,2,15.960000038146973,0,14480.64541141591,0.0
17,2020-11-12,2,14.579999923706056,0,14480.64541141591,0.0
18,2020-11-13,2,15.800000190734863,0,14480.64541141591,0.0
19,2020-11-16,2,15.93000030517578,0,14480.64541141591,0.0
20,2020-11-17,2,17.850000381469727,0,14480.64541141591,0.0
21,2020-11-18,0,17.899999618530273,0,14480.64541141591,0.0
22,2020-11-19,1,18.979999542236328,1,14466.164766004495,-0.0009999999999998899
23,2020-11-20,2,18.149999618530273,0,13819.722361736562,-0.04468650915597705
24,2020-11-23,0,21.040000915527344,0,13819.722361736562,0.0
25,2020-11-24,2,23.81999969482422,0,13819.722361736562,0.0
26,2020-11-25,1,29.049999237060547,1,13805.902639374825,-0.0010000000000000009
27,2020-11-27,2,27.65999984741211,0,13132.165358094411,-0.04880066873417577
28,2020-11-30,2,27.11000061035156,0,13132.165358094411,0.0
29,2020-12-01,2,25.670000076293945,0,13132.165358094411,0.0
30,2020-12-02,1,22.510000228881836,1,13119.033192736317,-0.0010000000000000009
31,2020-12-03,1,24.030000686645508,1,14004.90330626881,0.06752556385199004
32,2020-12-04,2,23.850000381469727,0,13886.097491174964,-0.008483158540671054
33,2020-12-07,1,28.940000534057617,1,13872.211393683789,-0.0010000000000000009
34,2020-12-08,2,28.59000015258789,0,13690.736421031334,-0.013081906518169317
35,2020-12-09,0,26.6299991607666,0,13690.736421031334,0.0
36,2020-12-10,1,27.040000915527344,1,13677.045684610302,-0.0010000000000000009
37,2020-12-11,0,27.200000762939453,1,13757.974869095999,0.005917153919925866
38,2020-12-14,2,27.239999771118164,0,13764.42847615859,0.00046908117829813634
39,2020-12-15,1,26.43000030517578,1,13750.66404768243,-0.0010000000000000009
40,2020-12-16,1,25.920000076293945,1,13485.327622006267,-0.019296262693646704
41,2020-12-17,0,27.229999542236328,1,14166.877465018926,0.05054010270395359
42,2020-12-18,0,25.969999313354492,1,13511.34058846565,-0.04627250275665462
43,2020-12-21,2,28.510000228881836,0,14817.987105163293,0.0967073924413615
44,2020-12-22,1,28.040000915527344,1,14803.16911805813,-0.0010000000000000009
45,2020-12-23,1,28.690000534057617,1,15146.323681738926,0.0231811553961232
46,2020-12-24,1,27.75,1,14650.068816461287,-0.03276404728336457
47,2020-12-28,0,25.6299991607666,1,13530.855908867596,-0.07639642663904134
48,2020-12-29,1,24.65999984741211,1,13018.763775802245,-0.03784624834632566
49,2020-12-30,0,25.100000381469727,1,13251.053437179678,0.017842681945668737
50,2020-12-31,1,23.549999237060547,1,12432.760700920644,-0.06175303270327748
