episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,profit_none_seed42,profit,none,0.005,20,1e-06,0.09139788932000381,0.001829494028382984,0.71557,-0.2173403606329113,0.008301246186556144,0.5119665896736465,0.016214429523316705,-0.6341183916332593,sharpe_ratio
2,42,profit_none_seed42,profit,none,0.005,20,1e-06,1.7051494425085123,0.0005678895978881053,0.4311400000000001,-0.7237502542377581,-0.37681063671776593,0.5876812756838948,-0.6411819676903351,-0.7971010019876335,sharpe_ratio
3,42,profit_none_seed42,profit,none,0.005,20,1e-06,2.588808478476833,0.0007993895101685105,0.14671,-0.2991884775790402,-0.026644670831766137,0.5518944181628187,-0.04827856552791857,-0.6338112446061848,sharpe_ratio
4,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.36265241840171,0.0008397666661343466,0.050000000000000044,-0.24029825408373517,-0.009397244960404061,0.5090779385007647,-0.01845934433552348,-0.5535573412361522,sharpe_ratio
5,42,profit_none_seed42,profit,none,0.005,20,1e-06,5.568980956213728,0.0008675442950723228,0.050000000000000044,-0.5782814628235373,-0.2556628407354431,0.5257755983630904,-0.4862584751582315,-0.7283901634280282,sharpe_ratio
6,42,profit_none_seed42,profit,none,0.005,20,1e-06,6.1747314975840375,0.0008980169962183619,0.050000000000000044,-0.4505555961521729,-0.14222111299161544,0.5436887818151451,-0.2615855205192937,-0.624655433636599,sharpe_ratio
7,42,profit_none_seed42,profit,none,0.005,20,1e-06,6.484381886849954,0.0009104084213515936,0.050000000000000044,-0.6457828095449839,-0.32007028499226586,0.5197639771298987,-0.6157992840513346,-0.774549566510627,sharpe_ratio
8,42,profit_none_seed42,profit,none,0.005,20,1e-06,6.815915470856531,0.000970387025035603,0.050000000000000044,-0.4116427829364565,-0.12084407431728406,0.5247686626916506,-0.2302806606199558,-0.6614768004162123,sharpe_ratio
9,42,profit_none_seed42,profit,none,0.005,20,1e-06,7.270711121545169,0.0009347115514892338,0.050000000000000044,-0.5479082549895044,-0.22126261125424684,0.5452234469120912,-0.40582005874358884,-0.7055726113056877,sharpe_ratio
10,42,profit_none_seed42,profit,none,0.005,20,1e-06,6.613216964479866,0.0008982701737251078,0.050000000000000044,-0.2518412979357325,-0.035868096797249116,0.4689820429203568,-0.07648074662709482,-0.5247197113601076,sharpe_ratio
11,42,profit_none_seed42,profit,none,0.005,20,1e-06,7.658033234441998,0.0010218341412691807,0.050000000000000044,-0.5729491580901283,-0.23218733986901197,0.571176291879248,-0.4065073133639422,-0.7541228807136178,sharpe_ratio
12,42,profit_none_seed42,profit,none,0.005,20,1e-06,7.9378391350514255,0.0010555705715086855,0.050000000000000044,-0.28557706079569023,-0.08198049822305042,0.4105622865750654,-0.1996785893486139,-0.5832329432115293,sharpe_ratio
