step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,13.419333457946776,0,10000.0,0.0
1,2015-01-26,2,13.770000457763672,0,10000.0,0.0
2,2015-01-27,2,13.732000350952148,0,10000.0,0.0
3,2015-01-28,2,13.291333198547363,0,10000.0,0.0
4,2015-01-29,2,13.68000030517578,0,10000.0,0.0
5,2015-01-30,2,13.57333278656006,0,10000.0,0.0
6,2015-02-02,2,14.062666893005373,0,10000.0,0.0
7,2015-02-03,2,14.557332992553713,0,10000.0,0.0
8,2015-02-04,1,14.56999969482422,1,9990.0,-0.0010000000000000009
9,2015-02-05,1,14.732666969299316,1,10101.533706660508,0.011164535201252157
10,2015-02-06,2,14.490667343139648,0,9925.669733718676,-0.01740963085891356
11,2015-02-09,1,14.498666763305664,1,9915.744063984957,-0.0010000000000000009
12,2015-02-10,2,14.419333457946776,0,9851.625949746776,-0.006466293787378508
13,2015-02-11,2,14.186667442321776,0,9851.625949746776,0.0
14,2015-02-12,0,13.525333404541016,0,9851.625949746776,0.0
15,2015-02-13,2,13.584667205810549,0,9851.625949746776,0.0
16,2015-02-17,2,13.623332977294922,0,9851.625949746776,0.0
17,2015-02-18,2,13.630666732788086,0,9851.625949746776,0.0
18,2015-02-19,2,14.11400032043457,0,9851.625949746776,0.0
19,2015-02-20,2,14.473999977111816,0,9851.625949746776,0.0
20,2015-02-23,0,13.822667121887209,0,9851.625949746776,0.0
21,2015-02-24,2,13.607333183288574,0,9851.625949746776,0.0
22,2015-02-25,2,13.583999633789062,0,9851.625949746776,0.0
23,2015-02-26,2,13.812666893005373,0,9851.625949746776,0.0
24,2015-02-27,2,13.555999755859377,0,9851.625949746776,0.0
25,2015-03-02,2,13.155332565307615,0,9851.625949746776,0.0
26,2015-03-03,2,13.303999900817873,0,9851.625949746776,0.0
27,2015-03-04,2,13.496000289916992,0,9851.625949746776,0.0
28,2015-03-05,2,13.375332832336426,0,9851.625949746776,0.0
29,2015-03-06,2,12.925333023071287,0,9851.625949746776,0.0
30,2015-03-09,2,12.725333213806152,0,9851.625949746776,0.0
31,2015-03-10,2,12.687999725341797,0,9851.625949746776,0.0
32,2015-03-11,2,12.916000366210938,0,9851.625949746776,0.0
33,2015-03-12,2,12.73799991607666,0,9851.625949746776,0.0
34,2015-03-13,2,12.57866668701172,0,9851.625949746776,0.0
35,2015-03-16,2,13.046667098999023,0,9851.625949746776,0.0
36,2015-03-17,2,12.982000350952148,0,9851.625949746776,0.0
37,2015-03-18,2,13.380666732788086,0,9851.625949746776,0.0
38,2015-03-19,2,13.043333053588867,0,9851.625949746776,0.0
39,2015-03-20,2,13.20533275604248,0,9851.625949746776,0.0
40,2015-03-23,2,13.308667182922363,0,9851.625949746776,0.0
41,2015-03-24,2,13.447999954223633,0,9851.625949746776,0.0
42,2015-03-25,0,12.953332901000977,0,9851.625949746776,0.0
43,2015-03-26,2,12.694000244140623,0,9851.625949746776,0.0
44,2015-03-27,0,12.333333015441896,0,9851.625949746776,0.0
45,2015-03-30,2,12.704667091369627,0,9851.625949746776,0.0
46,2015-03-31,2,12.584667205810549,0,9851.625949746776,0.0
47,2015-04-01,2,12.505999565124512,0,9851.625949746776,0.0
48,2015-04-02,2,12.733332633972168,0,9851.625949746776,0.0
49,2015-04-06,2,13.539999961853027,0,9851.625949746776,0.0
50,2015-04-07,2,13.550000190734863,0,9851.625949746776,0.0
51,2015-04-08,2,13.844667434692385,0,9851.625949746776,0.0
52,2015-04-09,2,14.005999565124512,0,9851.625949746776,0.0
53,2015-04-10,2,14.0600004196167,0,9851.625949746776,0.0
54,2015-04-13,2,13.985333442687988,0,9851.625949746776,0.0
55,2015-04-14,2,13.830666542053224,0,9851.625949746776,0.0
56,2015-04-15,2,13.85533332824707,0,9851.625949746776,0.0
57,2015-04-16,1,13.779999732971191,1,9841.77432379703,-0.0010000000000000009
58,2015-04-17,1,13.78600025177002,1,9846.059937221424,0.00043545130008015853
59,2015-04-20,2,13.684666633605955,0,9763.913055942436,-0.008343122203476105
60,2015-04-21,1,13.96066665649414,1,9754.149142886494,-0.0009999999999998899
61,2015-04-22,1,14.629332542419434,1,10221.337919651794,0.0478964151482153
62,2015-04-23,1,14.57333278656006,1,10182.21156673057,-0.0038279091473925053
63,2015-04-24,1,14.562000274658203,1,10174.293677565669,-0.0007776197845634769
64,2015-04-27,1,15.436667442321776,1,10785.413061309991,0.060065042656655576
65,2015-04-28,1,15.36533260345459,1,10735.57227114467,-0.004621129472000662
66,2015-04-29,1,15.49666690826416,1,10827.333963348241,0.00854744301337429
67,2015-04-30,2,15.06999969482422,0,10518.697508879557,-0.028505304769710915
68,2015-05-01,2,15.0686674118042,0,10518.697508879557,0.0
69,2015-05-04,1,15.36733341217041,1,10508.178811370677,-0.0010000000000000009
70,2015-05-05,1,15.529999732971191,1,10619.410001565891,0.010585201507501418
71,2015-05-06,2,15.362000465393066,0,10494.027611531,-0.011806907353271279
72,2015-05-07,2,15.786666870117188,0,10494.027611531,0.0
73,2015-05-08,1,15.77400016784668,1,10483.53358391947,-0.0009999999999998899
74,2015-05-11,1,15.965999603271484,1,10611.13802844537,0.012171892568897835
75,2015-05-12,1,16.31599998474121,1,10843.751234637784,0.021921607801995036
76,2015-05-13,1,16.211999893188477,1,10774.631896427923,-0.006374116918975048
77,2015-05-14,1,16.273332595825195,1,10815.394128014255,0.0037831669775971744
78,2015-05-15,1,16.589332580566406,1,11025.410383707293,0.019418271142708443
79,2015-05-18,1,16.583332061767578,1,11021.42238829211,-0.0003617094762363715
80,2015-05-19,2,16.47599983215332,0,10939.138394533016,-0.007465823453649989
81,2015-05-20,1,16.290000915527344,1,10928.199256138483,-0.0010000000000000009
82,2015-05-21,1,16.374666213989258,1,10984.997242613137,0.005197378373454242
83,2015-05-22,1,16.51533317565918,1,11079.364124104177,0.008590523912465953
84,2015-05-26,2,16.497333526611328,0,11056.221712924204,-0.0020887851433301075
85,2015-05-27,1,16.495332717895508,1,11045.165491211279,-0.0010000000000000009
86,2015-05-28,1,16.76333236694336,1,11224.616280470516,0.016246998689338543
87,2015-05-29,1,16.719999313354492,1,11195.60075490859,-0.0025849904207780883
88,2015-06-01,2,16.6299991607666,0,11124.201911820135,-0.006377401682276962
89,2015-06-02,2,16.55666732788086,0,11124.201911820135,0.0
90,2015-06-03,2,16.599332809448242,0,11124.201911820135,0.0
91,2015-06-04,2,16.39466667175293,0,11124.201911820135,0.0
