episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
1,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,-0.280664428560208,0.1911133779996397,0.71557,0.0,0.0,0.0,0.0,0.0,cumulative_return
2,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.2819631461470884,0.022952499157085308,0.4311400000000001,0.0,0.0,0.0,0.0,0.0,cumulative_return
3,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.6802097784885988,0.01481359657777365,0.14671,-0.5116663628654221,-0.15946429547371554,0.6100448747411686,-0.26139764806871535,-0.7338829715606723,cumulative_return
4,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.380794260404072,0.015106029751285681,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723,cumulative_return
5,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.2667595375294636,0.02816708645028726,0.050000000000000044,-0.4936212796469517,-0.14382189348975782,0.6104177135766986,-0.23561225418417792,-0.7338829715606723,cumulative_return
6,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,3.0699166544446457,0.019329266882400137,0.050000000000000044,-0.5476517554786421,-0.19848297976517892,0.5947899512450917,-0.33370264468942107,-0.7338829715606723,cumulative_return
7,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,3.20672462948513,0.011935259469983254,0.050000000000000044,-0.4519278310695921,-0.13266359390538152,0.563156435310349,-0.23557147816711382,-0.7338829715606723,cumulative_return
8,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.037404936880655,0.015159887853641568,0.050000000000000044,-0.6026257120668604,-0.2969989647910676,0.4698306355561688,-0.632140482792253,-0.6525730016249615,cumulative_return
9,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.9755123701903594,0.009413603114669692,0.050000000000000044,-0.34584331780230004,-0.11488909797370883,0.42630813258743794,-0.2694977862054848,-0.4284069467630438,cumulative_return
10,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.5128499912311757,0.004542746010258838,0.050000000000000044,-0.47173823079885335,-0.13549521809093068,0.5912289266179345,-0.22917555618602328,-0.7338829715606722,cumulative_return
11,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.5468824528575869,0.006391994348579723,0.050000000000000044,0.0806883814538708,0.041393505302339983,0.05812844857166433,0.7121040784583734,-0.011167509478013704,cumulative_return
12,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,3.486211167545102,0.0051485863560904,0.050000000000000044,-0.05704484839421953,-0.028527296563609306,0.03254700935120406,-0.876495172130276,-0.0674557883076865,cumulative_return
13,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.8184819132490924,0.005166420081881377,0.050000000000000044,-0.21865345255544022,-0.026266930456467663,0.44105503983000605,-0.05955476773735907,-0.49158564631266255,cumulative_return
14,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.5393390284695578,0.005877947236091501,0.050000000000000044,0.06439096174056114,0.06807280176832653,0.26267926089508054,0.25914798730728955,-0.33546998583240706,cumulative_return
15,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.4819101883426646,0.0021192401852247193,0.050000000000000044,0.13775760271925308,0.13972103708936534,0.36497614589398963,0.38282238075347663,-0.48053770090129133,cumulative_return
16,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.251082460839816,0.003017758440797739,0.050000000000000044,0.4366504747742217,0.2930461971060292,0.3889631118245083,0.7534035701520335,-0.2791251203804329,cumulative_return
17,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.7708229178281887,0.002567022937029891,0.050000000000000044,-0.09518280986106398,-0.007110442933411121,0.2948565101080783,-0.024114926039126017,-0.3462559201314711,cumulative_return
18,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.9545504378719287,0.003097664379959885,0.050000000000000044,0.185625815949497,0.14918785372931254,0.3292644861444173,0.4530942752929567,-0.3148076866785795,cumulative_return
19,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.4111000738996147,0.00736357312824928,0.050000000000000044,-0.5570144090566058,-0.20842436565663747,0.5918306094400914,-0.35216895228487743,-0.725710162359073,cumulative_return
20,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,3.3594799662341237,0.002422381120201377,0.050000000000000044,-0.37033617971777,-0.10165326482023418,0.49929803140659224,-0.20359236052636287,-0.6417065199328873,cumulative_return
21,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.2069923368289306,0.0018595839313554291,0.050000000000000044,0.13704202337710658,0.11044404834643817,0.28494615040759547,0.3875962113839956,-0.37258822322525154,cumulative_return
22,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.0329401638820044,0.002231773582465061,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,cumulative_return
23,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.7992605130228303,0.0022761093357076484,0.050000000000000044,-0.4911912590562397,-0.15888540959562536,0.5764545803821006,-0.2756252010181076,-0.7825232724867285,cumulative_return
24,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,3.3308534323504446,0.0013361258384870873,0.050000000000000044,0.4830692179119642,0.29324285873088907,0.34687016402607246,0.8453966040989547,-0.30309814502932475,cumulative_return
25,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,1.9852665251849757,0.0012100605866192102,0.050000000000000044,-0.31201339357572166,-0.1548005267629402,0.19402225492588893,-0.79784933342863,-0.4418229534948821,cumulative_return
26,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,4.237569343368101,0.0012875968068881668,0.050000000000000044,-0.6297814210370862,-0.28916757488943357,0.5591060598275315,-0.5171962811110179,-0.8138166183383886,cumulative_return
27,42,baseline_none_seed42,price_only,profit,none,0.01,20,1e-06,2.7220927497520115,0.0009999530730791125,0.050000000000000044,-0.27394547586012163,-0.13912215439857034,0.14465193885534902,-0.9617717916501042,-0.33565834917728576,cumulative_return
