step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,74.05999755859375,0,10000.0,0.0
1,2015-01-26,0,72.73999786376953,0,10000.0,0.0
2,2015-01-27,0,71.45999908447266,0,10000.0,0.0
3,2015-01-28,2,70.25,0,10000.0,0.0
4,2015-01-29,2,71.63999938964844,0,10000.0,0.0
5,2015-01-30,1,70.12999725341797,1,9990.0,-0.0010000000000000009
6,2015-02-02,1,71.11000061035156,1,10129.601225141776,0.013974096610788411
7,2015-02-03,0,71.91999816894531,1,10244.98516820841,0.011390768550715524
8,2015-02-04,2,72.27999877929688,0,10285.970895032558,0.0040005647788863286
9,2015-02-05,1,73.0999984741211,1,10275.684924137526,-0.0010000000000000009
10,2015-02-06,0,72.54000091552734,1,10196.965928371299,-0.007660705475828311
11,2015-02-09,0,72.33000183105469,1,10167.446304958963,-0.002894941850320687
12,2015-02-10,1,72.76000213623047,1,10227.891554555426,0.005944978491500219
13,2015-02-11,0,73.01000213623047,1,10263.034116589046,0.0034359537199011303
14,2015-02-12,1,74.58999633789062,1,10485.134293567458,0.02164079106191541
15,2015-02-13,1,76.51000213623047,1,10755.029985059737,0.025740794913600373
16,2015-02-17,0,77.12999725341797,1,10842.182852524951,0.008103451834749142
17,2015-02-18,1,77.7300033569336,1,10926.525859378347,0.007779153700009145
18,2015-02-19,0,77.7300033569336,1,10926.525859378347,0.0
19,2015-02-20,0,78.55000305175781,1,11041.793419949987,0.010549333068452293
20,2015-02-23,0,78.0999984741211,1,10978.53616480994,-0.0057288931910060015
21,2015-02-24,1,77.68000030517578,1,10919.49691798527,-0.005377697530742909
22,2015-02-25,1,78.06999969482422,1,10974.319228960449,0.005020589445369206
23,2015-02-26,1,78.95999908447266,1,11099.426664002867,0.01140001784459388
24,2015-02-27,0,79.0999984741211,1,11119.106412944424,0.0017730419360650895
25,2015-03-02,2,79.79000091552734,0,11204.884127118954,0.0077144431385844925
26,2015-03-03,0,78.98999786376953,0,11204.884127118954,0.0
27,2015-03-04,1,77.62999725341797,1,11193.679242991835,-0.0010000000000000009
28,2015-03-05,1,78.62000274658203,1,11336.430812376833,0.012752872963942785
29,2015-03-06,1,77.55000305175781,1,11182.14466272179,-0.013609764149629666
30,2015-03-09,0,77.93000030517578,1,11236.937494339356,0.0049000288647873536
31,2015-03-10,0,76.01000213623047,1,10960.087766003713,-0.024637471595361893
32,2015-03-11,1,76.01000213623047,1,10960.087766003713,0.0
33,2015-03-12,2,77.4000015258789,0,11149.35502151098,0.017268771888336643
34,2015-03-13,0,77.62000274658203,0,11149.35502151098,0.0
35,2015-03-16,0,78.33000183105469,0,11149.35502151098,0.0
36,2015-03-17,2,79.66000366210938,0,11149.35502151098,0.0
37,2015-03-18,1,76.88999938964844,1,11138.20566648947,-0.0010000000000000009
38,2015-03-19,1,77.13999938964844,1,11174.420407531557,0.0032513981269930436
39,2015-03-20,1,77.36000061035156,1,11206.289556478385,0.0028519733269878333
40,2015-03-23,2,76.3499984741211,0,11048.921711523002,-0.014042814453639418
41,2015-03-24,2,75.44999694824219,0,11048.921711523002,0.0
42,2015-03-25,1,73.12999725341797,1,11037.87278981148,-0.0010000000000000009
43,2015-03-26,1,72.97000122070312,1,11013.723795933343,-0.0021878304214945077
44,2015-03-27,1,73.30999755859375,1,11065.041127638331,0.004659398824213845
45,2015-03-30,1,73.5999984741211,1,11108.812402556163,0.003955816739668494
46,2015-03-31,1,73.94000244140625,1,11160.130885803464,0.004619619216496451
47,2015-04-01,1,75.06999969482422,1,11330.686969551723,0.015282623966822673
48,2015-04-02,2,75.68000030517578,0,11411.334626384376,0.007117631706653915
49,2015-04-06,0,76.2300033569336,0,11411.334626384376,0.0
50,2015-04-07,2,75.6500015258789,0,11411.334626384376,0.0
51,2015-04-08,1,75.44000244140625,1,11399.923291757992,-0.0010000000000000009
52,2015-04-09,2,76.33000183105469,0,11522.878863149632,0.01078564901226442
53,2015-04-10,0,76.52999877929688,0,11522.878863149632,0.0
54,2015-04-13,1,76.0199966430664,1,11511.355984286482,-0.0010000000000000009
55,2015-04-14,1,75.94999694824219,1,11500.756254721951,-0.0009208063393225663
56,2015-04-15,1,76.02999877929688,1,11512.870561448237,0.0010533487066393121
57,2015-04-16,2,75.1500015258789,0,11368.237036657421,-0.012562768253048251
58,2015-04-17,1,73.1500015258789,1,11356.868799620765,-0.0010000000000000009
59,2015-04-20,1,73.91999816894531,1,11476.41426331238,0.0105262696788051
60,2015-04-21,0,74.62000274658203,1,11585.093142075515,0.009469759131173872
61,2015-04-22,2,75.5,0,11709.994981667285,0.010781254674435248
62,2015-04-23,0,76.5199966430664,0,11709.994981667285,0.0
63,2015-04-24,0,76.54000091552734,0,11709.994981667285,0.0
64,2015-04-27,1,76.55000305175781,1,11698.284986685618,-0.0010000000000000009
65,2015-04-28,0,76.0199966430664,1,11617.290006065568,-0.0069236628029009095
66,2015-04-29,1,76.6500015258789,1,11713.566640531031,0.008287357414267449
67,2015-04-30,0,76.05999755859375,1,11623.402900786825,-0.007697377110761794
68,2015-05-01,2,76.43000030517578,0,11668.26635621933,0.003859752244282033
69,2015-05-04,1,75.8499984741211,1,11656.59808986311,-0.001000000000000112
70,2015-05-05,2,75.0,0,11514.444686257639,-0.01219510207949015
71,2015-05-06,1,74.4800033569336,1,11502.930241571381,-0.0010000000000000009
72,2015-05-07,1,74.7300033569336,1,11541.541042199457,0.003356605648927369
73,2015-05-08,1,76.30999755859375,1,11785.56040665471,0.02114270213683267
74,2015-05-11,1,76.79000091552734,1,11859.693662316186,0.006290176546854376
75,2015-05-12,0,76.56999969482422,1,11825.715969234181,-0.002864972237012098
76,2015-05-13,0,77.08000183105469,1,11904.482332441727,0.006660599951196611
77,2015-05-14,2,79.43000030517578,0,12255.156199061312,0.029457296573404124
78,2015-05-15,0,78.91999816894531,0,12255.156199061312,0.0
79,2015-05-18,1,79.41000366210938,1,12242.90104286225,-0.001000000000000112
80,2015-05-19,1,79.62000274658203,1,12275.277291341346,0.0026444915601089303
81,2015-05-20,0,79.61000061035156,1,12273.735229152206,-0.0001256234097642972
