step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,58.619998931884766,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,59.779998779296875,1,10187.686773913327,0.019788465857189852
2,2015-01-27,2,57.790000915527344,0,9838.703472293435,-0.03425540158080842
3,2015-01-28,1,56.349998474121094,1,9828.864768821142,-0.0009999999999998899
4,2015-01-29,2,58.099998474121094,0,10123.97491554108,0.03002484556060603
5,2015-01-30,0,56.45000076293945,0,10123.97491554108,0.0
6,2015-02-02,1,57.279998779296875,1,10113.850940625538,-0.0010000000000000009
7,2015-02-03,0,58.61000061035156,1,10348.687542523441,0.02321930620458379
8,2015-02-04,0,58.9900016784668,1,10415.783810716539,0.0064835533894898045
9,2015-02-05,0,59.2599983215332,1,10463.456748227667,0.0045769899200556186
10,2015-02-06,0,59.16999816894531,1,10447.565544538666,-0.0015187336337671997
11,2015-02-09,0,57.97999954223633,1,10237.449116700442,-0.020111520424780593
12,2015-02-10,1,58.790000915527344,1,10380.46994990144,0.01397035839403471
13,2015-02-11,1,58.79999923706055,1,10382.235339842055,0.00017006840240707533
14,2015-02-12,0,61.2599983215332,1,10816.594009266892,0.04183671966652258
15,2015-02-13,1,62.849998474121094,1,11097.33815873531,0.02595494933320941
16,2015-02-17,0,62.06999969482422,1,10959.614842467892,-0.012410482072136242
17,2015-02-18,0,63.0,1,11123.823722735602,0.01498308860557862
18,2015-02-19,2,62.810001373291016,0,11079.185649491572,-0.004012835366385414
19,2015-02-20,0,63.7400016784668,0,11079.185649491572,0.0
20,2015-02-23,0,62.58000183105469,0,11079.185649491572,0.0
21,2015-02-24,0,61.93000030517578,0,11079.185649491572,0.0
22,2015-02-25,2,62.869998931884766,0,11079.185649491572,0.0
23,2015-02-26,0,70.23999786376953,0,11079.185649491572,0.0
24,2015-02-27,0,69.37999725341797,0,11079.185649491572,0.0
25,2015-03-02,0,68.45999908447266,0,11079.185649491572,0.0
26,2015-03-03,2,66.94999694824219,0,11079.185649491572,0.0
27,2015-03-04,1,64.87999725341797,1,11068.106463842081,-0.0009999999999998899
28,2015-03-05,2,65.58999633789062,0,11178.038472098558,0.00993232298727964
29,2015-03-06,1,64.55999755859375,1,11166.86043362646,-0.0010000000000000009
30,2015-03-09,1,65.4800033569336,1,11325.992663129162,0.014250400141432085
31,2015-03-10,1,63.7599983215332,1,11028.485585963943,-0.026267638167710383
32,2015-03-11,0,63.68000030517578,1,11014.648431109352,-0.0012546740662382483
33,2015-03-12,2,64.94999694824219,0,11223.083812492356,0.018923471110916967
34,2015-03-13,1,64.5999984741211,1,11211.860728679863,-0.0010000000000000009
35,2015-03-16,1,66.43000030517578,1,11529.47258855063,0.028328202388236745
36,2015-03-17,0,67.55000305175781,1,11723.858271321926,0.01685989374434449
37,2015-03-18,0,68.55000305175781,1,11897.416491035683,0.014803848331935487
38,2015-03-19,2,68.87999725341797,0,11942.73500749449,0.0038091056569258264
39,2015-03-20,1,67.69000244140625,1,11930.792272486995,-0.0010000000000000009
40,2015-03-23,2,67.66000366210938,0,11913.579292563172,-0.0014427356985768913
41,2015-03-24,2,67.37000274658203,0,11913.579292563172,0.0
42,2015-03-25,2,65.77999877929688,0,11913.579292563172,0.0
43,2015-03-26,1,65.98999786376953,1,11901.66571327061,-0.0010000000000000009
44,2015-03-27,2,66.55000305175781,0,11990.66311963087,0.0074777269421226755
45,2015-03-30,1,66.8499984741211,1,11978.67245651124,-0.0009999999999998899
46,2015-03-31,2,66.80999755859375,0,11959.533294628794,-0.00159776986572846
47,2015-04-01,1,66.08000183105469,1,11947.573761334166,-0.0010000000000000009
48,2015-04-02,2,66.68000030517578,0,12044.00023874996,0.00807079992490678
49,2015-04-06,0,67.94000244140625,0,12044.00023874996,0.0
50,2015-04-07,1,68.19999694824219,1,12031.956238511211,-0.0010000000000000009
51,2015-04-08,2,68.20999908447266,0,12021.6871110928,-0.0008534877633232796
52,2015-04-09,0,67.73999786376953,0,12021.6871110928,0.0
53,2015-04-10,0,67.63999938964844,0,12021.6871110928,0.0
54,2015-04-13,1,67.08000183105469,1,12009.665423981707,-0.0010000000000000009
55,2015-04-14,0,66.91000366210938,1,11979.22980865682,-0.0025342600522501035
56,2015-04-15,1,67.20999908447266,1,12032.939477007503,0.0044835660729931615
57,2015-04-16,2,67.91000366210938,0,12146.106503580762,0.009404769864379103
58,2015-04-17,1,65.80999755859375,1,12133.960397077182,-0.0009999999999998899
59,2015-04-20,0,66.9000015258789,1,12334.933888375663,0.016562893294665093
60,2015-04-21,0,67.37999725341797,1,12423.434866415355,0.007174823865338631
61,2015-04-22,1,67.70999908447266,1,12484.280168003694,0.004897623100421633
62,2015-04-23,2,68.47000122070312,0,12611.783949356122,0.01021314642386928
63,2015-04-24,0,67.83000183105469,0,12611.783949356122,0.0
64,2015-04-27,1,67.83999633789062,1,12599.172165406766,-0.0010000000000000009
65,2015-04-28,0,66.88999938964844,1,12422.739739793129,-0.014003493507141918
66,2015-04-29,0,74.6500015258789,1,13863.91910589054,0.11601139493254897
67,2015-04-30,1,72.81999969482422,1,13524.05310681781,-0.024514424563277126
68,2015-05-01,1,73.36000061035156,1,13624.341504097782,0.007415557783443827
69,2015-05-04,1,71.5999984741211,1,13297.475774102655,-0.023991304819892756
70,2015-05-05,0,72.75,1,13511.052837740204,0.016061474167412992
71,2015-05-06,0,73.79000091552734,1,13704.200704695368,0.01429554523061638
72,2015-05-07,2,74.5199966430664,0,13825.93496220729,0.008882988518273294
73,2015-05-08,0,72.4000015258789,0,13825.93496220729,0.0
74,2015-05-11,1,71.19999694824219,1,13812.109027245082,-0.0010000000000000009
75,2015-05-12,0,71.7699966430664,1,13922.683441119447,0.008005614034485964
76,2015-05-13,2,71.79000091552734,0,13912.637511932258,-0.0007215512174555405
77,2015-05-14,0,72.87999725341797,0,13912.637511932258,0.0
78,2015-05-15,0,72.4000015258789,0,13912.637511932258,0.0
79,2015-05-18,2,72.80000305175781,0,13912.637511932258,0.0
80,2015-05-19,0,71.4800033569336,0,13912.637511932258,0.0
81,2015-05-20,1,70.16000366210938,1,13898.724874420326,-0.0010000000000000009
82,2015-05-21,1,72.91000366210938,1,14443.500977750233,0.03919612110119042
83,2015-05-22,2,75.01000213623047,0,14844.65200649783,0.027773808397670185
84,2015-05-26,0,73.56999969482422,0,14844.65200649783,0.0
85,2015-05-27,2,73.94999694824219,0,14844.65200649783,0.0
86,2015-05-28,1,72.68000030517578,1,14829.807354491333,-0.0010000000000000009
87,2015-05-29,0,72.75,1,14844.090265674018,0.0009631218289805066
88,2015-06-01,2,73.0999984741211,0,14900.589316765858,0.0038061646137041993
89,2015-06-02,1,72.9000015258789,1,14885.688727449093,-0.0009999999999998899
90,2015-06-03,2,73.47000122070312,0,14987.076742650901,0.0068111067655773905
91,2015-06-04,1,72.20999908447266,1,14972.08966590825,-0.0010000000000000009
92,2015-06-05,2,73.55000305175781,0,15234.677431462242,0.01753848470143149
93,2015-06-08,1,71.83999633789062,1,15219.442754030779,-0.0010000000000000009
94,2015-06-09,0,71.76000213623047,1,15202.495827041877,-0.0011135050910069388
95,2015-06-10,2,73.02999877929688,0,15456.075535419503,0.016680136686935576
96,2015-06-11,1,72.4000015258789,1,15440.619459884083,-0.0010000000000000009
97,2015-06-12,0,71.7699966430664,1,15306.259439879115,-0.00870172471733055
98,2015-06-15,1,72.55999755859375,1,15474.74152900252,0.011007397972390365
99,2015-06-16,1,73.4000015258789,1,15653.887679973344,0.01157668130579581
100,2015-06-17,0,74.41999816894531,1,15871.42054853714,0.0138964117419913
101,2015-06-18,2,75.70999908447266,0,16130.39021095747,0.01631672865250855
102,2015-06-19,0,75.0,0,16130.39021095747,0.0
103,2015-06-22,1,74.77999877929688,1,16114.259820746513,-0.0010000000000000009
104,2015-06-23,0,74.19999694824219,1,15989.275863074778,-0.007756109127074029
105,2015-06-24,2,73.5,0,15822.595855078041,-0.01042448760182213
106,2015-06-25,0,73.61000061035156,0,15822.595855078041,0.0
107,2015-06-26,0,72.33999633789062,0,15822.595855078041,0.0
108,2015-06-29,2,70.0,0,15822.595855078041,0.0
109,2015-06-30,2,69.62999725341797,0,15822.595855078041,0.0
110,2015-07-01,2,70.54000091552734,0,15822.595855078041,0.0
