episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,profit_none_seed43,profit,none,0.005,20,1e-06,0.2038174585238206,0.0032923412207730087,0.71557,0.0,sharpe_ratio,1,0,1.2513878074581846,0.17206805488934895,0.21109719161332813,0.8151129514054843,-0.24915473288626344,0.33284147094640915,0.1254731453835234,0.2385300758543517,0.5260265186019487,-0.3075696999843073
2,43,profit_none_seed43,profit,none,0.005,20,1e-06,0.08244969843499561,0.00031572398073085055,0.4311400000000001,0.0,sharpe_ratio,0,1,5.181467455588149,0.37977094226979236,0.17553955111498323,2.1634494326639353,-0.15399220752290177,0.27439692542723226,0.10450112530127176,0.21754028240273177,0.48037597518518016,-0.38824019408032917
3,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.6452720736971493,0.00018125747878890817,0.14671,0.0,sharpe_ratio,0,2,8.282852484001996,0.48107948079338825,0.18862459391897748,2.5504599946284467,-0.12963987092178897,0.19406377700383226,0.08592763392052016,0.23230704366843993,0.36988819866848427,-0.34530585568707217
4,43,profit_none_seed43,profit,none,0.005,20,1e-06,2.5083242245911612,0.0001308613566518007,0.050000000000000044,0.0,sharpe_ratio,0,3,22.961330759101994,0.739142769704163,0.1936886568332425,3.8161386515294637,-0.09193752175155379,0.23444924326184924,0.10042900172014924,0.24444447051559054,0.4108458723092447,-0.34389292301643337
5,43,profit_none_seed43,profit,none,0.005,20,1e-06,3.213835400847926,0.00010318494144593908,0.050000000000000044,0.0,sharpe_ratio,0,4,49.27216019681753,0.9711707605432376,0.19626008314913734,4.948386574386848,-0.1378728076116349,0.11390612509424147,0.06049478049698043,0.2235005373287655,0.27066950809157847,-0.3824372293010231
6,43,profit_none_seed43,profit,none,0.005,20,1e-06,3.7547358469245,9.918048627983776e-05,0.050000000000000044,0.0,sharpe_ratio,0,5,105.02163019436071,1.2336376731362382,0.19289521485113426,6.3953772730354705,-0.07841275364496814,0.060702650369115485,0.04602140504719765,0.23052422828147742,0.19963803974220032,-0.34599521109439924
7,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.0151637056113465,9.505081694526038e-05,0.050000000000000044,0.0,sharpe_ratio,0,6,67.27499157243749,1.0774994943279061,0.20129368130884945,5.35287291345561,-0.10843597319975462,0.03217062036798124,0.03792239213180437,0.23368565429366936,0.16227950426151472,-0.4078528549286211
8,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.2515953712707,9.403036404783282e-05,0.050000000000000044,0.0,sharpe_ratio,0,7,130.3121226241545,1.3146421319420063,0.1907914297368054,6.890467426946484,-0.07620078725353285,-0.14386938765314794,-0.02608250784134647,0.20951681854986037,-0.12448885021199102,-0.4270370926497531
9,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.552832044414462,9.167275675645943e-05,0.050000000000000044,0.0,sharpe_ratio,0,8,115.82586040391472,1.2699540182489817,0.19181157711967148,6.620841334601278,-0.07620078725353274,-0.1341332833621972,-0.02004441112365596,0.2219446882576296,-0.09031264177130811,-0.4476150927119237
10,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.800076399140499,9.63136676998749e-05,0.050000000000000044,0.0,sharpe_ratio,0,9,118.93793957866853,1.2769991580680786,0.18477711347544182,6.911024498917723,-0.0641062396654154,-0.019366698625653767,0.016833073233586182,0.21331068885072704,0.0789134071259121,-0.39270797411586866
11,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.4666747548774515,0.00010044186835786304,0.050000000000000044,0.0,sharpe_ratio,0,10,95.52108148043844,1.1908568385732248,0.17353556767059308,6.862321393581522,-0.07620078725353263,-0.1087485390185744,-0.015564868217443517,0.20072420346954312,-0.0775435545310571,-0.4182475429217538
