episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,profit_none_seed43,profit,none,0.005,20,1e-06,-0.30001983718415604,0.002441234475939452,0.71557,0.0,sharpe_ratio,1,0,-0.25087310441865884,-0.041259063925161765,0.11416285777204366,-0.36140531807241894,-0.3172290042726983,-0.06611328295616781,-0.015520604118248738,0.10657852338991455,-0.14562600066682327,-0.20557752268014917
2,43,profit_none_seed43,profit,none,0.005,20,1e-06,-0.5671985511451991,0.00017436845865171857,0.4311400000000001,0.0,sharpe_ratio,1,0,0.11412312718236217,0.026939579423913562,0.12960830048883307,0.20785381277516754,-0.21519562399740544,0.20931784973655732,0.06808250418363304,0.1142340032286538,0.5959915809599817,-0.0973234439100733
3,43,profit_none_seed43,profit,none,0.005,20,1e-06,0.32640993423142584,0.00010050725960040512,0.14671,0.0,sharpe_ratio,0,1,1.7008216822969686,0.18984529999180966,0.11410854153171367,1.6637255848112547,-0.07572884804122304,-0.04520211119898754,-0.009196290615196667,0.1019219478551184,-0.09022875650168258,-0.18920935939637906
4,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.085335193631091,7.859665458263632e-05,0.050000000000000044,0.0,sharpe_ratio,0,2,3.3379247406144126,0.29292849325060155,0.14006147790229323,2.0914279760416936,-0.11982345176505493,0.0093659430241686,0.009474812314138825,0.1141336081610504,0.08301509491200182,-0.1722302700789492
5,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.6046575785645016,6.710669826931207e-05,0.050000000000000044,0.0,sharpe_ratio,0,3,4.262292397090413,0.3362487361713222,0.1431587113503807,2.3487829207148563,-0.07524717239207512,-0.11016755781565424,-0.027703105443340204,0.1290911100112842,-0.21460118702921216,-0.21564942412137267
6,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.9164328407902267,5.9248662777440236e-05,0.050000000000000044,0.0,sharpe_ratio,0,4,6.628386005594963,0.41857496336269984,0.1222958954007969,3.422641144176719,-0.09344300212247769,-0.2118598122951496,-0.06534133889917781,0.11620479643500238,-0.5622946806307227,-0.28970565608342225
7,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.9462231009374666,6.751283533377672e-05,0.050000000000000044,0.0,sharpe_ratio,0,5,8.108327183040318,0.46213594464019714,0.1255928744440288,3.679635064377404,-0.06848382723839308,-0.16355062424239952,-0.04855122977033044,0.10939842321553031,-0.4438019154506247,-0.28039929386729434
8,43,profit_none_seed43,profit,none,0.005,20,1e-06,2.1941417211489616,6.866318665584596e-05,0.050000000000000044,0.0,sharpe_ratio,0,6,9.070753569778349,0.4862274752002962,0.12091021277050304,4.02139293330989,-0.06713175611735045,0.08667382048403738,0.031703740107256406,0.10265062271117038,0.3088509282253621,-0.1449251917890375
9,43,profit_none_seed43,profit,none,0.005,20,1e-06,2.0543433836847553,7.524773835870761e-05,0.050000000000000044,0.0,sharpe_ratio,0,7,8.42858375306594,0.4720962853786195,0.13297353635190673,3.550302551398228,-0.06817474602213269,-0.12137409983594594,-0.03308858614048271,0.11602324894042165,-0.28518927406931877,-0.22295894982537023
10,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.9944543929038532,8.583183190156418e-05,0.050000000000000044,0.0,sharpe_ratio,0,8,9.722845422402726,0.5011939787435293,0.11630925792049791,4.309149483922559,-0.05911032595522392,0.014345813655975093,0.009417197017816514,0.09920407536446968,0.09492752170934823,-0.14134233790468143
11,43,profit_none_seed43,profit,none,0.005,20,1e-06,2.5101853081731815,9.11583132183636e-05,0.050000000000000044,0.0,sharpe_ratio,0,9,10.979312377744524,0.5319258704269332,0.1293647218928909,4.111830974037479,-0.06631369754396332,0.01056926385809498,0.009476248404722165,0.11081991719675519,0.08551033644879524,-0.13869846469205271
12,43,profit_none_seed43,profit,none,0.005,20,1e-06,2.559623097775325,8.951155945719963e-05,0.050000000000000044,0.0,sharpe_ratio,0,10,9.416477602264186,0.4938858707676983,0.11633876331424556,4.245239133526379,-0.043790528377605,0.05872842647682397,0.023047501108860002,0.09969396456718,0.2311825114882372,-0.11596241620428849
