episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,43,profit_none_seed43,profit,none,0.005,20,1e-06,0.7459493507621716,0.003054219940984181,0.71557,0.0,sharpe_ratio,1,0,0.3243918062468687,0.10843609200312354,0.3334612320247493,0.3251835043753316,-0.5112700879996118,-0.40475474665251454,-0.09364800207819635,0.3547560946881775,-0.26397855732545145,-0.6397402085617112
2,43,profit_none_seed43,profit,none,0.005,20,1e-06,1.665170241165828,0.00041252832199367847,0.4311400000000001,0.0,sharpe_ratio,1,0,30.595489529823677,0.890278347687363,0.335555837703995,2.6531451629004508,-0.24087225493955966,-0.2421966718656431,-0.023854725740079408,0.35194925789036435,-0.06777887779354372,-0.6274916747760517
3,43,profit_none_seed43,profit,none,0.005,20,1e-06,3.376926517952245,0.00034761089744220837,0.14671,0.0,sharpe_ratio,1,0,68.40593464617302,1.1592196548551206,0.3362385659785468,3.447610631699764,-0.2740293479234426,0.030024369556459263,0.07120955655962802,0.34295532006236906,0.2076350836216158,-0.5177371210042256
4,43,profit_none_seed43,profit,none,0.005,20,1e-06,4.748413513072878,0.0002801699903541672,0.050000000000000044,0.0,sharpe_ratio,0,1,144.76443877309543,1.4384776228129876,0.3269466342962921,4.399732163963437,-0.2322447638343883,-0.3905157518182508,-0.09054416062287018,0.3422671993248715,-0.2645423248312145,-0.6348603070540989
5,43,profit_none_seed43,profit,none,0.005,20,1e-06,5.306990086438587,0.00025305628114608264,0.050000000000000044,0.0,sharpe_ratio,0,2,435.76013213734944,1.9141156596607973,0.30647034446118115,6.245679865130466,-0.19426887613902233,-0.5326837954037102,-0.14239615596432686,0.3915738504356924,-0.3636508306310213,-0.7526426167110587
6,43,profit_none_seed43,profit,none,0.005,20,1e-06,6.124964840617372,0.0002405278233926897,0.050000000000000044,0.0,sharpe_ratio,0,3,718.0330633103698,2.1750368198778,0.3121624975606126,6.967642932365612,-0.16619766334173425,-0.1480962450023111,0.011813847049941373,0.34935134515709726,0.03381652085704404,-0.6274655691025286
7,43,profit_none_seed43,profit,none,0.005,20,1e-06,6.884507108827913,0.00024730817985387475,0.050000000000000044,0.0,sharpe_ratio,0,4,1824.2859347464735,2.6975334217780724,0.29746971561203256,9.068262348078024,-0.16287043130746826,-0.00790893592144204,0.056349332676870256,0.33630435401346953,0.16755457371989116,-0.5274751422520747
8,43,profit_none_seed43,profit,none,0.005,20,1e-06,7.215178314993125,0.00024229806731649442,0.050000000000000044,0.0,sharpe_ratio,0,5,2270.280898344816,2.8363361456214204,0.2978134442854267,9.523868717300264,-0.09968052781083236,-0.282803629742961,-0.01894951793305588,0.3942168784340956,-0.048068763591064316,-0.6543812243551461
9,43,profit_none_seed43,profit,none,0.005,20,1e-06,7.678958934089078,0.0002299471670751517,0.050000000000000044,0.0,sharpe_ratio,0,6,4271.601489044758,3.2651042158166783,0.29749712527083394,10.975246274545373,-0.08448748494309122,0.004630041960303588,0.06072862402075674,0.33743540526751054,0.17997110875965303,-0.51240986215298
10,43,profit_none_seed43,profit,none,0.005,20,1e-06,7.730304550149149,0.00022709988124083644,0.050000000000000044,0.0,sharpe_ratio,0,7,3825.491790985028,3.2007282142377234,0.30834139622338325,10.380468705923938,-0.10564997443292001,-0.22713499069945287,-0.01943956679734893,0.34640037921208156,-0.05611878035920732,-0.5242496850929463
11,43,profit_none_seed43,profit,none,0.005,20,1e-06,7.775302711557056,0.000220111422258037,0.050000000000000044,0.0,sharpe_ratio,0,8,2656.954370998448,2.923191926347703,0.2837473879930402,10.30209281228486,-0.11762466692212126,-0.2502236727184781,-0.039715420763676956,0.3106472837191343,-0.12784731380295886,-0.5502536816607351
12,43,profit_none_seed43,profit,none,0.005,20,1e-06,7.9791095497102775,0.00022956588573416485,0.050000000000000044,0.0,sharpe_ratio,1,0,3048.014260081555,3.0601933917460373,0.32201655818112235,9.503217502327294,-0.1292898670898095,0.8492652806608705,0.3086700844486807,0.3930504346311575,0.7853192803064569,-0.46388160501349796
13,43,profit_none_seed43,profit,none,0.005,20,1e-06,8.085593737948637,0.0002263871414344117,0.050000000000000044,0.0,sharpe_ratio,0,1,2890.5156817735556,3.0184194351101974,0.3170873467699852,9.519204931566556,-0.13126201684223082,0.19234469332291093,0.1327039723293002,0.3729334007187151,0.35583825978996214,-0.5722280629374176
14,43,profit_none_seed43,profit,none,0.005,20,1e-06,8.403390671360246,0.00022101614857325796,0.050000000000000044,0.0,sharpe_ratio,0,2,4415.69693989067,3.299629590288001,0.30572280315887146,10.79288020453391,-0.08133825619821977,-0.09127987652528735,0.031360076520432933,0.3465351306783057,0.09049609619390944,-0.5424486238102204
15,43,profit_none_seed43,profit,none,0.005,20,1e-06,8.309345927545262,0.0002178767907283357,0.050000000000000044,0.0,sharpe_ratio,0,3,6126.657415933134,3.522715709078464,0.29025566129093566,12.136596038853815,-0.08444103266878722,-0.10490617597016061,0.021277459028421264,0.3311142814263378,0.06426016702379782,-0.53383401570214
