episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_none_seed44,profit,none,0.005,20,1e-06,0.6115851034941583,0.0010117188189491199,0.71557,0.0,sharpe_ratio,1,0,7.402693127095777,0.48314811064864394,0.2690126430461197,1.7960052181109298,-0.2199765867281679,-0.25541379464860126,-0.036701116975899395,0.3299348454815174,-0.11123746848362323,-0.6424689002993504
2,44,profit_none_seed44,profit,none,0.005,20,1e-06,1.697439076783091,0.00024208052268699084,0.4311400000000001,0.0,sharpe_ratio,1,0,7.552287070767523,0.48156901702260235,0.2533959250386182,1.900460778716982,-0.261241918915468,0.11021612109419943,0.07777647598715065,0.2911153593485991,0.2671672018995618,-0.4570204606120555
3,44,profit_none_seed44,profit,none,0.005,20,1e-06,2.5942502431194425,0.00018018288416156523,0.14671,0.0,sharpe_ratio,1,0,35.58866400628077,0.8906631693128615,0.2502928983708797,3.558483581076648,-0.24125283940823938,0.3409492328508281,0.1422719583545342,0.28854875774629457,0.4930603738021506,-0.4277210075222634
4,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.3362992298653085,0.00015044508484448352,0.050000000000000044,0.0,sharpe_ratio,0,1,81.8785979481864,1.173333713176525,0.2568005960735047,4.5690459100051255,-0.14967568610138693,0.08671160894975527,0.07350916728884305,0.30024232925074223,0.24483279047390125,-0.4518018405509
5,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.591564519777758,0.00014149087577085859,0.050000000000000044,0.0,sharpe_ratio,0,2,198.71265149234162,1.501886274304598,0.22665242845787703,6.626385097760914,-0.10495201016554212,-0.0008638902754383171,0.03590404171748496,0.26725739020892975,0.13434255901929149,-0.3739580262117296
6,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.828729121143456,0.00014197117725209753,0.050000000000000044,0.0,sharpe_ratio,0,3,225.4325227238231,1.5706572744801726,0.25143799797296756,6.246698140863482,-0.1277160925504579,0.2534896779771374,0.12550818223341498,0.3083020933234666,0.4070948104193811,-0.4721199227312023
7,44,profit_none_seed44,profit,none,0.005,20,1e-06,5.721392379047036,0.00013623250834706054,0.050000000000000044,0.0,sharpe_ratio,0,4,342.57077564411844,1.7479668411854639,0.23712691478889436,7.371440069304728,-0.08824618901867975,0.018775349030231592,0.04552016709273632,0.2782080691722383,0.1636191474538247,-0.39495018099884294
8,44,profit_none_seed44,profit,none,0.005,20,1e-06,5.51761856933394,0.00013758166084128557,0.050000000000000044,0.0,sharpe_ratio,0,5,480.8217461637726,1.9116668934369927,0.2410023042122773,7.932151933921665,-0.10105170577277955,-0.14285463000895515,-0.004243764389239124,0.2953217413691885,-0.014369969408835013,-0.44257447099296054
9,44,profit_none_seed44,profit,none,0.005,20,1e-06,5.97086031046799,0.00014094389581984548,0.050000000000000044,0.0,sharpe_ratio,0,6,477.19639287576655,1.9095361898796508,0.24320848771912335,7.851437290646436,-0.08824618901867964,-0.06220797153397506,0.02201661864868032,0.28939331888673253,0.0760785312300093,-0.41034445760487614
10,44,profit_none_seed44,profit,none,0.005,20,1e-06,6.322253938385602,0.00014251737836458296,0.050000000000000044,0.0,sharpe_ratio,0,7,630.3516668738052,2.0351971449894624,0.22409369183436129,9.081902878791327,-0.05453639672655708,-0.3977335371386792,-0.1208145393883917,0.24228865474226668,-0.4986388632885331,-0.4632030659615075
11,44,profit_none_seed44,profit,none,0.005,20,1e-06,5.897425717074725,0.00015030343201067876,0.050000000000000044,0.0,sharpe_ratio,0,8,704.9102597864395,2.092618865339057,0.22384298542231165,9.348601482378525,-0.054710264713275225,-0.026950456266572997,0.025932761103830693,0.26165433001640487,0.0991107661096409,-0.2546024314558798
12,44,profit_none_seed44,profit,none,0.005,20,1e-06,6.167378405511274,0.00015693114580226964,0.050000000000000044,0.0,sharpe_ratio,0,9,513.9741957981778,1.936612949061221,0.22981587339198736,8.42680238086958,-0.06578055931966353,0.18179122067588604,0.0890477561416394,0.2574753383059754,0.34584965196091094,-0.3702496951233848
13,44,profit_none_seed44,profit,none,0.005,20,1e-06,6.167817157689902,0.00016647847913965085,0.050000000000000044,0.0,sharpe_ratio,0,10,686.6030671654419,2.0870677596233533,0.235191066707156,8.873924459988222,-0.07105270627013394,-0.10896958815668678,0.0027747703040832405,0.27872013415968316,0.009955399571146628,-0.3494356517390593
