step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,36.45000076293945,0,10000.0,0.0
1,2015-01-26,0,35.810001373291016,0,10000.0,0.0
2,2015-01-27,0,34.189998626708984,0,10000.0,0.0
3,2015-01-28,1,33.779998779296875,1,9990.0,-0.0010000000000000009
4,2015-01-29,2,34.209999084472656,0,10107.0498904895,0.011716705754704737
5,2015-01-30,1,33.040000915527344,1,10096.94284059901,-0.001000000000000112
6,2015-02-02,0,33.650001525878906,1,10283.357523552475,0.01846248769517711
7,2015-02-03,1,33.70000076293945,1,10298.637167156741,0.0014858613608708104
8,2015-02-04,0,33.599998474121094,1,10268.076714186127,-0.002967426900723713
9,2015-02-05,2,33.939998626708984,0,10361.607942839291,0.00910893356727116
10,2015-02-06,2,33.29999923706055,0,10361.607942839291,0.0
11,2015-02-09,0,32.93000030517578,0,10361.607942839291,0.0
12,2015-02-10,0,33.70000076293945,0,10361.607942839291,0.0
13,2015-02-11,0,33.54999923706055,0,10361.607942839291,0.0
14,2015-02-12,2,34.130001068115234,0,10361.607942839291,0.0
15,2015-02-13,1,34.36000061035156,1,10351.246334896452,-0.0010000000000000009
16,2015-02-17,0,34.7400016784668,1,10465.724931919513,0.011059402251603956
17,2015-02-18,2,34.27000045776367,0,10313.808880199103,-0.014515578491565262
18,2015-02-19,0,34.209999084472656,0,10313.808880199103,0.0
19,2015-02-20,2,34.40999984741211,0,10313.808880199103,0.0
20,2015-02-23,0,33.7599983215332,0,10313.808880199103,0.0
21,2015-02-24,0,34.40999984741211,0,10313.808880199103,0.0
22,2015-02-25,0,33.95000076293945,0,10313.808880199103,0.0
23,2015-02-26,2,33.650001525878906,0,10313.808880199103,0.0
24,2015-02-27,0,33.25,0,10313.808880199103,0.0
25,2015-03-02,0,34.060001373291016,0,10313.808880199103,0.0
26,2015-03-03,2,34.099998474121094,0,10313.808880199103,0.0
27,2015-03-04,0,34.119998931884766,0,10313.808880199103,0.0
28,2015-03-05,2,33.72999954223633,0,10313.808880199103,0.0
29,2015-03-06,2,33.189998626708984,0,10313.808880199103,0.0
30,2015-03-09,2,32.720001220703125,0,10313.808880199103,0.0
31,2015-03-10,0,31.700000762939453,0,10313.808880199103,0.0
32,2015-03-11,2,32.33000183105469,0,10313.808880199103,0.0
33,2015-03-12,2,30.799999237060547,0,10313.808880199103,0.0
34,2015-03-13,1,30.93000030517578,1,10303.495071318905,-0.0010000000000000009
35,2015-03-16,1,30.829999923706055,1,10270.182642368462,-0.003233119317266664
36,2015-03-17,2,30.59000015258789,0,10180.042960922325,-0.008776833342211021
37,2015-03-18,1,30.88999938964844,1,10169.862917961402,-0.001000000000000112
38,2015-03-19,2,30.739999771118164,0,10110.358315232734,-0.00585107225226944
39,2015-03-20,0,31.309999465942383,0,10110.358315232734,0.0
40,2015-03-23,0,31.200000762939453,0,10110.358315232734,0.0
41,2015-03-24,0,30.790000915527344,0,10110.358315232734,0.0
42,2015-03-25,1,29.88999938964844,1,10100.247956917501,-0.0010000000000000009
43,2015-03-26,0,30.079999923706055,1,10164.4517891395,0.006356659014299382
44,2015-03-27,2,32.0,0,10802.433365005712,0.06276596014237401
45,2015-03-30,1,31.459999084472656,1,10791.630931640706,-0.001000000000000112
46,2015-03-31,0,31.270000457763672,1,10726.456261690575,-0.006039371654106618
47,2015-04-01,1,30.809999465942383,1,10568.663474774248,-0.014710616728087711
48,2015-04-02,0,30.809999465942383,1,10568.663474774248,0.0
49,2015-04-06,0,31.040000915527344,1,10647.560195368507,0.0074651559095029185
50,2015-04-07,1,31.260000228881836,1,10723.02591259759,0.0070876065356182405
51,2015-04-08,2,31.309999465942383,0,10729.436826786532,0.0005978642820783087
52,2015-04-09,1,31.239999771118164,1,10718.707389959745,-0.0010000000000000009
53,2015-04-10,0,31.93000030517578,1,10955.452392445859,0.02208708511885238
54,2015-04-13,1,31.729999542236328,1,10886.8304439368,-0.006263725682051802
55,2015-04-14,1,31.489999771118164,1,10804.48449838237,-0.007563812624664434
56,2015-04-15,1,32.83000183105469,1,11264.250506309225,0.04255325721423264
57,2015-04-16,2,32.869998931884766,0,11266.695875078267,0.00021709112094692173
58,2015-04-17,1,32.470001220703125,1,11255.429179203189,-0.0010000000000000009
59,2015-04-20,0,32.72999954223633,1,11345.55522123311,0.0080073394443676
60,2015-04-21,0,32.43000030517578,1,11241.563227404757,-0.009165879659528087
61,2015-04-22,2,32.70000076293945,0,11323.821262130708,0.007317312820464661
62,2015-04-23,2,32.349998474121094,0,11323.821262130708,0.0
63,2015-04-24,0,32.08000183105469,0,11323.821262130708,0.0
64,2015-04-27,1,32.5,1,11312.497440868578,-0.0010000000000000009
65,2015-04-28,2,33.02000045776367,0,11482.00406170015,0.01498401407095118
66,2015-04-29,1,32.88999938964844,1,11470.52205763845,-0.0010000000000000009
67,2015-04-30,2,32.54999923706055,0,11340.593665623048,-0.011327155936105004
68,2015-05-01,2,33.41999816894531,0,11340.593665623048,0.0
69,2015-05-04,2,33.43000030517578,0,11340.593665623048,0.0
70,2015-05-05,1,32.63999938964844,1,11329.253071957424,-0.0010000000000000009
71,2015-05-06,2,32.220001220703125,0,11172.289401940536,-0.013854723609750597
72,2015-05-07,1,32.2400016784668,1,11161.117112538595,-0.0010000000000000009
73,2015-05-08,2,32.79999923706055,0,11343.626833229911,0.016352280766437133
74,2015-05-11,0,32.689998626708984,0,11343.626833229911,0.0
75,2015-05-12,1,32.25,1,11332.283206396682,-0.0010000000000000009
76,2015-05-13,0,32.63999938964844,1,11469.324556282509,0.01209300433018412
77,2015-05-14,2,32.970001220703125,0,11573.698163010973,0.00910024005478971
78,2015-05-15,0,32.9900016784668,0,11573.698163010973,0.0
79,2015-05-18,1,33.40999984741211,1,11562.124464847962,-0.0010000000000000009
80,2015-05-19,1,33.150001525878906,1,11472.147423005763,-0.007782050964401432
81,2015-05-20,2,33.369998931884766,0,11536.73315539116,0.005629785776277707
82,2015-05-21,2,33.54999923706055,0,11536.73315539116,0.0
83,2015-05-22,1,33.45000076293945,1,11525.19642223577,-0.0010000000000000009
