episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,profit_none_seed44,profit,none,0.005,20,1e-06,0.5373339271903821,0.0009214086309594467,0.71557,0.0,sharpe_ratio,1,0,2.889408822571383,0.28695685163121776,0.21693147413510747,1.322799528170346,-0.24852915329119896,0.6495289187991629,0.19845707281497238,0.2228307539557356,0.8906179658414433,-0.14361958958893706
2,44,profit_none_seed44,profit,none,0.005,20,1e-06,1.2158116838666602,0.00020612548794228777,0.4311400000000001,0.0,sharpe_ratio,0,1,8.366289062772278,0.48929357722267497,0.20899398521586476,2.341184971028212,-0.19520803888037452,0.5835682866844054,0.18319933749242456,0.2227310834412522,0.8225135650666622,-0.2225979669383903
3,44,profit_none_seed44,profit,none,0.005,20,1e-06,1.7884363522362072,0.00015846869764153852,0.14671,0.0,sharpe_ratio,1,0,17.684388778551025,0.6761068257678613,0.21805898779266572,3.100568486590956,-0.11685727105218535,0.9011265153090258,0.25448749522034486,0.22909452392285867,1.1108405860719595,-0.2762238779504367
4,44,profit_none_seed44,profit,none,0.005,20,1e-06,3.3788803034921187,0.00013462674678187432,0.050000000000000044,0.0,sharpe_ratio,0,1,33.13799305721772,0.853470414228505,0.21375262161145658,3.9927950721459653,-0.16177171641238275,0.5948181821925751,0.18824514504302647,0.23170779527381158,0.8124247387558764,-0.25437945083168745
5,44,profit_none_seed44,profit,none,0.005,20,1e-06,3.5151429327167865,0.00012889712339643288,0.050000000000000044,0.0,sharpe_ratio,0,2,38.78072114850501,0.8970664654962814,0.20169842036547536,4.447563168173587,-0.08770414662697079,0.47245942979633937,0.15290020941265214,0.20759989024425804,0.7365139222027174,-0.2856968756396513
6,44,profit_none_seed44,profit,none,0.005,20,1e-06,3.9186220443293003,0.00011877016773929231,0.050000000000000044,0.0,sharpe_ratio,0,3,64.7509632981953,1.0676620099321323,0.20903244712820393,5.107637711753492,-0.10632215439407966,0.6348350326300154,0.1947061389122542,0.22144023140482527,0.879271746046466,-0.2891509310670347
7,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.419622954449964,0.00011468726870255158,0.050000000000000044,0.0,sharpe_ratio,0,4,72.07700799460497,1.1093701413845993,0.21924435135324657,5.05997137229402,-0.0950299437323564,0.6873948940952068,0.2104246896675246,0.23538423566187638,0.8939625420361389,-0.27434890102994025
8,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.132328362072676,0.0001154725958898848,0.050000000000000044,0.0,sharpe_ratio,0,5,117.12207809333357,1.2763645006245512,0.19649861162715515,6.495539536159063,-0.12658881597718952,0.5395758986902963,0.17033204163562998,0.21283487416379682,0.8003013712148657,-0.20404934961201215
9,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.897770162680935,0.00011370587569485533,0.050000000000000044,0.0,sharpe_ratio,0,6,121.40290220522697,1.2865867401147333,0.18882769956221462,6.813548770109498,-0.0950299437323564,0.42861744901317,0.1429509893522225,0.21122835529384712,0.6767604148285793,-0.24032018216796147
10,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.495424675022667,0.00010927151667754213,0.050000000000000044,0.0,sharpe_ratio,0,7,154.55143406837624,1.3854972488148758,0.1992575210013065,6.9532996388416946,-0.09502994373235651,0.47882600347775783,0.15506808829667706,0.21006241357646863,0.7382000694771029,-0.24455391382294156
11,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.9646723529816175,0.00011306066556747986,0.050000000000000044,0.0,sharpe_ratio,0,8,140.97249723396166,1.3481357474607516,0.19721736668278297,6.835786169020192,-0.09502994373235651,0.3296428055282621,0.11707276405575318,0.20888456222080448,0.5604663303552309,-0.24474976343852395
12,44,profit_none_seed44,profit,none,0.005,20,1e-06,4.9894005801585255,0.00010536836101431303,0.050000000000000044,0.0,sharpe_ratio,0,9,242.79485791843604,1.5744891520833209,0.20194387426153537,7.796667058314513,-0.0950299437323564,0.7364358393834234,0.21539676385245565,0.21346081754450996,1.009069328648767,-0.23964871594031067
13,44,profit_none_seed44,profit,none,0.005,20,1e-06,5.164067664402351,0.00011019555972460965,0.050000000000000044,0.0,sharpe_ratio,0,10,226.42537268161945,1.5409248989253705,0.19480806553954527,7.909964583127431,-0.0950299437323564,0.5048427436792178,0.1606083510264691,0.20669133740394963,0.7770444230692759,-0.18790132046189734
