episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.8260712969910143,0.007468514974229597,0.71557,0.0,sharpe_ratio,1,0,0.5367834221105705,0.09918119191166452,0.21059745864129795,0.4709515136200945,-0.29928683919591115,0.015963560232301388,0.028819081695573123,0.21687980086201117,0.1328804322994982,-0.3414333158189735
2,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.5012842758123415,0.0003771645825595919,0.4311400000000001,0.0,sharpe_ratio,0,1,1.9890359689188286,0.22113965442565808,0.1758203178285233,1.2577593827428666,-0.15783987717482661,-0.3223924839611877,-0.10080063100232184,0.17446918887519616,-0.5777560591195733,-0.4767427734486622
3,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.3811780029759708,0.0001966713366421663,0.14671,0.0,sharpe_ratio,0,2,6.691992423076093,0.4370083045249533,0.19540193137334597,2.236458470259337,-0.1071812743053373,-0.012030658925991977,0.015932513649504987,0.19778935956334995,0.08055293613710278,-0.31870074693161476
4,46,profit_none_seed46,profit,none,0.005,20,1e-06,2.3936613553149457,0.00013882043037550965,0.050000000000000044,0.0,sharpe_ratio,0,3,23.408769486113965,0.7459382236970167,0.19678419828491966,3.7906408654671986,-0.13319033247771872,-0.20259210673147587,-0.05367823465046462,0.17592052301172714,-0.3051277573048503,-0.35577432366478345
5,46,profit_none_seed46,profit,none,0.005,20,1e-06,3.618253868962399,0.00011501440520542341,0.050000000000000044,0.0,sharpe_ratio,0,4,37.26250957583411,0.8812696268709577,0.19136514128212623,4.605173235661126,-0.12864695596573805,-0.23239076042802476,-0.06451495684861408,0.17817050911944923,-0.36209671941478205,-0.3785324520235678
6,46,profit_none_seed46,profit,none,0.005,20,1e-06,3.384671496256884,0.00010116875557369757,0.050000000000000044,0.0,sharpe_ratio,0,5,65.99313568780263,1.07191577223985,0.20245568932336547,5.294569768932346,-0.12864695596573794,-0.15422187326663173,-0.033418314468047994,0.1916179324081909,-0.17440076744414082,-0.30223846997875936
7,46,profit_none_seed46,profit,none,0.005,20,1e-06,4.107913599451793,9.33152297514613e-05,0.050000000000000044,0.0,sharpe_ratio,0,6,136.79493053669796,1.3367367611553505,0.19734139568746237,6.773727106260032,-0.11267106471721555,-0.0335439466249281,0.007248193176585538,0.1890415928971363,0.038341790637203936,-0.28778767230287516
8,46,profit_none_seed46,profit,none,0.005,20,1e-06,4.883202798045681,9.131486329105237e-05,0.050000000000000044,0.0,sharpe_ratio,1,0,169.0609696822294,1.416489758339786,0.1875241024226813,7.5536410522152675,-0.08281791949159345,0.4157096596553558,0.13338408956636938,0.18299734466589895,0.7288853825168379,-0.17430558009723662
9,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.087351091969151,8.807415558507699e-05,0.050000000000000044,0.0,sharpe_ratio,0,1,198.76718541504025,1.4886657820721156,0.19943322848009482,7.4644821899410685,-0.08734452627416367,0.05840971568858899,0.0364605328183929,0.19059208146410384,0.1913014042257568,-0.21767173893007663
10,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.102356359557017,8.560136116761698e-05,0.050000000000000044,0.0,sharpe_ratio,0,2,235.35158709045928,1.5558671387625784,0.19109705085798107,8.141764259454025,-0.05411015279549092,-0.12558564275798445,-0.023777299644665795,0.1887487365059962,-0.1259732917147789,-0.27458067728079083
11,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.235111469669496,8.298444250879206e-05,0.050000000000000044,0.0,sharpe_ratio,0,3,215.14060757990356,1.5203910323806968,0.19645396737992948,7.739171942709394,-0.09475029871817031,0.13124625559713676,0.05905756655347272,0.1942900599685847,0.303965970070841,-0.2350717949310006
12,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.134673855215184,8.371573030350153e-05,0.050000000000000044,0.0,sharpe_ratio,0,4,354.2482122893553,1.7380159909541648,0.19216904364960985,9.04420377989269,-0.05203811638331535,-0.16864264106008087,-0.0381732096167301,0.19345081814817924,-0.197327723822239,-0.34739746343912914
13,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.368352053920317,8.025737873893063e-05,0.050000000000000044,0.0,sharpe_ratio,0,5,314.96869190875253,1.6809748417518047,0.18516480009135972,9.078263476224516,-0.05192501732179533,-0.19986176976192715,-0.04957345705550453,0.1935245838642679,-0.25616103166651844,-0.363168317162058
14,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.091953238627639,7.837985377277294e-05,0.050000000000000044,0.0,sharpe_ratio,0,6,218.9359895682648,1.5209046802649042,0.1822056362678891,8.347187888462372,-0.05586143072476191,-0.11305154336105105,-0.019471213706828916,0.18848992560405625,-0.10330108436527444,-0.25983984192344134
15,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.439336335685811,8.0990160175464e-05,0.050000000000000044,0.0,sharpe_ratio,0,7,373.13134252072973,1.7589986451948203,0.18642415672341098,9.435465210683862,-0.041579339665719584,-0.15650737103734758,-0.03420074259383288,0.19129310675599015,-0.17878711456894625,-0.3013459895718422
16,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.278486197695505,8.058790393035971e-05,0.050000000000000044,0.0,sharpe_ratio,0,8,410.85008426108334,1.8091370318292093,0.1960211574295058,9.229294712637442,-0.05955135504332465,-0.01710644684243301,0.01698935250292455,0.210819215008369,0.08058730558431362,-0.3009883440019109
17,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.745263557211091,7.994481335456608e-05,0.050000000000000044,0.0,sharpe_ratio,0,9,450.73585527474347,1.851422936986706,0.19278293214493994,9.60366623947161,-0.04641288007163569,-0.10139189859433262,-0.012681632163621281,0.20295222316029904,-0.06248580067834422,-0.358930025330395
18,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.778364687181283,7.88023289684679e-05,0.050000000000000044,0.0,sharpe_ratio,0,10,371.98338759401173,1.7629860075537098,0.1965279942887331,8.97066096834827,-0.10092141359400353,-0.013010223651283681,0.01741532022014436,0.2069928033617103,0.08413490680500567,-0.3029909969564929
