episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.0642200078843203,0.006217823829921634,0.71557,0.0,sharpe_ratio,1,0,0.7979802078644642,0.1254358140295011,0.1969543735173741,0.6368775254357879,-0.24213871444628332,0.036185001033040454,0.04887547505920109,0.26735284773750995,0.182812621869611,-0.5017488239636242
2,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.4020397387484974,0.00033280626752021247,0.4311400000000001,0.0,sharpe_ratio,1,0,2.3611065042069646,0.2521153119946431,0.2036524730820507,1.2379683299650721,-0.1700161329060531,0.11251656414702049,0.0717874886355665,0.26653931734951886,0.2693317044157879,-0.5236740919260247
3,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.7556669750768648,0.00018967426862675292,0.14671,0.0,sharpe_ratio,0,1,10.174679876987835,0.5354572151080983,0.21240800137222426,2.5208900401532515,-0.18142281584347275,-0.01053608155290675,0.03714852573056926,0.27848701909514983,0.13339410163989307,-0.41182475003705776
4,46,profit_none_seed46,profit,none,0.005,20,1e-06,3.1215443908252976,0.00014734802014356493,0.050000000000000044,0.0,sharpe_ratio,0,2,31.39323616493386,0.8420780016281035,0.2257947092532958,3.7293965142622674,-0.1474515684670734,-0.21541355625151404,-0.03886230511125155,0.266988832488915,-0.14555779261990315,-0.45473009550321697
5,46,profit_none_seed46,profit,none,0.005,20,1e-06,3.8831237665314413,0.00013648060427543302,0.050000000000000044,0.0,sharpe_ratio,0,3,81.55097812419255,1.1546023324878596,0.22183952479701702,5.204673664642582,-0.1004008111409811,-0.39207091749724576,-0.10379986340452385,0.30051716514555854,-0.3454041081288895,-0.536521016369597
6,46,profit_none_seed46,profit,none,0.005,20,1e-06,4.763882676197276,0.00012231136933550004,0.050000000000000044,0.0,sharpe_ratio,0,4,193.39741449715882,1.4946977259699405,0.23251263839903816,6.428457980872165,-0.1474515684670734,-0.12918055729048228,-0.005154242260991149,0.2741137308306393,-0.018803298343984413,-0.37277400559201745
7,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.0671829663752215,0.00012014351705268928,0.050000000000000044,0.0,sharpe_ratio,0,5,253.186779122131,1.6140658047650311,0.23937837171017978,6.742738674483145,-0.1474515684670734,-0.07112221816507625,0.016271504601579556,0.2782081209170287,0.05848680674002426,-0.40741134861034045
8,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.397526555004267,0.00012363651927181692,0.050000000000000044,0.0,sharpe_ratio,0,6,349.63084056758623,1.7569274400485808,0.23534830761970804,7.465222324383759,-0.1474515684670734,-0.34083653569212646,-0.08602362389989326,0.28126627810150656,-0.3058440723165828,-0.516539215184755
9,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.630021334494696,0.00013198558024337463,0.050000000000000044,0.0,sharpe_ratio,0,7,394.88642559541574,1.80448156252156,0.2215783985821877,8.143761188219992,-0.0663157680578399,-0.07845381453863887,0.013076878151059956,0.2754501531441339,0.04747457208425388,-0.4122947292554232
10,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.583260460784348,0.00013400814434059766,0.050000000000000044,0.0,sharpe_ratio,0,8,411.67805953860164,1.8284326593217197,0.22824618865964064,8.010791637131202,-0.059483632249065166,-0.3492974907074682,-0.09009730951301709,0.27984224017032144,-0.32195750526504086,-0.4917691699397472
11,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.88388106796673,0.00013584104689639423,0.050000000000000044,0.0,sharpe_ratio,0,9,403.61709858518174,1.8069503643430918,0.20860583474104072,8.66203175278489,-0.05379506658180988,-0.13935439956140305,-0.01588947544225916,0.24652306571875346,-0.06445431544481404,-0.3501028662991943
12,46,profit_none_seed46,profit,none,0.005,20,1e-06,6.267624828562033,0.0001459365272517921,0.050000000000000044,0.0,sharpe_ratio,0,10,479.4984931112438,1.8927339541882109,0.21407358908633678,8.841510820023965,-0.05546752321999282,0.02478723408171346,0.039861521323171445,0.24905551953263141,0.1600507445005601,-0.36266376218339136
