step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,10.697999954223633,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,10.67300033569336,1,9966.654870986531,-0.002336849751098047
2,2015-01-27,1,10.479000091552734,1,9785.493677561803,-0.018176729882771192
3,2015-01-28,1,10.5,1,9805.103799667419,0.0020039992617422175
4,2015-01-29,2,10.652999877929688,0,9938.030077272759,0.013556845528738704
5,2015-01-30,2,10.288000106811523,0,9938.030077272759,0.0
6,2015-02-02,1,10.241999626159668,1,9928.092047195485,-0.001000000000000112
7,2015-02-03,0,10.31999969482422,1,10003.701487700768,0.0076157070407743
8,2015-02-04,0,10.479999542236328,1,10158.79749147208,0.015503861641813055
9,2015-02-05,1,10.619999885559082,1,10294.506956994532,0.01335881196926847
10,2015-02-06,2,10.473999977111816,0,10142.828825523622,-0.014733889840916836
11,2015-02-09,1,10.223999977111816,1,10132.6859966981,-0.0009999999999998899
12,2015-02-10,0,10.70400047302246,1,10608.399446836023,0.04694840541717604
13,2015-02-11,0,10.793999671936035,1,10697.59483265245,0.00840799653740687
14,2015-02-12,2,10.970000267028809,0,10861.15148376367,0.015289105043686302
15,2015-02-13,1,11.015000343322754,1,10850.290332279907,-0.0009999999999998899
16,2015-02-17,1,11.086999893188477,1,10921.21325515663,0.006536500011038893
17,2015-02-18,1,11.0,1,10835.514292782604,-0.007847018492525337
18,2015-02-19,1,11.09000015258789,1,10924.16865093885,0.008181832053444582
19,2015-02-20,1,11.206000328063965,1,11038.434247242149,0.010459889439136338
20,2015-02-23,0,11.28499984741211,1,11116.252467334854,0.0070497516540579674
21,2015-02-24,1,11.317999839782717,1,11148.759002697894,0.0029242350745954937
22,2015-02-25,1,11.267999649047852,1,11099.506477120669,-0.0044177585653529805
23,2015-02-26,0,12.925000190734863,1,12731.729481902315,0.14705365577705054
24,2015-02-27,0,12.76200008392334,1,12571.166755804012,-0.012611226646508489
25,2015-03-02,0,12.902000427246094,1,12709.073639537482,0.010970094217372495
26,2015-03-03,0,12.821999549865724,1,12630.269034965651,-0.006200656854066233
27,2015-03-04,2,12.9399995803833,0,12733.758077403845,0.008193732227848471
28,2015-03-05,1,13.057000160217283,1,12721.024319326441,-0.0010000000000000009
29,2015-03-06,2,12.788999557495115,0,12447.459846983344,-0.021504909154798524
30,2015-03-09,1,12.711999893188477,1,12435.01238713636,-0.001000000000000112
31,2015-03-10,1,12.51200008392334,1,12239.370464029555,-0.015733150640781846
32,2015-03-11,1,12.465999603271484,1,12194.372308623138,-0.0036765089788450833
33,2015-03-12,2,12.612000465393066,0,12324.854700138067,0.010700213853783946
34,2015-03-13,2,12.5,0,12324.854700138067,0.0
35,2015-03-16,2,12.987000465393066,0,12324.854700138067,0.0
36,2015-03-17,1,12.90999984741211,1,12312.529845437928,-0.0010000000000000009
37,2015-03-18,0,13.043999671936035,1,12440.328207810877,0.010379537266283378
38,2015-03-19,1,13.20400047302246,1,12592.9242312001,0.012266237742297958
39,2015-03-20,1,13.32900047302246,1,12712.13927758821,0.009466827894727192
40,2015-03-23,0,13.444000244140623,1,12821.816901976004,0.008627786558408568
41,2015-03-24,0,13.312000274658203,1,12695.925842095396,-0.009818503948625823
42,2015-03-25,1,12.442999839782717,1,11867.142424855638,-0.065279478436444
43,2015-03-26,1,12.470999717712402,1,11893.84647882563,0.0022502514096451876
