episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.0392496057975882,0.008542583414195039,0.71557,0.0,sharpe_ratio,1,0,2.821150958584473,0.3088942758875872,0.2944463591714972,1.0490680773120886,-0.32610247233629264,1.103057666759594,0.31372537037125325,0.28700987990343757,1.0930821283114154,-0.24582180373467555
2,46,profit_none_seed46,profit,none,0.005,20,1e-06,-0.21236367782291243,0.0006200883751153403,0.4311400000000001,0.0,sharpe_ratio,1,0,1.682735157423671,0.22631685307215532,0.2737238718326418,0.8268071453063776,-0.46472964984049236,1.52269575018075,0.37883058896781474,0.2559455552650858,1.4801217726772224,-0.25361150612581285
3,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.7039041072766992,0.00033490894340050553,0.14671,0.0,sharpe_ratio,0,1,8.414843733309924,0.5164325762830788,0.2768116751491312,1.865645934207265,-0.3397730555220255,0.81311853044542,0.24540159266438621,0.26087055839189816,0.9407025238000474,-0.2836270085409214
4,46,profit_none_seed46,profit,none,0.005,20,1e-06,2.5436169242358844,0.00026178167965685396,0.050000000000000044,0.0,sharpe_ratio,0,2,24.466490767175827,0.7848834349076235,0.26043004826305605,3.013797525064488,-0.3397730555220255,1.367152453203102,0.3483872994280075,0.24591568860387603,1.4166940767621947,-0.21337100354802496
5,46,profit_none_seed46,profit,none,0.005,20,1e-06,3.997765262314049,0.00022419597224212478,0.050000000000000044,0.0,sharpe_ratio,0,3,79.05125885790358,1.1676823914427183,0.26583654104717036,4.392482639305495,-0.3397730555220253,0.5406304450098631,0.1832560708013431,0.25955517915841186,0.7060389678816548,-0.3989663636677995
6,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.134376304812998,0.0001918854519516667,0.050000000000000044,0.0,sharpe_ratio,0,4,141.20719045435726,1.3906096062361817,0.26968519673028096,5.156418012913648,-0.3397730555220255,0.41414161734383126,0.15367531743274898,0.2648411809559917,0.5802546147771672,-0.37828527277554314
7,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.01017739620403,0.0001841178064248708,0.050000000000000044,0.0,sharpe_ratio,0,5,339.24514926958807,1.747594737478038,0.24294671686229563,7.193325186891043,-0.09588684826382843,0.7193916159739882,0.21904322566489665,0.24136663862038038,0.9075124338513334,-0.43359996882683816
8,46,profit_none_seed46,profit,none,0.005,20,1e-06,5.590110143861802,0.00018571075515992817,0.050000000000000044,0.0,sharpe_ratio,0,6,481.02312916666136,1.9338971335516684,0.26879377839751184,7.194724316467178,-0.2010264726832145,0.6535416917969141,0.207515271295037,0.2526738651322541,0.8212771478618088,-0.3950948407441165
9,46,profit_none_seed46,profit,none,0.005,20,1e-06,6.043789375687156,0.00017019689405185643,0.050000000000000044,0.0,sharpe_ratio,0,7,708.6343439516332,2.1335782220519044,0.27066904973720013,7.882608758273076,-0.28354650965996375,1.0827862998359197,0.29456812213582384,0.24277303948496745,1.2133477537733903,-0.3437935089267101
10,46,profit_none_seed46,profit,none,0.005,20,1e-06,6.028293508777436,0.00016540827914696365,0.050000000000000044,0.0,sharpe_ratio,0,8,712.8472111128812,2.130351090052984,0.2641271378407757,8.06562743786376,-0.20102647268321439,0.505286937375913,0.17145780142383082,0.24855289129872823,0.6898242081511772,-0.4664104365541365
11,46,profit_none_seed46,profit,none,0.005,20,1e-06,6.530622852508089,0.00016730886034209606,0.050000000000000044,0.0,sharpe_ratio,0,9,863.0022751709204,2.220002227695572,0.24850141155465041,8.933559828924148,-0.2010264726832146,0.9699514027970224,0.27025139004041043,0.23611208486847723,1.144589402067031,-0.3495134405528578
12,46,profit_none_seed46,profit,none,0.005,20,1e-06,6.516950327690534,0.00017267586074387045,0.050000000000000044,0.0,sharpe_ratio,0,10,957.2122867258493,2.2879706638556816,0.26239102515858537,8.719698634787013,-0.20102647268321416,0.7024476585605062,0.22176598435039674,0.2632331872171671,0.8424697003248304,-0.4462291407810399
