step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,27.09749984741211,0,10000.0,0.0
1,2015-01-26,0,26.836000442504883,0,10000.0,0.0
2,2015-01-27,0,26.059499740600582,0,10000.0,0.0
3,2015-01-28,0,25.62150001525879,0,10000.0,0.0
4,2015-01-29,1,25.661500930786133,1,9990.0,-0.0010000000000000009
5,2015-01-30,0,26.877500534057617,1,10463.3875882571,0.0473861449706805
6,2015-02-02,2,26.61000061035156,0,10348.890850445632,-0.010942606956466427
7,2015-02-03,2,26.665000915527344,0,10348.890850445632,0.0
8,2015-02-04,0,26.30500030517578,0,10348.890850445632,0.0
9,2015-02-05,1,26.491500854492188,1,10338.541959595186,-0.0010000000000000009
10,2015-02-06,0,26.694000244140625,1,10417.569133184628,0.007643937984514126
11,2015-02-09,0,26.464000701904297,1,10327.809782396665,-0.008616151199999145
12,2015-02-10,0,27.007999420166016,1,10540.110082240231,0.02055617834920076
13,2015-02-11,0,26.899999618530273,1,10497.962206701888,-0.00399880790707885
14,2015-02-12,2,27.300500869750977,0,10643.607092510669,0.013873634038785276
15,2015-02-13,2,27.558000564575195,0,10643.607092510669,0.0
16,2015-02-17,0,27.250499725341797,0,10643.607092510669,0.0
17,2015-02-18,2,27.13249969482422,0,10643.607092510669,0.0
18,2015-02-19,1,27.322500228881836,1,10632.963485418159,-0.0010000000000000009
19,2015-02-20,1,27.09000015258789,1,10542.482570389115,-0.008509472937918705
20,2015-02-23,0,26.75,1,10410.16637760958,-0.012550762298737306
21,2015-02-24,0,26.9325008392334,1,10481.189334636609,0.006822461279753167
22,2015-02-25,1,27.366500854492188,1,10650.086993205921,0.016114360038432363
23,2015-02-26,1,27.964500427246097,1,10882.807555677235,0.021851517515281804
24,2015-02-27,1,28.131500244140625,1,10947.798055823117,0.005971850537040746
25,2015-03-02,0,28.750999450683594,1,11188.885525389825,0.022021548839081362
26,2015-03-03,1,28.93950080871582,1,11262.243674904623,0.006556341053658432
27,2015-03-04,0,28.916500091552734,1,11253.292598550526,-0.0007947862444178666
28,2015-03-05,1,29.07150077819824,1,11313.613455994393,0.005360285171260637
29,2015-03-06,0,28.645000457763672,1,11147.634416898034,-0.01467073625433235
