step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,47.18000030517578,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,47.0099983215332,1,9954.00339538779,-0.0036032637249459043
2,2015-01-27,0,42.65999984741211,1,9032.924877469628,-0.09253347435514703
3,2015-01-28,1,41.189998626708984,1,8721.663493412087,-0.034458537880006634
4,2015-01-29,0,42.0099983215332,1,8895.292083880648,0.019907737852957963
5,2015-01-30,0,40.400001525878906,1,8554.387720070757,-0.03832413377719779
6,2015-02-02,0,41.279998779296875,1,8740.720329328522,0.021782109410423578
7,2015-02-03,0,41.599998474121094,1,8808.477788646367,0.007751930820906416
8,2015-02-04,1,41.84000015258789,1,8859.296287001067,0.0057692713286059405
9,2015-02-05,0,42.45000076293945,1,8988.45919624216,0.014579364438980225
10,2015-02-06,1,42.40999984741211,1,8979.989311894271,-0.0009423065914823114
11,2015-02-09,1,42.36000061035156,1,8969.402360325726,-0.0011789492393405876
12,2015-02-10,0,42.599998474121094,1,9020.220050947797,0.005665671867598698
13,2015-02-11,0,42.380001068115234,1,8973.63730249967,-0.005164258541922373
14,2015-02-12,0,43.09000015258789,1,9123.974114877852,0.016753163439791052
15,2015-02-13,0,43.869998931884766,1,9289.132820998526,0.018101619320835205
16,2015-02-17,2,43.58000183105469,0,9218.5004506291,-0.0076037636376301565
17,2015-02-18,1,43.529998779296875,1,9209.28195017847,-0.001000000000000112
18,2015-02-19,1,43.5,1,9202.935356462564,-0.000689151852472536
19,2015-02-20,2,43.86000061035156,0,9269.818611520057,0.0072676002239357995
20,2015-02-23,0,44.150001525878906,0,9269.818611520057,0.0
21,2015-02-24,1,44.09000015258789,1,9260.548792908538,-0.0009999999999998899
22,2015-02-25,0,43.9900016784668,1,9239.545373865445,-0.0022680533856888063
23,2015-02-26,1,44.060001373291016,1,9254.247927441425,0.0015912637452453193
24,2015-02-27,2,43.849998474121094,0,9200.929326018924,-0.005761527229500407
25,2015-03-02,2,43.880001068115234,0,9200.929326018924,0.0
26,2015-03-03,1,43.279998779296875,1,9191.728396692904,-0.001000000000000112
27,2015-03-04,0,43.060001373291016,1,9145.005742787698,-0.0050831195057957634
28,2015-03-05,2,43.11000061035156,0,9146.468866449824,0.00015999155203161308
29,2015-03-06,0,42.36000061035156,0,9146.468866449824,0.0
30,2015-03-09,0,42.849998474121094,0,9146.468866449824,0.0
31,2015-03-10,2,42.029998779296875,0,9146.468866449824,0.0
32,2015-03-11,2,41.97999954223633,0,9146.468866449824,0.0
33,2015-03-12,0,41.02000045776367,0,9146.468866449824,0.0
34,2015-03-13,2,41.380001068115234,0,9146.468866449824,0.0
35,2015-03-16,2,41.560001373291016,0,9146.468866449824,0.0
36,2015-03-17,2,41.70000076293945,0,9146.468866449824,0.0
37,2015-03-18,2,42.5,0,9146.468866449824,0.0
38,2015-03-19,0,42.290000915527344,0,9146.468866449824,0.0
39,2015-03-20,2,42.880001068115234,0,9146.468866449824,0.0
40,2015-03-23,0,42.86000061035156,0,9146.468866449824,0.0
41,2015-03-24,1,42.900001525878906,1,9137.322397583375,-0.0009999999999998899
42,2015-03-25,0,41.459999084472656,1,8830.614563260833,-0.033566489281768086
43,2015-03-26,1,41.209999084472656,1,8777.366765635048,-0.006029908478546786
44,2015-03-27,1,40.970001220703125,1,8726.249334912567,-0.005823777459387336
45,2015-03-30,1,40.959999084472656,1,8724.118968009265,-0.00024413316896398918
46,2015-03-31,0,40.65999984741211,1,8660.221773357705,-0.007324200287257221
47,2015-04-01,2,40.720001220703125,0,8664.328535749495,0.0004742098411871787
48,2015-04-02,0,40.290000915527344,0,8664.328535749495,0.0
49,2015-04-06,0,41.54999923706055,0,8664.328535749495,0.0
50,2015-04-07,1,41.529998779296875,1,8655.664207213746,-0.0010000000000000009
51,2015-04-08,0,41.41999816894531,1,8632.73792804741,-0.0026487024701383755
52,2015-04-09,0,41.47999954223633,1,8645.243388062921,0.0014486087866609765
53,2015-04-10,0,41.720001220703125,1,8695.264433067428,0.005785961454084054
54,2015-04-13,1,41.7599983215332,1,8703.600611353564,0.0009587032516726879
55,2015-04-14,1,41.650001525878906,1,8680.675127244767,-0.0026340229903117907
56,2015-04-15,0,42.2599983215332,1,8807.810392976873,0.014645780871707093
57,2015-04-16,1,42.15999984741211,1,8786.968754675227,-0.0023662678204636745
58,2015-04-17,1,41.619998931884766,1,8674.421999708244,-0.012808370908010902
59,2015-04-20,0,42.90999984741211,1,8943.283427110193,0.030994736872496098
60,2015-04-21,0,42.63999938964844,1,8887.0100496267,-0.006292250261565879
61,2015-04-22,1,42.9900016784668,1,8959.95737379754,0.008208308954697818
62,2015-04-23,0,43.34000015258789,1,9032.903902910843,0.008141392427449157
63,2015-04-24,0,47.869998931884766,1,9977.044269999622,0.10452235263839471
64,2015-04-27,1,48.029998779296875,1,10010.39136831678,0.0033423825147724795
65,2015-04-28,2,49.15999984741211,0,10235.659791704169,0.022503458166517998
66,2015-04-29,1,49.060001373291016,1,10225.424131912465,-0.0010000000000000009
67,2015-04-30,0,48.63999938964844,1,10137.884419340666,-0.008560985974028879
68,2015-05-01,1,48.65999984741211,1,10142.053052804613,0.0004111936269459715
69,2015-05-04,0,48.2400016784668,1,10054.51413531835,-0.008631281756316111
70,2015-05-05,2,47.599998474121094,0,9911.199129478951,-0.014253797240781463
71,2015-05-06,1,46.279998779296875,1,9901.287930349472,-0.0010000000000000009
72,2015-05-07,1,46.70000076293945,1,9991.144470562334,0.009075237569592609
73,2015-05-08,2,47.75,0,10205.56881230516,0.02146143941513423
74,2015-05-11,1,47.369998931884766,1,10195.363243492855,-0.0010000000000000009
75,2015-05-12,2,47.349998474121094,0,10180.86752085316,-0.0014217956038934387
76,2015-05-13,1,47.630001068115234,1,10170.686653332306,-0.001000000000000112
77,2015-05-14,2,48.720001220703125,0,10393.036724724172,0.0218618544618141
78,2015-05-15,0,48.29999923706055,0,10393.036724724172,0.0
79,2015-05-18,1,48.0099983215332,1,10382.643687999447,-0.001000000000000112
80,2015-05-19,0,47.58000183105469,1,10289.652633972972,-0.008956394615945218
81,2015-05-20,0,47.58000183105469,1,10289.652633972972,0.0
82,2015-05-21,1,47.41999816894531,1,10255.05023716948,-0.0033628342991138815
83,2015-05-22,1,46.900001525878906,1,10142.595747424313,-0.010965766831407153
84,2015-05-26,1,46.59000015258789,1,10075.554841067365,-0.0066098371685544555
85,2015-05-27,2,47.61000061035156,0,10285.844030719463,0.020871226743262916
86,2015-05-28,0,47.45000076293945,0,10285.844030719463,0.0
