episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,profit_none_seed46,profit,none,0.005,20,1e-06,-0.10379589879270024,0.0,0.99031,0.0,sharpe_ratio,1,0,0.24316056624526672,3.843726818281075,1.0144533844013521,3.7889634727270685,-0.2420559500084789,0.20126438155208648,0.2465178010844915,0.5813392889610001,0.42405150617822684,-0.7765774945191004
2,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.22472266109416295,0.0,0.98062,0.0,sharpe_ratio,0,1,0.24316056624526672,3.843726818281075,1.0144533844013521,3.7889634727270685,-0.2420559500084789,0.20126438155208648,0.2465178010844915,0.5813392889610001,0.42405150617822684,-0.7765774945191004
3,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.58424329823523,0.0,0.97093,0.0,sharpe_ratio,0,2,0.24316056624526672,3.843726818281075,1.0144533844013521,3.7889634727270685,-0.2420559500084789,0.20126438155208648,0.2465178010844915,0.5813392889610001,0.42405150617822684,-0.7765774945191004
4,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.34734511623733,0.0,0.96124,0.0,sharpe_ratio,0,3,0.24316056624526672,3.843726818281075,1.0144533844013521,3.7889634727270685,-0.2420559500084789,0.20126438155208648,0.2465178010844915,0.5813392889610001,0.42405150617822684,-0.7765774945191004
5,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.6225483205796415,0.06607295883198579,0.95155,0.0,sharpe_ratio,1,0,0.3770479339301467,7.285780398552006,1.0369751598276926,7.0259931778526274,-0.2355713339443527,0.3867478330142484,0.35155120003570306,0.6398833589040536,0.5493988789422729,-0.7997479483855228
6,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.2542519424274047,0.019762668366014372,0.94186,0.0,sharpe_ratio,1,0,0.52242224187225,13.285766871096431,1.0771369291753423,12.334334206949933,-0.2506759647731226,0.751353186263537,0.45803035786904833,0.6444669566355717,0.7107119351164064,-0.7958344353602883
7,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.5483149727740845,0.05158887661116965,0.9321699999999999,0.0,sharpe_ratio,1,0,-0.16259533857805764,-0.5555235390977639,0.4074982388783634,-1.3632538403769285,-0.17915654239516055,2.2094784784016075,0.6942615882567649,0.5835948744580648,1.1896293450168953,-0.6603660248203294
8,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.7520166866078893,0.026685236131443697,0.92248,0.0,sharpe_ratio,0,1,-0.19110574027448646,-0.5939757067940808,0.5747880860432817,-1.0333820780505083,-0.32297087459040574,0.10799580004642584,0.2883097581903946,0.6731453152805501,0.4283024061011764,-0.8656778283896926
9,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.45203452519815024,0.018725537074108917,0.91279,0.0,sharpe_ratio,0,2,0.03419950883554357,0.46721814818535834,0.6553309473480463,0.7129499225941771,-0.3144539621949559,-0.23368921921110553,0.1114261131520804,0.6202484667773814,0.17964754307417463,-0.8099829033279131
10,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.5415241062729432,0.02258528120742709,0.9031,0.0,sharpe_ratio,0,3,0.43204566383881504,7.838948066829582,0.8825620984139735,8.882035701416054,-0.2006524969102138,-0.0670499214647523,0.2208793166863745,0.6729430225158829,0.32822885340364943,-0.8585400014232802
11,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.7442247838132457,0.006085507781701345,0.89341,0.0,sharpe_ratio,0,4,0.7528146239639921,25.44428163358635,0.9808797590319742,25.940265765803137,-0.2184647335951253,-0.26789654607636926,0.1102008208514893,0.641774479148138,0.1717126879176698,-0.8235267354643547
12,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.11824301192958508,0.00410513213707828,0.8837200000000001,0.0,sharpe_ratio,0,5,0.8617206240702424,34.55041539820948,0.9734169194429565,35.493954037681156,-0.21098911155413425,-0.055518934589665614,0.2066589526857452,0.6481131693514139,0.31886244942770553,-0.7945512240165493
13,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.8708904610249069,0.0031447939474281727,0.87403,0.0,sharpe_ratio,0,6,0.30496238675822007,4.226440978026597,0.8105349402474311,5.214384683695926,-0.1789342042186317,-0.2690364828331876,0.11643806040841032,0.6515526923613069,0.17870858607985257,-0.8127036740020326
14,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.6721171515205187,0.002603662403428233,0.86434,0.0,sharpe_ratio,0,7,0.9269399915566603,41.75131929844841,0.979736315047465,42.61485325919117,-0.1870032410445981,-0.2879556871838842,0.11921689217870446,0.6672199430749994,0.17867705157203878,-0.835936101270822
15,46,profit_none_seed46,profit,none,0.005,20,1e-06,1.0058465431661987,0.003618132946191027,0.85465,0.0,sharpe_ratio,0,8,0.9670748632711144,46.8679337703153,0.9869212922074102,47.489028902687394,-0.1870032410445982,-0.20010624559656043,0.16396692477897057,0.6718464735532936,0.24405415706325656,-0.8466395544557865
16,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.40627486830287696,0.0038282503602186254,0.8449599999999999,0.0,sharpe_ratio,0,9,1.2051224450596156,94.030931432603,1.1080001859138116,84.86544734200741,-0.22512905955038054,-0.10475229902795724,0.19784345333340725,0.6621786583925884,0.29877654742553034,-0.8164999168545646
17,46,profit_none_seed46,profit,none,0.005,20,1e-06,0.5658626465876436,0.0024381488374452674,0.83527,0.0,sharpe_ratio,0,10,1.5618240056926762,214.29464863502093,1.167607025424445,183.5331956461303,-0.22512905955038043,-0.04782359092845423,0.2116828477665731,0.6502778838825157,0.3255267525057293,-0.7774255181504913
