step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,13.419333457946776,0,10000.0,0.0
1,2015-01-26,2,13.770000457763672,0,10000.0,0.0
2,2015-01-27,2,13.732000350952148,0,10000.0,0.0
3,2015-01-28,2,13.291333198547363,0,10000.0,0.0
4,2015-01-29,2,13.68000030517578,0,10000.0,0.0
5,2015-01-30,2,13.57333278656006,0,10000.0,0.0
6,2015-02-02,1,14.062666893005373,1,9990.0,-0.0010000000000000009
7,2015-02-03,1,14.557332992553713,1,10341.406626643904,0.0351758385028933
8,2015-02-04,1,14.56999969482422,1,10350.404945145305,0.0008701251992371262
9,2015-02-05,1,14.732666969299316,1,10465.962405502592,0.011164535201251935
10,2015-02-06,1,14.490667343139648,1,10294.047911350877,-0.016426056915829323
11,2015-02-09,1,14.498666763305664,1,10299.730631994587,0.0005520394593698796
12,2015-02-10,1,14.419333457946776,1,10243.372920717966,-0.005471765552931496
13,2015-02-11,1,14.186667442321776,1,10078.08894479944,-0.016135698387415687
14,2015-02-12,1,13.525333404541016,1,9608.282819994201,-0.046616588460222985
15,2015-02-13,1,13.584667205810549,1,9650.433052179353,0.004386864226918918
16,2015-02-17,1,13.623332977294922,1,9677.900890255005,0.0028462803614237586
17,2015-02-18,1,13.630666732788086,1,9683.110728327265,0.0005383231478952588
18,2015-02-19,1,14.11400032043457,1,10026.466834059247,0.035459277020092106
19,2015-02-20,1,14.473999977111816,1,10282.207555045426,0.025506564298147794
20,2015-02-23,1,13.822667121887209,1,9819.506186009214,-0.045000197336919845
21,2015-02-24,1,13.607333183288574,1,9666.53477148539,-0.015578320500655773
22,2015-02-25,1,13.583999633789062,1,9649.958814643516,-0.001714777553045277
23,2015-02-26,1,13.812666893005373,1,9812.402107722382,0.016833573717678796
24,2015-02-27,1,13.555999755859377,1,9630.067937426144,-0.01858201165163642
25,2015-03-02,1,13.155332565307615,1,9345.437343238993,-0.02955644716492256
26,2015-03-03,1,13.303999900817873,1,9451.049364987599,0.01130091807046485
27,2015-03-04,1,13.496000289916992,1,9587.444822669544,0.014431779204036044
28,2015-03-05,1,13.375332832336426,1,9501.723678138313,-0.008940979178158392
29,2015-03-06,1,12.925333023071287,1,9182.047607535038,-0.03364400833280279
30,2015-03-09,1,12.725333213806152,1,9039.969429209383,-0.015473474370690687
31,2015-03-10,1,12.687999725341797,1,9013.448033758821,-0.0029337926038629503
32,2015-03-11,1,12.916000366210938,1,9175.417766784043,0.017969786081706296
33,2015-03-12,1,12.73799991607666,1,9048.967747710783,-0.013781390917263936
34,2015-03-13,1,12.57866668701172,1,8935.778765103903,-0.0125084966332778
35,2015-03-16,1,13.046667098999023,1,9268.242312119912,0.037205883869277034
36,2015-03-17,1,12.982000350952148,1,9222.30359950562,-0.004956572246090141
37,2015-03-18,1,13.380666732788086,1,9505.512836049647,0.030709164308927006
38,2015-03-19,1,13.043333053588867,1,9265.873834369504,-0.025210528438961544
39,2015-03-20,1,13.20533275604248,1,9380.957057190957,0.012420115455768377
40,2015-03-23,1,13.308667182922363,1,9454.364962845288,0.007825204316233458
41,2015-03-24,1,13.447999954223633,1,9553.345788878509,0.010469325694766995
42,2015-03-25,1,12.953332901000977,1,9201.93848475241,-0.036783689389238594
43,2015-03-26,1,12.694000244140623,1,9017.710751723796,-0.020020535165919617
44,2015-03-27,1,12.333333015441896,1,8761.495793201782,-0.028412417028682913
45,2015-03-30,1,12.704667091369627,1,9025.28839006427,0.03010816909450198
46,2015-03-31,1,12.584667205810549,1,8940.041483068879,-0.009445338842494766
47,2015-04-01,1,12.505999565124512,1,8884.156654363707,-0.0062510704017435526
48,2015-04-02,1,12.733332633972168,1,9045.652149853093,0.018177920738268627
49,2015-04-06,1,13.539999961853027,1,9618.70181865653,0.06335084074758979
50,2015-04-07,1,13.550000190734863,1,9625.80589694336,0.0007385693434276419
51,2015-04-08,1,13.844667434692385,1,9835.135022743803,0.0217466597645517
52,2015-04-09,1,14.005999565124512,1,9949.744008029418,0.011653015949509626
53,2015-04-10,1,14.0600004196167,1,9988.105759785429,0.0038555516327909434
54,2015-04-13,1,13.985333442687988,1,9935.062968884307,-0.0053105956401348076
55,2015-04-14,1,13.830666542053224,1,9825.188906652922,-0.011059221524362783
56,2015-04-15,1,13.85533332824707,1,9842.711983602081,0.0017834849910411954
57,2015-04-16,1,13.779999732971191,1,9789.195632647317,-0.005437155028402918
58,2015-04-17,1,13.78600025177002,1,9793.458350612293,0.00043545130008015853
59,2015-04-20,1,13.684666633605955,1,9721.471802601081,-0.007350472676152298
60,2015-04-21,1,13.96066665649414,1,9917.539891935146,0.020168560205215513
61,2015-04-22,1,14.629332542419434,1,10392.55449984826,0.04789641514821552
62,2015-04-23,1,14.57333278656006,1,10352.772745413517,-0.0038279091473923943
63,2015-04-24,1,14.562000274658203,1,10344.722224501593,-0.0007776197845635879
64,2015-04-27,1,15.436667442321776,1,10966.078406187533,0.060065042656655576
65,2015-04-28,1,15.36533260345459,1,10915.40273807243,-0.004621129472000662
66,2015-04-29,1,15.49666690826416,1,11008.701520944134,0.008547443013374512
67,2015-04-30,1,15.06999969482422,1,10705.600729700542,-0.027532837607318283
68,2015-05-01,1,15.0686674118042,1,10704.65428707545,-8.840630703388364e-05
69,2015-05-04,1,15.36733341217041,1,10916.82409571555,0.01982033262823535
70,2015-05-05,1,15.529999732971191,1,11032.380878590646,0.010585201507501418
71,2015-05-06,1,15.362000465393066,1,10913.035615286411,-0.01081772507834955
72,2015-05-07,1,15.786666870117188,1,11214.715048886883,0.027643952080381284
73,2015-05-08,1,15.77400016784668,1,11205.716730385482,-0.000802367109835167
74,2015-05-11,1,15.965999603271484,1,11342.111510585235,0.012171892568897835
75,2015-05-12,1,16.31599998474121,1,11590.748830766777,0.021921607801995036
76,2015-05-13,1,16.211999893188477,1,11516.868042540998,-0.006374116918974826
77,2015-05-14,1,16.273332595825195,1,11560.438277404883,0.0037831669775971744
78,2015-05-15,1,16.589332580566406,1,11784.922002404077,0.019418271142708443
79,2015-05-18,1,16.583332061767578,1,11780.659284439102,-0.0003617094762362605
80,2015-05-19,1,16.47599983215332,1,11704.411373427303,-0.006472295749399448
81,2015-05-20,1,16.290000915527344,1,11572.279311192528,-0.011289082211751178
82,2015-05-21,1,16.374666213989258,1,11632.424825416092,0.005197378373454242
83,2015-05-22,1,16.51533317565918,1,11732.353449038792,0.008590523912465953
84,2015-05-26,1,16.497333526611328,1,11719.56665010825,-0.0010898750183484518
